training:  19%|█▉        | 7749/40000 [01:45<07:19, 73.38it/s]
itr: 0 lr: 2.494e-07 train loss: 4.869995 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.842612 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.44s)
itr: 500 lr: 1.000e-04 train loss: 4.733681 train token_acc: 0.0006 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 750 lr: 9.998e-05 train loss: 4.469081 train token_acc: 0.0073 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 1000 lr: 9.994e-05 train loss: 3.824178 train token_acc: 0.0199 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 1250 lr: 9.989e-05 train loss: 3.215086 train token_acc: 0.0161 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 1500 lr: 9.981e-05 train loss: 2.785183 train token_acc: 0.0409 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 1750 lr: 9.972e-05 train loss: 2.644022 train token_acc: 0.0774 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2000 lr: 9.960e-05 train loss: 2.579344 train token_acc: 0.1063 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2250 lr: 9.947e-05 train loss: 2.539408 train token_acc: 0.1233 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2500 lr: 9.931e-05 train loss: 2.504581 train token_acc: 0.1366 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2750 lr: 9.914e-05 train loss: 2.477124 train token_acc: 0.1507 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 3000 lr: 9.895e-05 train loss: 2.445738 train token_acc: 0.1642 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 3250 lr: 9.874e-05 train loss: 2.419947 train token_acc: 0.1746 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 3500 lr: 9.851e-05 train loss: 2.397897 train token_acc: 0.1836 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 3750 lr: 9.826e-05 train loss: 2.370020 train token_acc: 0.1903 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 4000 lr: 9.799e-05 train loss: 2.351163 train token_acc: 0.1972 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 4250 lr: 9.771e-05 train loss: 2.323445 train token_acc: 0.2068 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 4500 lr: 9.740e-05 train loss: 2.295279 train token_acc: 0.2146 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 4750 lr: 9.708e-05 train loss: 2.270392 train token_acc: 0.2243 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 5000 lr: 9.674e-05 train loss: 2.234422 train token_acc: 0.2346 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 5250 lr: 9.638e-05 train loss: 2.200359 train token_acc: 0.2436 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 5500 lr: 9.600e-05 train loss: 2.164620 train token_acc: 0.2533 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 5750 lr: 9.561e-05 train loss: 2.125656 train token_acc: 0.2658 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 6000 lr: 9.519e-05 train loss: 2.080597 train token_acc: 0.2782 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 6250 lr: 9.476e-05 train loss: 2.038108 train token_acc: 0.2930 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 6500 lr: 9.432e-05 train loss: 1.992597 train token_acc: 0.3054 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 6750 lr: 9.385e-05 train loss: 1.949658 train token_acc: 0.3207 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 7000 lr: 9.337e-05 train loss: 1.905293 train token_acc: 0.3389 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 7250 lr: 9.287e-05 train loss: 1.864346 train token_acc: 0.3513 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
