training:  19%|█▉        | 7749/40000 [01:46<07:20, 73.24it/s]
itr: 0 lr: 2.494e-07 train loss: 4.872724 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.844933 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.44s)
itr: 500 lr: 1.000e-04 train loss: 4.732900 train token_acc: 0.0005 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 750 lr: 9.998e-05 train loss: 4.449847 train token_acc: 0.0045 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 1000 lr: 9.994e-05 train loss: 3.746505 train token_acc: 0.0165 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 1250 lr: 9.989e-05 train loss: 3.100842 train token_acc: 0.0183 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 1500 lr: 9.981e-05 train loss: 2.793714 train token_acc: 0.0420 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 1750 lr: 9.972e-05 train loss: 2.686345 train token_acc: 0.0648 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 2000 lr: 9.960e-05 train loss: 2.637946 train token_acc: 0.0873 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.41s)
itr: 2250 lr: 9.947e-05 train loss: 2.592924 train token_acc: 0.1007 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 2500 lr: 9.931e-05 train loss: 2.551161 train token_acc: 0.1203 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 2750 lr: 9.914e-05 train loss: 2.517517 train token_acc: 0.1305 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 3000 lr: 9.895e-05 train loss: 2.488769 train token_acc: 0.1436 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 3250 lr: 9.874e-05 train loss: 2.462439 train token_acc: 0.1537 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 3500 lr: 9.851e-05 train loss: 2.441295 train token_acc: 0.1602 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 3750 lr: 9.826e-05 train loss: 2.424192 train token_acc: 0.1742 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 4000 lr: 9.799e-05 train loss: 2.406153 train token_acc: 0.1805 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 4250 lr: 9.771e-05 train loss: 2.391560 train token_acc: 0.1818 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 4500 lr: 9.740e-05 train loss: 2.378665 train token_acc: 0.1886 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 4750 lr: 9.708e-05 train loss: 2.374717 train token_acc: 0.1899 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 5000 lr: 9.674e-05 train loss: 2.359199 train token_acc: 0.1971 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 5250 lr: 9.638e-05 train loss: 2.338436 train token_acc: 0.2025 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 5500 lr: 9.600e-05 train loss: 2.328827 train token_acc: 0.2083 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 5750 lr: 9.561e-05 train loss: 2.314413 train token_acc: 0.2129 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 6000 lr: 9.519e-05 train loss: 2.301314 train token_acc: 0.2172 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 6250 lr: 9.476e-05 train loss: 2.298038 train token_acc: 0.2199 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 6500 lr: 9.432e-05 train loss: 2.277743 train token_acc: 0.2237 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 6750 lr: 9.385e-05 train loss: 2.269357 train token_acc: 0.2261 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 7000 lr: 9.337e-05 train loss: 2.249081 train token_acc: 0.2308 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 7250 lr: 9.287e-05 train loss: 2.237676 train token_acc: 0.2363 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 7500 lr: 9.235e-05 train loss: 2.228759 train token_acc: 0.2397 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 7750 lr: 9.182e-05 train loss: 2.216961 train token_acc: 0.2417 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 8000 lr: 9.127e-05 train loss: 2.217322 train token_acc: 0.2341 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 8250 lr: 9.071e-05 train loss: 2.207416 train token_acc: 0.2368 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 8500 lr: 9.013e-05 train loss: 2.184669 train token_acc: 0.2466 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 8750 lr: 8.953e-05 train loss: 2.163408 train token_acc: 0.2556 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 9000 lr: 8.892e-05 train loss: 2.159521 train token_acc: 0.2526 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 9250 lr: 8.829e-05 train loss: 2.136236 train token_acc: 0.2649 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 9500 lr: 8.765e-05 train loss: 2.127169 train token_acc: 0.2690 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 9750 lr: 8.700e-05 train loss: 2.111823 train token_acc: 0.2713 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 10000 lr: 8.632e-05 train loss: 2.096318 train token_acc: 0.2728 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 10250 lr: 8.564e-05 train loss: 2.087938 train token_acc: 0.2745 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 10500 lr: 8.494e-05 train loss: 2.070737 train token_acc: 0.2808 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 10750 lr: 8.423e-05 train loss: 2.061081 train token_acc: 0.2821 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 11000 lr: 8.351e-05 train loss: 2.043989 train token_acc: 0.2896 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 11250 lr: 8.277e-05 train loss: 2.027831 train token_acc: 0.2902 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
itr: 11500 lr: 8.202e-05 train loss: 2.018046 train token_acc: 0.2962 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.42s)
