training:  19%|█▉        | 7749/40000 [02:05<08:38, 62.15it/s]
itr: 0 lr: 2.494e-07 train loss: 4.895766 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.40s)
itr: 250 lr: 6.259e-05 train loss: 4.570691 train token_acc: 0.0001 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.07s)
itr: 500 lr: 1.000e-04 train loss: 3.513803 train token_acc: 0.0768 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.03s)
itr: 750 lr: 9.998e-05 train loss: 2.868670 train token_acc: 0.1486 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.03s)
itr: 1000 lr: 9.994e-05 train loss: 2.406550 train token_acc: 0.2503 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.03s)
itr: 1250 lr: 9.989e-05 train loss: 2.022685 train token_acc: 0.4569 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.03s)
itr: 1500 lr: 9.981e-05 train loss: 1.575491 train token_acc: 0.6436 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.03s)
itr: 1750 lr: 9.972e-05 train loss: 1.135486 train token_acc: 0.7388 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.03s)
itr: 2000 lr: 9.960e-05 train loss: 0.763666 train token_acc: 0.8340 train exact_match_acc: 0.0063 (K~32.00, min=32, max=32, dt=4.03s)
itr: 2250 lr: 9.947e-05 train loss: 0.502076 train token_acc: 0.8968 train exact_match_acc: 0.0400 (K~32.00, min=32, max=32, dt=4.03s)
itr: 2500 lr: 9.931e-05 train loss: 0.326987 train token_acc: 0.9440 train exact_match_acc: 0.1650 (K~32.00, min=32, max=32, dt=4.03s)
itr: 2750 lr: 9.914e-05 train loss: 0.233835 train token_acc: 0.9681 train exact_match_acc: 0.3296 (K~32.00, min=32, max=32, dt=4.03s)
itr: 3000 lr: 9.895e-05 train loss: 0.171729 train token_acc: 0.9792 train exact_match_acc: 0.4795 (K~32.00, min=32, max=32, dt=4.03s)
itr: 3250 lr: 9.874e-05 train loss: 0.136462 train token_acc: 0.9840 train exact_match_acc: 0.5703 (K~32.00, min=32, max=32, dt=4.03s)
itr: 3500 lr: 9.851e-05 train loss: 0.110852 train token_acc: 0.9876 train exact_match_acc: 0.6550 (K~32.00, min=32, max=32, dt=4.03s)
itr: 3750 lr: 9.826e-05 train loss: 0.091462 train token_acc: 0.9902 train exact_match_acc: 0.7168 (K~32.00, min=32, max=32, dt=4.03s)
