training:  19%|█▉        | 7750/40000 [02:05<08:39, 62.11it/s]
itr: 0 lr: 2.494e-07 train loss: 5.449214 train token_acc: 0.0001 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.55s)
itr: 250 lr: 6.259e-05 train loss: 4.965694 train token_acc: 0.0025 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.07s)
itr: 500 lr: 1.000e-04 train loss: 3.941136 train token_acc: 0.0421 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.03s)
itr: 750 lr: 9.998e-05 train loss: 3.096269 train token_acc: 0.1353 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.03s)
itr: 1000 lr: 9.994e-05 train loss: 2.343757 train token_acc: 0.3704 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.03s)
itr: 1250 lr: 9.989e-05 train loss: 1.367772 train token_acc: 0.6827 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.03s)
itr: 1500 lr: 9.981e-05 train loss: 0.584942 train token_acc: 0.8999 train exact_match_acc: 0.0378 (K~32.00, min=32, max=32, dt=4.03s)
itr: 1750 lr: 9.972e-05 train loss: 0.219679 train token_acc: 0.9752 train exact_match_acc: 0.4146 (K~32.00, min=32, max=32, dt=4.03s)
itr: 2000 lr: 9.960e-05 train loss: 0.102790 train token_acc: 0.9878 train exact_match_acc: 0.6523 (K~32.00, min=32, max=32, dt=4.03s)
itr: 2250 lr: 9.947e-05 train loss: 0.059820 train token_acc: 0.9926 train exact_match_acc: 0.7769 (K~32.00, min=32, max=32, dt=4.03s)
itr: 2500 lr: 9.931e-05 train loss: 0.038242 train token_acc: 0.9948 train exact_match_acc: 0.8406 (K~32.00, min=32, max=32, dt=4.03s)
itr: 2750 lr: 9.914e-05 train loss: 0.028036 train token_acc: 0.9958 train exact_match_acc: 0.8694 (K~32.00, min=32, max=32, dt=4.03s)
itr: 3000 lr: 9.895e-05 train loss: 0.020923 train token_acc: 0.9971 train exact_match_acc: 0.9077 (K~32.00, min=32, max=32, dt=4.03s)
itr: 3250 lr: 9.874e-05 train loss: 0.018090 train token_acc: 0.9973 train exact_match_acc: 0.9150 (K~32.00, min=32, max=32, dt=4.03s)
itr: 3500 lr: 9.851e-05 train loss: 0.015314 train token_acc: 0.9976 train exact_match_acc: 0.9238 (K~32.00, min=32, max=32, dt=4.03s)
itr: 3750 lr: 9.826e-05 train loss: 0.015548 train token_acc: 0.9975 train exact_match_acc: 0.9216 (K~32.00, min=32, max=32, dt=4.03s)
itr: 4000 lr: 9.799e-05 train loss: 0.013207 train token_acc: 0.9979 train exact_match_acc: 0.9343 (K~32.00, min=32, max=32, dt=4.03s)
itr: 4250 lr: 9.771e-05 train loss: 0.010952 train token_acc: 0.9983 train exact_match_acc: 0.9453 (K~32.00, min=32, max=32, dt=4.03s)
itr: 4500 lr: 9.740e-05 train loss: 0.009889 train token_acc: 0.9983 train exact_match_acc: 0.9443 (K~32.00, min=32, max=32, dt=4.03s)
itr: 4750 lr: 9.708e-05 train loss: 0.009028 train token_acc: 0.9984 train exact_match_acc: 0.9492 (K~32.00, min=32, max=32, dt=4.03s)
itr: 5000 lr: 9.674e-05 train loss: 0.009314 train token_acc: 0.9982 train exact_match_acc: 0.9421 (K~32.00, min=32, max=32, dt=4.03s)
itr: 5250 lr: 9.638e-05 train loss: 0.008756 train token_acc: 0.9983 train exact_match_acc: 0.9468 (K~32.00, min=32, max=32, dt=4.03s)
itr: 5500 lr: 9.600e-05 train loss: 0.008236 train token_acc: 0.9984 train exact_match_acc: 0.9500 (K~32.00, min=32, max=32, dt=4.03s)
itr: 5750 lr: 9.561e-05 train loss: 0.007824 train token_acc: 0.9986 train exact_match_acc: 0.9539 (K~32.00, min=32, max=32, dt=4.03s)
itr: 6000 lr: 9.519e-05 train loss: 0.006865 train token_acc: 0.9987 train exact_match_acc: 0.9583 (K~32.00, min=32, max=32, dt=4.03s)
itr: 6250 lr: 9.476e-05 train loss: 0.006688 train token_acc: 0.9988 train exact_match_acc: 0.9629 (K~32.00, min=32, max=32, dt=4.03s)
itr: 6500 lr: 9.432e-05 train loss: 0.006249 train token_acc: 0.9988 train exact_match_acc: 0.9631 (K~32.00, min=32, max=32, dt=4.03s)
itr: 6750 lr: 9.385e-05 train loss: 0.005162 train token_acc: 0.9990 train exact_match_acc: 0.9695 (K~32.00, min=32, max=32, dt=4.03s)
itr: 7000 lr: 9.337e-05 train loss: 0.006376 train token_acc: 0.9988 train exact_match_acc: 0.9634 (K~32.00, min=32, max=32, dt=4.03s)
itr: 7250 lr: 9.287e-05 train loss: 0.005619 train token_acc: 0.9991 train exact_match_acc: 0.9700 (K~32.00, min=32, max=32, dt=4.03s)
itr: 7500 lr: 9.235e-05 train loss: 0.005265 train token_acc: 0.9991 train exact_match_acc: 0.9712 (K~32.00, min=32, max=32, dt=4.03s)
itr: 7750 lr: 9.182e-05 train loss: 0.005471 train token_acc: 0.9990 train exact_match_acc: 0.9680 (K~32.00, min=32, max=32, dt=4.03s)
itr: 8000 lr: 9.127e-05 train loss: 0.004387 train token_acc: 0.9991 train exact_match_acc: 0.9709 (K~32.00, min=32, max=32, dt=4.03s)
itr: 8250 lr: 9.071e-05 train loss: 0.004357 train token_acc: 0.9991 train exact_match_acc: 0.9719 (K~32.00, min=32, max=32, dt=4.03s)
itr: 8500 lr: 9.013e-05 train loss: 0.004332 train token_acc: 0.9992 train exact_match_acc: 0.9746 (K~32.00, min=32, max=32, dt=4.03s)
itr: 8750 lr: 8.953e-05 train loss: 0.003973 train token_acc: 0.9992 train exact_match_acc: 0.9731 (K~32.00, min=32, max=32, dt=4.03s)
itr: 9000 lr: 8.892e-05 train loss: 0.005057 train token_acc: 0.9989 train exact_match_acc: 0.9641 (K~32.00, min=32, max=32, dt=4.03s)
itr: 9250 lr: 8.829e-05 train loss: 0.003170 train token_acc: 0.9993 train exact_match_acc: 0.9780 (K~32.00, min=32, max=32, dt=4.03s)
itr: 9500 lr: 8.765e-05 train loss: 0.003593 train token_acc: 0.9993 train exact_match_acc: 0.9761 (K~32.00, min=32, max=32, dt=4.03s)
itr: 9750 lr: 8.700e-05 train loss: 0.003065 train token_acc: 0.9993 train exact_match_acc: 0.9792 (K~32.00, min=32, max=32, dt=4.03s)
itr: 10000 lr: 8.632e-05 train loss: 0.004155 train token_acc: 0.9992 train exact_match_acc: 0.9729 (K~32.00, min=32, max=32, dt=4.03s)
itr: 10250 lr: 8.564e-05 train loss: 0.003155 train token_acc: 0.9993 train exact_match_acc: 0.9773 (K~32.00, min=32, max=32, dt=4.03s)
itr: 10500 lr: 8.494e-05 train loss: 0.003163 train token_acc: 0.9993 train exact_match_acc: 0.9790 (K~32.00, min=32, max=32, dt=4.03s)
itr: 10750 lr: 8.423e-05 train loss: 0.003249 train token_acc: 0.9994 train exact_match_acc: 0.9807 (K~32.00, min=32, max=32, dt=4.03s)
itr: 11000 lr: 8.351e-05 train loss: 0.004150 train token_acc: 0.9991 train exact_match_acc: 0.9722 (K~32.00, min=32, max=32, dt=4.03s)
itr: 11250 lr: 8.277e-05 train loss: 0.002826 train token_acc: 0.9994 train exact_match_acc: 0.9800 (K~32.00, min=32, max=32, dt=4.03s)
itr: 11500 lr: 8.202e-05 train loss: 0.003227 train token_acc: 0.9993 train exact_match_acc: 0.9768 (K~32.00, min=32, max=32, dt=4.03s)
itr: 11750 lr: 8.125e-05 train loss: 0.003537 train token_acc: 0.9992 train exact_match_acc: 0.9756 (K~32.00, min=32, max=32, dt=4.03s)
itr: 12000 lr: 8.048e-05 train loss: 0.002879 train token_acc: 0.9994 train exact_match_acc: 0.9807 (K~32.00, min=32, max=32, dt=4.03s)
itr: 12250 lr: 7.969e-05 train loss: 0.003060 train token_acc: 0.9993 train exact_match_acc: 0.9778 (K~32.00, min=32, max=32, dt=4.03s)
itr: 12500 lr: 7.889e-05 train loss: 0.002928 train token_acc: 0.9993 train exact_match_acc: 0.9780 (K~32.00, min=32, max=32, dt=4.03s)
