training:  19%|█▉        | 7749/40000 [02:04<08:38, 62.14it/s]
itr: 0 lr: 2.494e-07 train loss: 5.410010 train token_acc: 0.0003 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.959810 train token_acc: 0.0017 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.06s)
itr: 500 lr: 1.000e-04 train loss: 4.061591 train token_acc: 0.0438 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 750 lr: 9.998e-05 train loss: 3.018870 train token_acc: 0.1749 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 1000 lr: 9.994e-05 train loss: 2.134417 train token_acc: 0.4499 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.03s)
itr: 1250 lr: 9.989e-05 train loss: 1.174149 train token_acc: 0.7513 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 1500 lr: 9.981e-05 train loss: 0.478906 train token_acc: 0.9260 train exact_match_acc: 0.0708 (K~32.00, min=32, max=32, dt=4.02s)
itr: 1750 lr: 9.972e-05 train loss: 0.188794 train token_acc: 0.9795 train exact_match_acc: 0.4739 (K~32.00, min=32, max=32, dt=4.02s)
itr: 2000 lr: 9.960e-05 train loss: 0.090532 train token_acc: 0.9904 train exact_match_acc: 0.7185 (K~32.00, min=32, max=32, dt=4.02s)
itr: 2250 lr: 9.947e-05 train loss: 0.050567 train token_acc: 0.9942 train exact_match_acc: 0.8228 (K~32.00, min=32, max=32, dt=4.02s)
itr: 2500 lr: 9.931e-05 train loss: 0.031764 train token_acc: 0.9962 train exact_match_acc: 0.8828 (K~32.00, min=32, max=32, dt=4.02s)
itr: 2750 lr: 9.914e-05 train loss: 0.021195 train token_acc: 0.9974 train exact_match_acc: 0.9165 (K~32.00, min=32, max=32, dt=4.02s)
itr: 3000 lr: 9.895e-05 train loss: 0.016870 train token_acc: 0.9978 train exact_match_acc: 0.9302 (K~32.00, min=32, max=32, dt=4.02s)
