training:  19%|█▉        | 7749/40000 [02:04<08:38, 62.20it/s]
itr: 0 lr: 2.494e-07 train loss: 4.888395 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.549530 train token_acc: 0.0004 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.06s)
itr: 500 lr: 1.000e-04 train loss: 3.524698 train token_acc: 0.0640 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 750 lr: 9.998e-05 train loss: 2.877438 train token_acc: 0.1366 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 1000 lr: 9.994e-05 train loss: 2.458063 train token_acc: 0.2342 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 1250 lr: 9.989e-05 train loss: 2.019964 train token_acc: 0.4582 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 1500 lr: 9.981e-05 train loss: 1.541417 train token_acc: 0.6540 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 1750 lr: 9.972e-05 train loss: 1.089252 train token_acc: 0.7681 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 2000 lr: 9.960e-05 train loss: 0.708068 train token_acc: 0.8558 train exact_match_acc: 0.0110 (K~32.00, min=32, max=32, dt=4.02s)
itr: 2250 lr: 9.947e-05 train loss: 0.465862 train token_acc: 0.9099 train exact_match_acc: 0.0610 (K~32.00, min=32, max=32, dt=4.02s)
itr: 2500 lr: 9.931e-05 train loss: 0.317576 train token_acc: 0.9528 train exact_match_acc: 0.2065 (K~32.00, min=32, max=32, dt=4.02s)
itr: 2750 lr: 9.914e-05 train loss: 0.224675 train token_acc: 0.9731 train exact_match_acc: 0.3923 (K~32.00, min=32, max=32, dt=4.02s)
itr: 3000 lr: 9.895e-05 train loss: 0.172550 train token_acc: 0.9818 train exact_match_acc: 0.5234 (K~32.00, min=32, max=32, dt=4.02s)
itr: 3250 lr: 9.874e-05 train loss: 0.139362 train token_acc: 0.9861 train exact_match_acc: 0.6133 (K~32.00, min=32, max=32, dt=4.02s)
