training:  19%|█▉        | 7749/40000 [02:04<08:38, 62.15it/s]
itr: 0 lr: 2.494e-07 train loss: 4.898050 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.576541 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.06s)
itr: 500 lr: 1.000e-04 train loss: 3.491088 train token_acc: 0.0692 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 750 lr: 9.998e-05 train loss: 2.852032 train token_acc: 0.1454 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 1000 lr: 9.994e-05 train loss: 2.441170 train token_acc: 0.2695 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 1250 lr: 9.989e-05 train loss: 1.995857 train token_acc: 0.4689 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 1500 lr: 9.981e-05 train loss: 1.549037 train token_acc: 0.6403 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.03s)
itr: 1750 lr: 9.972e-05 train loss: 1.116476 train token_acc: 0.7480 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 2000 lr: 9.960e-05 train loss: 0.765799 train token_acc: 0.8272 train exact_match_acc: 0.0007 (K~32.00, min=32, max=32, dt=4.02s)
itr: 2250 lr: 9.947e-05 train loss: 0.540469 train token_acc: 0.8843 train exact_match_acc: 0.0120 (K~32.00, min=32, max=32, dt=4.02s)
itr: 2500 lr: 9.931e-05 train loss: 0.358945 train token_acc: 0.9384 train exact_match_acc: 0.1406 (K~32.00, min=32, max=32, dt=4.02s)
itr: 2750 lr: 9.914e-05 train loss: 0.244601 train token_acc: 0.9693 train exact_match_acc: 0.3210 (K~32.00, min=32, max=32, dt=4.02s)
itr: 3000 lr: 9.895e-05 train loss: 0.185919 train token_acc: 0.9776 train exact_match_acc: 0.4426 (K~32.00, min=32, max=32, dt=4.02s)
itr: 3250 lr: 9.874e-05 train loss: 0.151801 train token_acc: 0.9813 train exact_match_acc: 0.5107 (K~32.00, min=32, max=32, dt=4.02s)
itr: 3500 lr: 9.851e-05 train loss: 0.116984 train token_acc: 0.9884 train exact_match_acc: 0.6692 (K~32.00, min=32, max=32, dt=4.02s)
itr: 3750 lr: 9.826e-05 train loss: 0.097990 train token_acc: 0.9905 train exact_match_acc: 0.7219 (K~32.00, min=32, max=32, dt=4.02s)
itr: 4000 lr: 9.799e-05 train loss: 0.091085 train token_acc: 0.9909 train exact_match_acc: 0.7297 (K~32.00, min=32, max=32, dt=4.02s)
itr: 4250 lr: 9.771e-05 train loss: 0.083284 train token_acc: 0.9914 train exact_match_acc: 0.7441 (K~32.00, min=32, max=32, dt=4.02s)
itr: 4500 lr: 9.740e-05 train loss: 0.073913 train token_acc: 0.9924 train exact_match_acc: 0.7703 (K~32.00, min=32, max=32, dt=4.02s)
itr: 4750 lr: 9.708e-05 train loss: 0.072090 train token_acc: 0.9925 train exact_match_acc: 0.7729 (K~32.00, min=32, max=32, dt=4.02s)
itr: 5000 lr: 9.674e-05 train loss: 0.068124 train token_acc: 0.9924 train exact_match_acc: 0.7681 (K~32.00, min=32, max=32, dt=4.02s)
itr: 5250 lr: 9.638e-05 train loss: 0.065144 train token_acc: 0.9926 train exact_match_acc: 0.7744 (K~32.00, min=32, max=32, dt=4.02s)
itr: 5500 lr: 9.600e-05 train loss: 0.060537 train token_acc: 0.9929 train exact_match_acc: 0.7832 (K~32.00, min=32, max=32, dt=4.02s)
itr: 5750 lr: 9.561e-05 train loss: 0.057945 train token_acc: 0.9933 train exact_match_acc: 0.7964 (K~32.00, min=32, max=32, dt=4.02s)
