training:  19%|█▉        | 7749/40000 [02:04<08:38, 62.17it/s]
itr: 0 lr: 2.494e-07 train loss: 5.437862 train token_acc: 0.0002 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.988528 train token_acc: 0.0023 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.07s)
itr: 500 lr: 1.000e-04 train loss: 4.033505 train token_acc: 0.0476 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 750 lr: 9.998e-05 train loss: 3.078147 train token_acc: 0.1378 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 1000 lr: 9.994e-05 train loss: 2.360250 train token_acc: 0.3641 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 1250 lr: 9.989e-05 train loss: 1.424162 train token_acc: 0.6638 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.02s)
itr: 1500 lr: 9.981e-05 train loss: 0.628303 train token_acc: 0.8905 train exact_match_acc: 0.0159 (K~32.00, min=32, max=32, dt=4.03s)
itr: 1750 lr: 9.972e-05 train loss: 0.233918 train token_acc: 0.9733 train exact_match_acc: 0.3801 (K~32.00, min=32, max=32, dt=4.02s)
itr: 2000 lr: 9.960e-05 train loss: 0.108635 train token_acc: 0.9880 train exact_match_acc: 0.6565 (K~32.00, min=32, max=32, dt=4.02s)
itr: 2250 lr: 9.947e-05 train loss: 0.056212 train token_acc: 0.9937 train exact_match_acc: 0.8113 (K~32.00, min=32, max=32, dt=4.02s)
itr: 2500 lr: 9.931e-05 train loss: 0.034480 train token_acc: 0.9960 train exact_match_acc: 0.8750 (K~32.00, min=32, max=32, dt=4.02s)
itr: 2750 lr: 9.914e-05 train loss: 0.026109 train token_acc: 0.9967 train exact_match_acc: 0.8965 (K~32.00, min=32, max=32, dt=4.02s)
itr: 3000 lr: 9.895e-05 train loss: 0.020064 train token_acc: 0.9972 train exact_match_acc: 0.9126 (K~32.00, min=32, max=32, dt=4.02s)
itr: 3250 lr: 9.874e-05 train loss: 0.017660 train token_acc: 0.9973 train exact_match_acc: 0.9160 (K~32.00, min=32, max=32, dt=4.02s)
