training:  19%|█▉        | 7743/40000 [01:25<05:54, 91.12it/s]
itr: 0 lr: 2.494e-07 train loss: 4.871923 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.847892 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.77s)
itr: 500 lr: 1.000e-04 train loss: 4.752434 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 750 lr: 9.998e-05 train loss: 4.559257 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 1000 lr: 9.994e-05 train loss: 4.120837 train token_acc: 0.0083 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 1250 lr: 9.989e-05 train loss: 3.552032 train token_acc: 0.0179 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 1500 lr: 9.981e-05 train loss: 3.121264 train token_acc: 0.0208 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 1750 lr: 9.972e-05 train loss: 2.874735 train token_acc: 0.0351 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 2000 lr: 9.960e-05 train loss: 2.715363 train token_acc: 0.0811 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 2250 lr: 9.947e-05 train loss: 2.626878 train token_acc: 0.1243 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 2500 lr: 9.931e-05 train loss: 2.548531 train token_acc: 0.1616 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 2750 lr: 9.914e-05 train loss: 2.467929 train token_acc: 0.1924 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 3000 lr: 9.895e-05 train loss: 2.379718 train token_acc: 0.2260 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 3250 lr: 9.874e-05 train loss: 2.301675 train token_acc: 0.2637 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 3500 lr: 9.851e-05 train loss: 2.209823 train token_acc: 0.2990 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 3750 lr: 9.826e-05 train loss: 2.096305 train token_acc: 0.3366 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 4000 lr: 9.799e-05 train loss: 1.975792 train token_acc: 0.3806 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 4250 lr: 9.771e-05 train loss: 1.848578 train token_acc: 0.4269 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 4500 lr: 9.740e-05 train loss: 1.703421 train token_acc: 0.4752 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 4750 lr: 9.708e-05 train loss: 1.575629 train token_acc: 0.5165 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 5000 lr: 9.674e-05 train loss: 1.442091 train token_acc: 0.5630 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 5250 lr: 9.638e-05 train loss: 1.315502 train token_acc: 0.6064 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 5500 lr: 9.600e-05 train loss: 1.189060 train token_acc: 0.6487 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 5750 lr: 9.561e-05 train loss: 1.062592 train token_acc: 0.6938 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 6000 lr: 9.519e-05 train loss: 0.945824 train token_acc: 0.7319 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 6250 lr: 9.476e-05 train loss: 0.847645 train token_acc: 0.7652 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 6500 lr: 9.432e-05 train loss: 0.746495 train token_acc: 0.7964 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 6750 lr: 9.385e-05 train loss: 0.654929 train token_acc: 0.8215 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=2.75s)
itr: 7000 lr: 9.337e-05 train loss: 0.580663 train token_acc: 0.8467 train exact_match_acc: 0.0005 (K~32.00, min=32, max=32, dt=2.75s)
itr: 7250 lr: 9.287e-05 train loss: 0.515830 train token_acc: 0.8658 train exact_match_acc: 0.0005 (K~32.00, min=32, max=32, dt=2.75s)
itr: 7500 lr: 9.235e-05 train loss: 0.463468 train token_acc: 0.8834 train exact_match_acc: 0.0029 (K~32.00, min=32, max=32, dt=2.75s)
itr: 7750 lr: 9.182e-05 train loss: 0.410845 train token_acc: 0.9003 train exact_match_acc: 0.0044 (K~32.00, min=32, max=32, dt=2.75s)
itr: 8000 lr: 9.127e-05 train loss: 0.363154 train token_acc: 0.9138 train exact_match_acc: 0.0085 (K~32.00, min=32, max=32, dt=2.75s)
itr: 8250 lr: 9.071e-05 train loss: 0.331324 train token_acc: 0.9240 train exact_match_acc: 0.0151 (K~32.00, min=32, max=32, dt=2.75s)
itr: 8500 lr: 9.013e-05 train loss: 0.301299 train token_acc: 0.9334 train exact_match_acc: 0.0261 (K~32.00, min=32, max=32, dt=2.75s)
itr: 8750 lr: 8.953e-05 train loss: 0.270383 train token_acc: 0.9413 train exact_match_acc: 0.0354 (K~32.00, min=32, max=32, dt=2.75s)
itr: 9000 lr: 8.892e-05 train loss: 0.247437 train token_acc: 0.9481 train exact_match_acc: 0.0630 (K~32.00, min=32, max=32, dt=2.75s)
itr: 9250 lr: 8.829e-05 train loss: 0.227209 train token_acc: 0.9524 train exact_match_acc: 0.0786 (K~32.00, min=32, max=32, dt=2.75s)
itr: 9500 lr: 8.765e-05 train loss: 0.205308 train token_acc: 0.9574 train exact_match_acc: 0.1416 (K~32.00, min=32, max=32, dt=2.75s)
itr: 9750 lr: 8.700e-05 train loss: 0.186829 train token_acc: 0.9619 train exact_match_acc: 0.1848 (K~32.00, min=32, max=32, dt=2.75s)
itr: 10000 lr: 8.632e-05 train loss: 0.171083 train token_acc: 0.9644 train exact_match_acc: 0.2307 (K~32.00, min=32, max=32, dt=2.75s)
itr: 10250 lr: 8.564e-05 train loss: 0.149665 train token_acc: 0.9719 train exact_match_acc: 0.3572 (K~32.00, min=32, max=32, dt=2.75s)
itr: 10500 lr: 8.494e-05 train loss: 0.122270 train token_acc: 0.9825 train exact_match_acc: 0.5747 (K~32.00, min=32, max=32, dt=2.75s)
itr: 10750 lr: 8.423e-05 train loss: 0.112586 train token_acc: 0.9859 train exact_match_acc: 0.6389 (K~32.00, min=32, max=32, dt=2.75s)
itr: 11000 lr: 8.351e-05 train loss: 0.097624 train token_acc: 0.9875 train exact_match_acc: 0.6614 (K~32.00, min=32, max=32, dt=2.75s)
itr: 11250 lr: 8.277e-05 train loss: 0.090520 train token_acc: 0.9896 train exact_match_acc: 0.7087 (K~32.00, min=32, max=32, dt=2.75s)
itr: 11500 lr: 8.202e-05 train loss: 0.089267 train token_acc: 0.9902 train exact_match_acc: 0.7200 (K~32.00, min=32, max=32, dt=2.75s)
itr: 11750 lr: 8.125e-05 train loss: 0.079951 train token_acc: 0.9917 train exact_match_acc: 0.7571 (K~32.00, min=32, max=32, dt=2.75s)
itr: 12000 lr: 8.048e-05 train loss: 0.072107 train token_acc: 0.9921 train exact_match_acc: 0.7654 (K~32.00, min=32, max=32, dt=2.75s)
itr: 12250 lr: 7.969e-05 train loss: 0.066234 train token_acc: 0.9923 train exact_match_acc: 0.7693 (K~32.00, min=32, max=32, dt=2.75s)
itr: 12500 lr: 7.889e-05 train loss: 0.064272 train token_acc: 0.9928 train exact_match_acc: 0.7820 (K~32.00, min=32, max=32, dt=2.75s)
itr: 12750 lr: 7.808e-05 train loss: 0.067101 train token_acc: 0.9923 train exact_match_acc: 0.7690 (K~32.00, min=32, max=32, dt=2.75s)
itr: 13000 lr: 7.726e-05 train loss: 0.057645 train token_acc: 0.9928 train exact_match_acc: 0.7878 (K~32.00, min=32, max=32, dt=2.75s)
itr: 13250 lr: 7.643e-05 train loss: 0.056072 train token_acc: 0.9934 train exact_match_acc: 0.8015 (K~32.00, min=32, max=32, dt=2.75s)
itr: 13500 lr: 7.559e-05 train loss: 0.055326 train token_acc: 0.9932 train exact_match_acc: 0.7961 (K~32.00, min=32, max=32, dt=2.75s)
itr: 13750 lr: 7.474e-05 train loss: 0.053442 train token_acc: 0.9935 train exact_match_acc: 0.8052 (K~32.00, min=32, max=32, dt=2.75s)
itr: 14000 lr: 7.388e-05 train loss: 0.051969 train token_acc: 0.9936 train exact_match_acc: 0.8054 (K~32.00, min=32, max=32, dt=2.75s)
itr: 14250 lr: 7.301e-05 train loss: 0.046960 train token_acc: 0.9940 train exact_match_acc: 0.8188 (K~32.00, min=32, max=32, dt=2.75s)
itr: 14500 lr: 7.213e-05 train loss: 0.048065 train token_acc: 0.9939 train exact_match_acc: 0.8140 (K~32.00, min=32, max=32, dt=2.75s)
itr: 14750 lr: 7.124e-05 train loss: 0.044746 train token_acc: 0.9946 train exact_match_acc: 0.8354 (K~32.00, min=32, max=32, dt=2.75s)
itr: 15000 lr: 7.035e-05 train loss: 0.039919 train token_acc: 0.9947 train exact_match_acc: 0.8362 (K~32.00, min=32, max=32, dt=2.75s)
itr: 15250 lr: 6.944e-05 train loss: 0.043675 train token_acc: 0.9948 train exact_match_acc: 0.8430 (K~32.00, min=32, max=32, dt=2.75s)
itr: 15500 lr: 6.853e-05 train loss: 0.042323 train token_acc: 0.9945 train exact_match_acc: 0.8323 (K~32.00, min=32, max=32, dt=2.75s)
itr: 15750 lr: 6.761e-05 train loss: 0.043839 train token_acc: 0.9945 train exact_match_acc: 0.8303 (K~32.00, min=32, max=32, dt=2.75s)
itr: 16000 lr: 6.669e-05 train loss: 0.042106 train token_acc: 0.9945 train exact_match_acc: 0.8315 (K~32.00, min=32, max=32, dt=2.75s)
itr: 16250 lr: 6.576e-05 train loss: 0.039669 train token_acc: 0.9950 train exact_match_acc: 0.8462 (K~32.00, min=32, max=32, dt=2.75s)
itr: 16500 lr: 6.482e-05 train loss: 0.039856 train token_acc: 0.9948 train exact_match_acc: 0.8386 (K~32.00, min=32, max=32, dt=2.75s)
itr: 16750 lr: 6.388e-05 train loss: 0.033650 train token_acc: 0.9951 train exact_match_acc: 0.8484 (K~32.00, min=32, max=32, dt=2.75s)
itr: 17000 lr: 6.293e-05 train loss: 0.038424 train token_acc: 0.9949 train exact_match_acc: 0.8413 (K~32.00, min=32, max=32, dt=2.75s)
