training:  19%|█▉        | 7743/40000 [01:25<05:53, 91.28it/s]
itr: 0 lr: 2.494e-07 train loss: 4.861401 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 4.847416 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.78s)
itr: 500 lr: 1.000e-04 train loss: 4.798931 train token_acc: 0.0076 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 750 lr: 9.998e-05 train loss: 4.650655 train token_acc: 0.0373 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 1000 lr: 9.994e-05 train loss: 4.263492 train token_acc: 0.0622 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 1250 lr: 9.989e-05 train loss: 3.601167 train token_acc: 0.0755 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 1500 lr: 9.981e-05 train loss: 3.159167 train token_acc: 0.0874 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 1750 lr: 9.972e-05 train loss: 2.940652 train token_acc: 0.1068 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 2000 lr: 9.960e-05 train loss: 2.801702 train token_acc: 0.1205 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 2250 lr: 9.947e-05 train loss: 2.711985 train token_acc: 0.1367 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 2500 lr: 9.931e-05 train loss: 2.669710 train token_acc: 0.1438 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 2750 lr: 9.914e-05 train loss: 2.638375 train token_acc: 0.1530 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 3000 lr: 9.895e-05 train loss: 2.615816 train token_acc: 0.1565 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 3250 lr: 9.874e-05 train loss: 2.601396 train token_acc: 0.1652 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 3500 lr: 9.851e-05 train loss: 2.585279 train token_acc: 0.1708 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 3750 lr: 9.826e-05 train loss: 2.573040 train token_acc: 0.1730 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 4000 lr: 9.799e-05 train loss: 2.559898 train token_acc: 0.1749 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 4250 lr: 9.771e-05 train loss: 2.543564 train token_acc: 0.1783 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 4500 lr: 9.740e-05 train loss: 2.534475 train token_acc: 0.1787 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 4750 lr: 9.708e-05 train loss: 2.524417 train token_acc: 0.1811 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 5000 lr: 9.674e-05 train loss: 2.515477 train token_acc: 0.1829 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 5250 lr: 9.638e-05 train loss: 2.505919 train token_acc: 0.1843 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 5500 lr: 9.600e-05 train loss: 2.501604 train token_acc: 0.1869 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 5750 lr: 9.561e-05 train loss: 2.489886 train token_acc: 0.1879 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 6000 lr: 9.519e-05 train loss: 2.485960 train token_acc: 0.1893 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 6250 lr: 9.476e-05 train loss: 2.475186 train token_acc: 0.1889 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 6500 lr: 9.432e-05 train loss: 2.470680 train token_acc: 0.1900 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 6750 lr: 9.385e-05 train loss: 2.463981 train token_acc: 0.1907 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 7000 lr: 9.337e-05 train loss: 2.459680 train token_acc: 0.1934 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
