training:  19%|█▉        | 7743/40000 [01:25<05:53, 91.16it/s]
itr: 0 lr: 2.494e-07 train loss: 4.862412 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.61s)
itr: 250 lr: 6.259e-05 train loss: 4.847768 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.77s)
itr: 500 lr: 1.000e-04 train loss: 4.800765 train token_acc: 0.0197 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 750 lr: 9.998e-05 train loss: 4.656806 train token_acc: 0.0335 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 1000 lr: 9.994e-05 train loss: 4.291840 train token_acc: 0.0598 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 1250 lr: 9.989e-05 train loss: 3.599150 train token_acc: 0.0646 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 1500 lr: 9.981e-05 train loss: 3.094209 train token_acc: 0.0965 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 1750 lr: 9.972e-05 train loss: 2.862497 train token_acc: 0.1175 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 2000 lr: 9.960e-05 train loss: 2.766137 train token_acc: 0.1297 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 2250 lr: 9.947e-05 train loss: 2.685798 train token_acc: 0.1418 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 2500 lr: 9.931e-05 train loss: 2.636990 train token_acc: 0.1505 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 2750 lr: 9.914e-05 train loss: 2.604383 train token_acc: 0.1572 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 3000 lr: 9.895e-05 train loss: 2.581219 train token_acc: 0.1620 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 3250 lr: 9.874e-05 train loss: 2.563099 train token_acc: 0.1674 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 3500 lr: 9.851e-05 train loss: 2.542657 train token_acc: 0.1700 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 3750 lr: 9.826e-05 train loss: 2.529155 train token_acc: 0.1749 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 4000 lr: 9.799e-05 train loss: 2.513626 train token_acc: 0.1771 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 4250 lr: 9.771e-05 train loss: 2.496194 train token_acc: 0.1804 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 4500 lr: 9.740e-05 train loss: 2.483902 train token_acc: 0.1825 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 4750 lr: 9.708e-05 train loss: 2.469918 train token_acc: 0.1873 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 5000 lr: 9.674e-05 train loss: 2.457120 train token_acc: 0.1915 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 5250 lr: 9.638e-05 train loss: 2.436047 train token_acc: 0.1945 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 5500 lr: 9.600e-05 train loss: 2.422575 train token_acc: 0.1969 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 5750 lr: 9.561e-05 train loss: 2.408378 train token_acc: 0.1988 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 6000 lr: 9.519e-05 train loss: 2.395415 train token_acc: 0.2016 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 6250 lr: 9.476e-05 train loss: 2.385419 train token_acc: 0.2054 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 6500 lr: 9.432e-05 train loss: 2.370199 train token_acc: 0.2076 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 6750 lr: 9.385e-05 train loss: 2.366132 train token_acc: 0.2130 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 7000 lr: 9.337e-05 train loss: 2.352725 train token_acc: 0.2153 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 7250 lr: 9.287e-05 train loss: 2.342894 train token_acc: 0.2195 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 7500 lr: 9.235e-05 train loss: 2.332419 train token_acc: 0.2258 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 7750 lr: 9.182e-05 train loss: 2.323149 train token_acc: 0.2299 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 8000 lr: 9.127e-05 train loss: 2.311651 train token_acc: 0.2360 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 8250 lr: 9.071e-05 train loss: 2.302832 train token_acc: 0.2401 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 8500 lr: 9.013e-05 train loss: 2.294667 train token_acc: 0.2418 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 8750 lr: 8.953e-05 train loss: 2.288571 train token_acc: 0.2437 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 9000 lr: 8.892e-05 train loss: 2.282595 train token_acc: 0.2472 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 9250 lr: 8.829e-05 train loss: 2.276939 train token_acc: 0.2481 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 9500 lr: 8.765e-05 train loss: 2.262938 train token_acc: 0.2511 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 9750 lr: 8.700e-05 train loss: 2.258346 train token_acc: 0.2503 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 10000 lr: 8.632e-05 train loss: 2.252033 train token_acc: 0.2524 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 10250 lr: 8.564e-05 train loss: 2.245083 train token_acc: 0.2563 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 10500 lr: 8.494e-05 train loss: 2.238578 train token_acc: 0.2583 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 10750 lr: 8.423e-05 train loss: 2.238061 train token_acc: 0.2600 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 11000 lr: 8.351e-05 train loss: 2.227282 train token_acc: 0.2593 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 11250 lr: 8.277e-05 train loss: 2.223240 train token_acc: 0.2619 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 11500 lr: 8.202e-05 train loss: 2.224441 train token_acc: 0.2640 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 11750 lr: 8.125e-05 train loss: 2.215637 train token_acc: 0.2660 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 12000 lr: 8.048e-05 train loss: 2.210547 train token_acc: 0.2682 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 12250 lr: 7.969e-05 train loss: 2.205961 train token_acc: 0.2695 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 12500 lr: 7.889e-05 train loss: 2.198008 train token_acc: 0.2722 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 12750 lr: 7.808e-05 train loss: 2.197628 train token_acc: 0.2739 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 13000 lr: 7.726e-05 train loss: 2.186409 train token_acc: 0.2740 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 13250 lr: 7.643e-05 train loss: 2.188712 train token_acc: 0.2761 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 13500 lr: 7.559e-05 train loss: 2.179307 train token_acc: 0.2790 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 13750 lr: 7.474e-05 train loss: 2.173388 train token_acc: 0.2807 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 14000 lr: 7.388e-05 train loss: 2.169236 train token_acc: 0.2826 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 14250 lr: 7.301e-05 train loss: 2.167046 train token_acc: 0.2830 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 14500 lr: 7.213e-05 train loss: 2.161761 train token_acc: 0.2844 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 14750 lr: 7.124e-05 train loss: 2.152181 train token_acc: 0.2869 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 15000 lr: 7.035e-05 train loss: 2.147810 train token_acc: 0.2883 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 15250 lr: 6.944e-05 train loss: 2.144574 train token_acc: 0.2882 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 15500 lr: 6.853e-05 train loss: 2.141923 train token_acc: 0.2907 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
itr: 15750 lr: 6.761e-05 train loss: 2.139188 train token_acc: 0.2917 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.74s)
