training:  19%|█▉        | 7745/40000 [01:40<06:58, 77.06it/s]
itr: 0 lr: 2.494e-07 train loss: 4.870095 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.819419 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 500 lr: 1.000e-04 train loss: 4.508423 train token_acc: 0.0049 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.25s)
itr: 750 lr: 9.998e-05 train loss: 3.574192 train token_acc: 0.0637 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.25s)
itr: 1000 lr: 9.994e-05 train loss: 2.702216 train token_acc: 0.1256 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.25s)
itr: 1250 lr: 9.989e-05 train loss: 2.408330 train token_acc: 0.1912 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.25s)
itr: 1500 lr: 9.981e-05 train loss: 2.268363 train token_acc: 0.2299 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.25s)
itr: 1750 lr: 9.972e-05 train loss: 2.146558 train token_acc: 0.2763 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.25s)
itr: 2000 lr: 9.960e-05 train loss: 2.008583 train token_acc: 0.3222 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.25s)
itr: 2250 lr: 9.947e-05 train loss: 1.808653 train token_acc: 0.3904 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.25s)
itr: 2500 lr: 9.931e-05 train loss: 1.560995 train token_acc: 0.4771 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.25s)
itr: 2750 lr: 9.914e-05 train loss: 1.272343 train token_acc: 0.5796 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.25s)
itr: 3000 lr: 9.895e-05 train loss: 0.964552 train token_acc: 0.6927 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.25s)
itr: 3250 lr: 9.874e-05 train loss: 0.680446 train token_acc: 0.7909 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=3.25s)
itr: 3500 lr: 9.851e-05 train loss: 0.457066 train token_acc: 0.8652 train exact_match_acc: 0.0044 (K~32.00, min=32, max=32, dt=3.25s)
itr: 3750 lr: 9.826e-05 train loss: 0.282180 train token_acc: 0.9268 train exact_match_acc: 0.0769 (K~32.00, min=32, max=32, dt=3.25s)
itr: 4000 lr: 9.799e-05 train loss: 0.166214 train token_acc: 0.9645 train exact_match_acc: 0.3220 (K~32.00, min=32, max=32, dt=3.25s)
itr: 4250 lr: 9.771e-05 train loss: 0.100538 train token_acc: 0.9826 train exact_match_acc: 0.5723 (K~32.00, min=32, max=32, dt=3.25s)
itr: 4500 lr: 9.740e-05 train loss: 0.065030 train token_acc: 0.9895 train exact_match_acc: 0.7117 (K~32.00, min=32, max=32, dt=3.25s)
itr: 4750 lr: 9.708e-05 train loss: 0.046354 train token_acc: 0.9928 train exact_match_acc: 0.7913 (K~32.00, min=32, max=32, dt=3.25s)
itr: 5000 lr: 9.674e-05 train loss: 0.033917 train token_acc: 0.9953 train exact_match_acc: 0.8545 (K~32.00, min=32, max=32, dt=3.25s)
itr: 5250 lr: 9.638e-05 train loss: 0.025409 train token_acc: 0.9962 train exact_match_acc: 0.8833 (K~32.00, min=32, max=32, dt=3.25s)
itr: 5500 lr: 9.600e-05 train loss: 0.020857 train token_acc: 0.9971 train exact_match_acc: 0.9089 (K~32.00, min=32, max=32, dt=3.25s)
itr: 5750 lr: 9.561e-05 train loss: 0.015335 train token_acc: 0.9975 train exact_match_acc: 0.9241 (K~32.00, min=32, max=32, dt=3.25s)
itr: 6000 lr: 9.519e-05 train loss: 0.012194 train token_acc: 0.9981 train exact_match_acc: 0.9407 (K~32.00, min=32, max=32, dt=3.25s)
itr: 6250 lr: 9.476e-05 train loss: 0.010581 train token_acc: 0.9986 train exact_match_acc: 0.9543 (K~32.00, min=32, max=32, dt=3.25s)
itr: 6500 lr: 9.432e-05 train loss: 0.008858 train token_acc: 0.9987 train exact_match_acc: 0.9592 (K~32.00, min=32, max=32, dt=3.25s)
itr: 6750 lr: 9.385e-05 train loss: 0.006691 train token_acc: 0.9990 train exact_match_acc: 0.9690 (K~32.00, min=32, max=32, dt=3.25s)
itr: 7000 lr: 9.337e-05 train loss: 0.008260 train token_acc: 0.9989 train exact_match_acc: 0.9648 (K~32.00, min=32, max=32, dt=3.25s)
itr: 7250 lr: 9.287e-05 train loss: 0.007094 train token_acc: 0.9990 train exact_match_acc: 0.9690 (K~32.00, min=32, max=32, dt=3.25s)
itr: 7500 lr: 9.235e-05 train loss: 0.004996 train token_acc: 0.9993 train exact_match_acc: 0.9763 (K~32.00, min=32, max=32, dt=3.25s)
itr: 7750 lr: 9.182e-05 train loss: 0.005584 train token_acc: 0.9993 train exact_match_acc: 0.9768 (K~32.00, min=32, max=32, dt=3.25s)
itr: 8000 lr: 9.127e-05 train loss: 0.004007 train token_acc: 0.9994 train exact_match_acc: 0.9800 (K~32.00, min=32, max=32, dt=3.25s)
itr: 8250 lr: 9.071e-05 train loss: 0.004363 train token_acc: 0.9994 train exact_match_acc: 0.9810 (K~32.00, min=32, max=32, dt=3.25s)
itr: 8500 lr: 9.013e-05 train loss: 0.004428 train token_acc: 0.9994 train exact_match_acc: 0.9807 (K~32.00, min=32, max=32, dt=3.25s)
itr: 8750 lr: 8.953e-05 train loss: 0.003056 train token_acc: 0.9995 train exact_match_acc: 0.9851 (K~32.00, min=32, max=32, dt=3.25s)
itr: 9000 lr: 8.892e-05 train loss: 0.003189 train token_acc: 0.9995 train exact_match_acc: 0.9844 (K~32.00, min=32, max=32, dt=3.25s)
itr: 9250 lr: 8.829e-05 train loss: 0.003027 train token_acc: 0.9996 train exact_match_acc: 0.9873 (K~32.00, min=32, max=32, dt=3.25s)
itr: 9500 lr: 8.765e-05 train loss: 0.002391 train token_acc: 0.9997 train exact_match_acc: 0.9900 (K~32.00, min=32, max=32, dt=3.25s)
itr: 9750 lr: 8.700e-05 train loss: 0.002437 train token_acc: 0.9996 train exact_match_acc: 0.9888 (K~32.00, min=32, max=32, dt=3.25s)
itr: 10000 lr: 8.632e-05 train loss: 0.002490 train token_acc: 0.9996 train exact_match_acc: 0.9888 (K~32.00, min=32, max=32, dt=3.25s)
itr: 10250 lr: 8.564e-05 train loss: 0.002384 train token_acc: 0.9997 train exact_match_acc: 0.9910 (K~32.00, min=32, max=32, dt=3.25s)
itr: 10500 lr: 8.494e-05 train loss: 0.002843 train token_acc: 0.9997 train exact_match_acc: 0.9907 (K~32.00, min=32, max=32, dt=3.25s)
itr: 10750 lr: 8.423e-05 train loss: 0.002426 train token_acc: 0.9997 train exact_match_acc: 0.9902 (K~32.00, min=32, max=32, dt=3.25s)
itr: 11000 lr: 8.351e-05 train loss: 0.002304 train token_acc: 0.9997 train exact_match_acc: 0.9905 (K~32.00, min=32, max=32, dt=3.25s)
itr: 11250 lr: 8.277e-05 train loss: 0.001583 train token_acc: 0.9998 train exact_match_acc: 0.9939 (K~32.00, min=32, max=32, dt=3.25s)
itr: 11500 lr: 8.202e-05 train loss: 0.001692 train token_acc: 0.9998 train exact_match_acc: 0.9939 (K~32.00, min=32, max=32, dt=3.25s)
itr: 11750 lr: 8.125e-05 train loss: 0.001693 train token_acc: 0.9997 train exact_match_acc: 0.9917 (K~32.00, min=32, max=32, dt=3.25s)
itr: 12000 lr: 8.048e-05 train loss: 0.001923 train token_acc: 0.9998 train exact_match_acc: 0.9924 (K~32.00, min=32, max=32, dt=3.25s)
itr: 12250 lr: 7.969e-05 train loss: 0.001311 train token_acc: 0.9998 train exact_match_acc: 0.9927 (K~32.00, min=32, max=32, dt=3.25s)
itr: 12500 lr: 7.889e-05 train loss: 0.001724 train token_acc: 0.9998 train exact_match_acc: 0.9934 (K~32.00, min=32, max=32, dt=3.25s)
itr: 12750 lr: 7.808e-05 train loss: 0.001249 train token_acc: 0.9998 train exact_match_acc: 0.9941 (K~32.00, min=32, max=32, dt=3.25s)
itr: 13000 lr: 7.726e-05 train loss: 0.000966 train token_acc: 0.9999 train exact_match_acc: 0.9956 (K~32.00, min=32, max=32, dt=3.25s)
itr: 13250 lr: 7.643e-05 train loss: 0.002211 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=3.25s)
itr: 13500 lr: 7.559e-05 train loss: 0.001715 train token_acc: 0.9998 train exact_match_acc: 0.9939 (K~32.00, min=32, max=32, dt=3.25s)
itr: 13750 lr: 7.474e-05 train loss: 0.001874 train token_acc: 0.9998 train exact_match_acc: 0.9951 (K~32.00, min=32, max=32, dt=3.25s)
itr: 14000 lr: 7.388e-05 train loss: 0.001202 train token_acc: 0.9998 train exact_match_acc: 0.9934 (K~32.00, min=32, max=32, dt=3.25s)
itr: 14250 lr: 7.301e-05 train loss: 0.001305 train token_acc: 0.9998 train exact_match_acc: 0.9939 (K~32.00, min=32, max=32, dt=3.25s)
itr: 14500 lr: 7.213e-05 train loss: 0.000755 train token_acc: 0.9999 train exact_match_acc: 0.9956 (K~32.00, min=32, max=32, dt=3.25s)
itr: 14750 lr: 7.124e-05 train loss: 0.001543 train token_acc: 0.9999 train exact_match_acc: 0.9954 (K~32.00, min=32, max=32, dt=3.25s)
itr: 15000 lr: 7.035e-05 train loss: 0.000882 train token_acc: 0.9998 train exact_match_acc: 0.9949 (K~32.00, min=32, max=32, dt=3.25s)
itr: 15250 lr: 6.944e-05 train loss: 0.001191 train token_acc: 0.9998 train exact_match_acc: 0.9946 (K~32.00, min=32, max=32, dt=3.25s)
itr: 15500 lr: 6.853e-05 train loss: 0.001178 train token_acc: 0.9998 train exact_match_acc: 0.9951 (K~32.00, min=32, max=32, dt=3.25s)
