training:  19%|█▉        | 7745/40000 [01:40<06:58, 77.14it/s]
itr: 0 lr: 2.494e-07 train loss: 4.877342 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.827952 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.27s)
itr: 500 lr: 1.000e-04 train loss: 4.520475 train token_acc: 0.0001 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.24s)
itr: 750 lr: 9.998e-05 train loss: 3.566879 train token_acc: 0.0507 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.24s)
itr: 1000 lr: 9.994e-05 train loss: 2.727958 train token_acc: 0.1158 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.24s)
itr: 1250 lr: 9.989e-05 train loss: 2.414135 train token_acc: 0.1919 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.24s)
itr: 1500 lr: 9.981e-05 train loss: 2.281841 train token_acc: 0.2257 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.24s)
itr: 1750 lr: 9.972e-05 train loss: 2.173521 train token_acc: 0.2621 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.24s)
itr: 2000 lr: 9.960e-05 train loss: 2.009885 train token_acc: 0.3188 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.24s)
itr: 2250 lr: 9.947e-05 train loss: 1.757052 train token_acc: 0.4098 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.24s)
itr: 2500 lr: 9.931e-05 train loss: 1.426626 train token_acc: 0.5241 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.24s)
itr: 2750 lr: 9.914e-05 train loss: 1.065551 train token_acc: 0.6544 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.24s)
itr: 3000 lr: 9.895e-05 train loss: 0.730082 train token_acc: 0.7762 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.24s)
itr: 3250 lr: 9.874e-05 train loss: 0.448363 train token_acc: 0.8786 train exact_match_acc: 0.0149 (K~32.00, min=32, max=32, dt=3.24s)
itr: 3500 lr: 9.851e-05 train loss: 0.269912 train token_acc: 0.9400 train exact_match_acc: 0.1626 (K~32.00, min=32, max=32, dt=3.24s)
itr: 3750 lr: 9.826e-05 train loss: 0.164254 train token_acc: 0.9697 train exact_match_acc: 0.3794 (K~32.00, min=32, max=32, dt=3.24s)
itr: 4000 lr: 9.799e-05 train loss: 0.110183 train token_acc: 0.9816 train exact_match_acc: 0.5520 (K~32.00, min=32, max=32, dt=3.24s)
itr: 4250 lr: 9.771e-05 train loss: 0.073861 train token_acc: 0.9885 train exact_match_acc: 0.6824 (K~32.00, min=32, max=32, dt=3.24s)
itr: 4500 lr: 9.740e-05 train loss: 0.048177 train token_acc: 0.9924 train exact_match_acc: 0.7844 (K~32.00, min=32, max=32, dt=3.24s)
itr: 4750 lr: 9.708e-05 train loss: 0.036759 train token_acc: 0.9946 train exact_match_acc: 0.8406 (K~32.00, min=32, max=32, dt=3.24s)
itr: 5000 lr: 9.674e-05 train loss: 0.025360 train token_acc: 0.9963 train exact_match_acc: 0.8867 (K~32.00, min=32, max=32, dt=3.24s)
itr: 5250 lr: 9.638e-05 train loss: 0.019898 train token_acc: 0.9971 train exact_match_acc: 0.9109 (K~32.00, min=32, max=32, dt=3.24s)
itr: 5500 lr: 9.600e-05 train loss: 0.015391 train token_acc: 0.9977 train exact_match_acc: 0.9309 (K~32.00, min=32, max=32, dt=3.24s)
itr: 5750 lr: 9.561e-05 train loss: 0.013118 train token_acc: 0.9982 train exact_match_acc: 0.9424 (K~32.00, min=32, max=32, dt=3.24s)
itr: 6000 lr: 9.519e-05 train loss: 0.010459 train token_acc: 0.9985 train exact_match_acc: 0.9524 (K~32.00, min=32, max=32, dt=3.24s)
itr: 6250 lr: 9.476e-05 train loss: 0.009454 train token_acc: 0.9986 train exact_match_acc: 0.9565 (K~32.00, min=32, max=32, dt=3.24s)
itr: 6500 lr: 9.432e-05 train loss: 0.008935 train token_acc: 0.9988 train exact_match_acc: 0.9624 (K~32.00, min=32, max=32, dt=3.24s)
itr: 6750 lr: 9.385e-05 train loss: 0.006989 train token_acc: 0.9990 train exact_match_acc: 0.9670 (K~32.00, min=32, max=32, dt=3.24s)
itr: 7000 lr: 9.337e-05 train loss: 0.006316 train token_acc: 0.9990 train exact_match_acc: 0.9685 (K~32.00, min=32, max=32, dt=3.24s)
itr: 7250 lr: 9.287e-05 train loss: 0.006022 train token_acc: 0.9990 train exact_match_acc: 0.9688 (K~32.00, min=32, max=32, dt=3.24s)
itr: 7500 lr: 9.235e-05 train loss: 0.006316 train token_acc: 0.9990 train exact_match_acc: 0.9695 (K~32.00, min=32, max=32, dt=3.24s)
itr: 7750 lr: 9.182e-05 train loss: 0.004513 train token_acc: 0.9993 train exact_match_acc: 0.9773 (K~32.00, min=32, max=32, dt=3.24s)
itr: 8000 lr: 9.127e-05 train loss: 0.004367 train token_acc: 0.9993 train exact_match_acc: 0.9780 (K~32.00, min=32, max=32, dt=3.24s)
itr: 8250 lr: 9.071e-05 train loss: 0.004732 train token_acc: 0.9993 train exact_match_acc: 0.9788 (K~32.00, min=32, max=32, dt=3.24s)
itr: 8500 lr: 9.013e-05 train loss: 0.003321 train token_acc: 0.9994 train exact_match_acc: 0.9800 (K~32.00, min=32, max=32, dt=3.24s)
itr: 8750 lr: 8.953e-05 train loss: 0.003744 train token_acc: 0.9994 train exact_match_acc: 0.9812 (K~32.00, min=32, max=32, dt=3.24s)
itr: 9000 lr: 8.892e-05 train loss: 0.003609 train token_acc: 0.9994 train exact_match_acc: 0.9812 (K~32.00, min=32, max=32, dt=3.24s)
itr: 9250 lr: 8.829e-05 train loss: 0.003868 train token_acc: 0.9995 train exact_match_acc: 0.9827 (K~32.00, min=32, max=32, dt=3.24s)
itr: 9500 lr: 8.765e-05 train loss: 0.002449 train token_acc: 0.9995 train exact_match_acc: 0.9856 (K~32.00, min=32, max=32, dt=3.24s)
itr: 9750 lr: 8.700e-05 train loss: 0.002954 train token_acc: 0.9995 train exact_match_acc: 0.9851 (K~32.00, min=32, max=32, dt=3.24s)
itr: 10000 lr: 8.632e-05 train loss: 0.002943 train token_acc: 0.9996 train exact_match_acc: 0.9880 (K~32.00, min=32, max=32, dt=3.24s)
itr: 10250 lr: 8.564e-05 train loss: 0.002043 train token_acc: 0.9996 train exact_match_acc: 0.9878 (K~32.00, min=32, max=32, dt=3.24s)
itr: 10500 lr: 8.494e-05 train loss: 0.002065 train token_acc: 0.9995 train exact_match_acc: 0.9856 (K~32.00, min=32, max=32, dt=3.24s)
itr: 10750 lr: 8.423e-05 train loss: 0.001820 train token_acc: 0.9996 train exact_match_acc: 0.9861 (K~32.00, min=32, max=32, dt=3.24s)
itr: 11000 lr: 8.351e-05 train loss: 0.001915 train token_acc: 0.9997 train exact_match_acc: 0.9900 (K~32.00, min=32, max=32, dt=3.24s)
