training:  19%|█▉        | 7743/40000 [01:25<05:53, 91.13it/s]
itr: 0 lr: 2.494e-07 train loss: 4.872009 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 4.847557 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.76s)
itr: 500 lr: 1.000e-04 train loss: 4.749736 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 750 lr: 9.998e-05 train loss: 4.540298 train token_acc: 0.0001 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 1000 lr: 9.994e-05 train loss: 4.040785 train token_acc: 0.0132 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 1250 lr: 9.989e-05 train loss: 3.454543 train token_acc: 0.0263 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 1500 lr: 9.981e-05 train loss: 3.032332 train token_acc: 0.0172 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 1750 lr: 9.972e-05 train loss: 2.812101 train token_acc: 0.0365 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 2000 lr: 9.960e-05 train loss: 2.719485 train token_acc: 0.0619 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 2250 lr: 9.947e-05 train loss: 2.654513 train token_acc: 0.0813 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 2500 lr: 9.931e-05 train loss: 2.603033 train token_acc: 0.1003 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 2750 lr: 9.914e-05 train loss: 2.557882 train token_acc: 0.1205 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 3000 lr: 9.895e-05 train loss: 2.513976 train token_acc: 0.1419 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 3250 lr: 9.874e-05 train loss: 2.472554 train token_acc: 0.1636 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 3500 lr: 9.851e-05 train loss: 2.431868 train token_acc: 0.1836 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 3750 lr: 9.826e-05 train loss: 2.389411 train token_acc: 0.2038 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 4000 lr: 9.799e-05 train loss: 2.346256 train token_acc: 0.2206 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 4250 lr: 9.771e-05 train loss: 2.313822 train token_acc: 0.2316 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
itr: 4500 lr: 9.740e-05 train loss: 2.280663 train token_acc: 0.2461 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.75s)
