training:  19%|█▉        | 7747/40000 [01:52<07:45, 69.28it/s]
itr: 0 lr: 2.494e-07 train loss: 5.899601 train token_acc: 0.0031 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 5.148945 train token_acc: 0.0323 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.63s)
itr: 500 lr: 1.000e-04 train loss: 3.172607 train token_acc: 0.2281 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.61s)
itr: 750 lr: 9.998e-05 train loss: 1.036282 train token_acc: 0.7209 train exact_match_acc: 0.0061 (K~16.00, min=16, max=16, dt=3.61s)
itr: 1000 lr: 9.994e-05 train loss: 0.363095 train token_acc: 0.9135 train exact_match_acc: 0.2476 (K~16.00, min=16, max=16, dt=3.61s)
itr: 1250 lr: 9.989e-05 train loss: 0.175865 train token_acc: 0.9672 train exact_match_acc: 0.5808 (K~16.00, min=16, max=16, dt=3.61s)
itr: 1500 lr: 9.981e-05 train loss: 0.102934 train token_acc: 0.9834 train exact_match_acc: 0.7581 (K~16.00, min=16, max=16, dt=3.61s)
itr: 1750 lr: 9.972e-05 train loss: 0.070368 train token_acc: 0.9892 train exact_match_acc: 0.8347 (K~16.00, min=16, max=16, dt=3.61s)
itr: 2000 lr: 9.960e-05 train loss: 0.051325 train token_acc: 0.9925 train exact_match_acc: 0.8828 (K~16.00, min=16, max=16, dt=3.61s)
itr: 2250 lr: 9.947e-05 train loss: 0.036167 train token_acc: 0.9946 train exact_match_acc: 0.9165 (K~16.00, min=16, max=16, dt=3.61s)
itr: 2500 lr: 9.931e-05 train loss: 0.030984 train token_acc: 0.9954 train exact_match_acc: 0.9270 (K~16.00, min=16, max=16, dt=3.61s)
itr: 2750 lr: 9.914e-05 train loss: 0.024847 train token_acc: 0.9962 train exact_match_acc: 0.9390 (K~16.00, min=16, max=16, dt=3.61s)
itr: 3000 lr: 9.895e-05 train loss: 0.020362 train token_acc: 0.9968 train exact_match_acc: 0.9490 (K~16.00, min=16, max=16, dt=3.61s)
