training:  19%|█▉        | 7747/40000 [01:52<07:45, 69.24it/s]
itr: 0 lr: 2.494e-07 train loss: 5.606362 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.942749 train token_acc: 0.0137 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.65s)
itr: 500 lr: 1.000e-04 train loss: 3.295032 train token_acc: 0.3621 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.61s)
itr: 750 lr: 9.998e-05 train loss: 2.111277 train token_acc: 0.5727 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.61s)
itr: 1000 lr: 9.994e-05 train loss: 1.432811 train token_acc: 0.6677 train exact_match_acc: 0.0024 (K~16.00, min=16, max=16, dt=3.61s)
itr: 1250 lr: 9.989e-05 train loss: 1.048806 train token_acc: 0.7406 train exact_match_acc: 0.0122 (K~16.00, min=16, max=16, dt=3.61s)
itr: 1500 lr: 9.981e-05 train loss: 0.817943 train token_acc: 0.7908 train exact_match_acc: 0.0251 (K~16.00, min=16, max=16, dt=3.61s)
itr: 1750 lr: 9.972e-05 train loss: 0.665834 train token_acc: 0.8275 train exact_match_acc: 0.0544 (K~16.00, min=16, max=16, dt=3.61s)
itr: 2000 lr: 9.960e-05 train loss: 0.550399 train token_acc: 0.8589 train exact_match_acc: 0.0942 (K~16.00, min=16, max=16, dt=3.61s)
itr: 2250 lr: 9.947e-05 train loss: 0.459404 train token_acc: 0.8829 train exact_match_acc: 0.1382 (K~16.00, min=16, max=16, dt=3.61s)
itr: 2500 lr: 9.931e-05 train loss: 0.396321 train token_acc: 0.9036 train exact_match_acc: 0.1970 (K~16.00, min=16, max=16, dt=3.61s)
itr: 2750 lr: 9.914e-05 train loss: 0.343041 train token_acc: 0.9184 train exact_match_acc: 0.2520 (K~16.00, min=16, max=16, dt=3.61s)
itr: 3000 lr: 9.895e-05 train loss: 0.312722 train token_acc: 0.9273 train exact_match_acc: 0.2869 (K~16.00, min=16, max=16, dt=3.61s)
itr: 3250 lr: 9.874e-05 train loss: 0.278639 train token_acc: 0.9371 train exact_match_acc: 0.3508 (K~16.00, min=16, max=16, dt=3.61s)
itr: 3500 lr: 9.851e-05 train loss: 0.248175 train token_acc: 0.9448 train exact_match_acc: 0.4004 (K~16.00, min=16, max=16, dt=3.61s)
itr: 3750 lr: 9.826e-05 train loss: 0.234042 train token_acc: 0.9489 train exact_match_acc: 0.4275 (K~16.00, min=16, max=16, dt=3.61s)
itr: 4000 lr: 9.799e-05 train loss: 0.211464 train token_acc: 0.9552 train exact_match_acc: 0.4622 (K~16.00, min=16, max=16, dt=3.61s)
itr: 4250 lr: 9.771e-05 train loss: 0.199813 train token_acc: 0.9585 train exact_match_acc: 0.4922 (K~16.00, min=16, max=16, dt=3.61s)
itr: 4500 lr: 9.740e-05 train loss: 0.186780 train token_acc: 0.9615 train exact_match_acc: 0.5127 (K~16.00, min=16, max=16, dt=3.61s)
itr: 4750 lr: 9.708e-05 train loss: 0.173534 train token_acc: 0.9653 train exact_match_acc: 0.5542 (K~16.00, min=16, max=16, dt=3.61s)
itr: 5000 lr: 9.674e-05 train loss: 0.165703 train token_acc: 0.9666 train exact_match_acc: 0.5593 (K~16.00, min=16, max=16, dt=3.61s)
itr: 5250 lr: 9.638e-05 train loss: 0.153634 train token_acc: 0.9699 train exact_match_acc: 0.5950 (K~16.00, min=16, max=16, dt=3.61s)
itr: 5500 lr: 9.600e-05 train loss: 0.149099 train token_acc: 0.9709 train exact_match_acc: 0.6106 (K~16.00, min=16, max=16, dt=3.61s)
itr: 5750 lr: 9.561e-05 train loss: 0.140463 train token_acc: 0.9725 train exact_match_acc: 0.6304 (K~16.00, min=16, max=16, dt=3.61s)
itr: 6000 lr: 9.519e-05 train loss: 0.130958 train token_acc: 0.9754 train exact_match_acc: 0.6614 (K~16.00, min=16, max=16, dt=3.61s)
itr: 6250 lr: 9.476e-05 train loss: 0.122220 train token_acc: 0.9766 train exact_match_acc: 0.6755 (K~16.00, min=16, max=16, dt=3.61s)
itr: 6500 lr: 9.432e-05 train loss: 0.115762 train token_acc: 0.9783 train exact_match_acc: 0.6929 (K~16.00, min=16, max=16, dt=3.61s)
itr: 6750 lr: 9.385e-05 train loss: 0.107920 train token_acc: 0.9794 train exact_match_acc: 0.7034 (K~16.00, min=16, max=16, dt=3.61s)
itr: 7000 lr: 9.337e-05 train loss: 0.107918 train token_acc: 0.9795 train exact_match_acc: 0.7046 (K~16.00, min=16, max=16, dt=3.61s)
