training:  19%|█▉        | 7750/40000 [01:21<05:38, 95.15it/s]
itr: 0 lr: 2.494e-07 train loss: 5.553499 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 5.536920 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.67s)
itr: 500 lr: 1.000e-04 train loss: 5.374178 train token_acc: 0.0073 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 750 lr: 9.998e-05 train loss: 4.720767 train token_acc: 0.0108 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1000 lr: 9.994e-05 train loss: 4.011073 train token_acc: 0.0319 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1250 lr: 9.989e-05 train loss: 3.936542 train token_acc: 0.0354 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1500 lr: 9.981e-05 train loss: 3.882318 train token_acc: 0.0380 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1750 lr: 9.972e-05 train loss: 3.833842 train token_acc: 0.0422 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2000 lr: 9.960e-05 train loss: 3.799338 train token_acc: 0.0439 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2250 lr: 9.947e-05 train loss: 3.759345 train token_acc: 0.0468 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2500 lr: 9.931e-05 train loss: 3.718232 train token_acc: 0.0507 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2750 lr: 9.914e-05 train loss: 3.674129 train token_acc: 0.0546 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3000 lr: 9.895e-05 train loss: 3.624874 train token_acc: 0.0618 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3250 lr: 9.874e-05 train loss: 3.575816 train token_acc: 0.0649 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3500 lr: 9.851e-05 train loss: 3.527495 train token_acc: 0.0697 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3750 lr: 9.826e-05 train loss: 3.489900 train token_acc: 0.0751 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 4000 lr: 9.799e-05 train loss: 3.455176 train token_acc: 0.0806 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 4250 lr: 9.771e-05 train loss: 3.407707 train token_acc: 0.0848 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 4500 lr: 9.740e-05 train loss: 3.383255 train token_acc: 0.0903 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 4750 lr: 9.708e-05 train loss: 3.351052 train token_acc: 0.0981 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 5000 lr: 9.674e-05 train loss: 3.320246 train token_acc: 0.1008 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 5250 lr: 9.638e-05 train loss: 3.304340 train token_acc: 0.1026 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 5500 lr: 9.600e-05 train loss: 3.292576 train token_acc: 0.1073 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 5750 lr: 9.561e-05 train loss: 3.260996 train token_acc: 0.1140 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 6000 lr: 9.519e-05 train loss: 3.252362 train token_acc: 0.1147 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 6250 lr: 9.476e-05 train loss: 3.217300 train token_acc: 0.1167 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 6500 lr: 9.432e-05 train loss: 3.231786 train token_acc: 0.1174 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 6750 lr: 9.385e-05 train loss: 3.187185 train token_acc: 0.1217 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 7000 lr: 9.337e-05 train loss: 3.185854 train token_acc: 0.1222 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 7250 lr: 9.287e-05 train loss: 3.172129 train token_acc: 0.1224 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 7500 lr: 9.235e-05 train loss: 3.159657 train token_acc: 0.1231 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 7750 lr: 9.182e-05 train loss: 3.132546 train token_acc: 0.1305 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 8000 lr: 9.127e-05 train loss: 3.128161 train token_acc: 0.1360 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 8250 lr: 9.071e-05 train loss: 3.109381 train token_acc: 0.1342 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 8500 lr: 9.013e-05 train loss: 3.094217 train token_acc: 0.1382 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 8750 lr: 8.953e-05 train loss: 3.084623 train token_acc: 0.1419 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 9000 lr: 8.892e-05 train loss: 3.074885 train token_acc: 0.1414 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 9250 lr: 8.829e-05 train loss: 3.063561 train token_acc: 0.1417 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 9500 lr: 8.765e-05 train loss: 3.061413 train token_acc: 0.1486 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 9750 lr: 8.700e-05 train loss: 3.039232 train token_acc: 0.1479 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 10000 lr: 8.632e-05 train loss: 3.046059 train token_acc: 0.1540 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 10250 lr: 8.564e-05 train loss: 3.049727 train token_acc: 0.1551 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 10500 lr: 8.494e-05 train loss: 3.015778 train token_acc: 0.1588 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 10750 lr: 8.423e-05 train loss: 3.020777 train token_acc: 0.1545 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 11000 lr: 8.351e-05 train loss: 2.976483 train token_acc: 0.1597 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 11250 lr: 8.277e-05 train loss: 2.975928 train token_acc: 0.1622 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 11500 lr: 8.202e-05 train loss: 2.964602 train token_acc: 0.1643 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 11750 lr: 8.125e-05 train loss: 2.948220 train token_acc: 0.1691 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 12000 lr: 8.048e-05 train loss: 2.940107 train token_acc: 0.1677 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 12250 lr: 7.969e-05 train loss: 2.946680 train token_acc: 0.1797 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 12500 lr: 7.889e-05 train loss: 2.900483 train token_acc: 0.1783 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 12750 lr: 7.808e-05 train loss: 2.892699 train token_acc: 0.1802 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 13000 lr: 7.726e-05 train loss: 2.872343 train token_acc: 0.1832 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 13250 lr: 7.643e-05 train loss: 2.878554 train token_acc: 0.1826 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 13500 lr: 7.559e-05 train loss: 2.848490 train token_acc: 0.1909 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 13750 lr: 7.474e-05 train loss: 2.852883 train token_acc: 0.1872 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 14000 lr: 7.388e-05 train loss: 2.829392 train token_acc: 0.1934 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 14250 lr: 7.301e-05 train loss: 2.817619 train token_acc: 0.1929 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 14500 lr: 7.213e-05 train loss: 2.799327 train token_acc: 0.1955 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 14750 lr: 7.124e-05 train loss: 2.789329 train token_acc: 0.2013 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 15000 lr: 7.035e-05 train loss: 2.811341 train token_acc: 0.2065 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 15250 lr: 6.944e-05 train loss: 2.756645 train token_acc: 0.2096 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 15500 lr: 6.853e-05 train loss: 2.800065 train token_acc: 0.2032 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 15750 lr: 6.761e-05 train loss: 2.739078 train token_acc: 0.2142 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 16000 lr: 6.669e-05 train loss: 2.726226 train token_acc: 0.2137 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 16250 lr: 6.576e-05 train loss: 2.712369 train token_acc: 0.2201 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 16500 lr: 6.482e-05 train loss: 2.746816 train token_acc: 0.2244 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 16750 lr: 6.388e-05 train loss: 2.685583 train token_acc: 0.2247 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 17000 lr: 6.293e-05 train loss: 2.686649 train token_acc: 0.2256 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 17250 lr: 6.198e-05 train loss: 2.678794 train token_acc: 0.2221 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 17500 lr: 6.102e-05 train loss: 2.650238 train token_acc: 0.2273 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 17750 lr: 6.006e-05 train loss: 2.643235 train token_acc: 0.2298 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 18000 lr: 5.910e-05 train loss: 2.623458 train token_acc: 0.2352 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 18250 lr: 5.813e-05 train loss: 2.628586 train token_acc: 0.2318 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 18500 lr: 5.716e-05 train loss: 2.620508 train token_acc: 0.2360 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 18750 lr: 5.618e-05 train loss: 2.589682 train token_acc: 0.2422 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 19000 lr: 5.521e-05 train loss: 2.601495 train token_acc: 0.2448 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 19250 lr: 5.423e-05 train loss: 2.571095 train token_acc: 0.2445 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 19500 lr: 5.325e-05 train loss: 2.567836 train token_acc: 0.2461 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 19750 lr: 5.227e-05 train loss: 2.557910 train token_acc: 0.2460 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 20000 lr: 5.129e-05 train loss: 2.551284 train token_acc: 0.2524 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
saved checkpoint: ./grid_outputs/len_gen_v256_e128_k16/task_0002/saved_models/Checkpoint_N256_d128_H1_L2_npos1_mlp0_ln0_normnone_qkn0_qkrms0_gate0_gateelem0_lenmix_trainK16to16_testK16to16_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 2.551807 train token_acc: 0.2536 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 20500 lr: 4.932e-05 train loss: 2.540478 train token_acc: 0.2549 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 20750 lr: 4.834e-05 train loss: 2.559451 train token_acc: 0.2596 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 21000 lr: 4.736e-05 train loss: 2.552506 train token_acc: 0.2495 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 21250 lr: 4.638e-05 train loss: 2.511498 train token_acc: 0.2564 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 21500 lr: 4.540e-05 train loss: 2.506453 train token_acc: 0.2570 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 21750 lr: 4.443e-05 train loss: 2.501709 train token_acc: 0.2592 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 22000 lr: 4.346e-05 train loss: 2.485008 train token_acc: 0.2616 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 22250 lr: 4.249e-05 train loss: 2.469219 train token_acc: 0.2649 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 22500 lr: 4.152e-05 train loss: 2.465576 train token_acc: 0.2694 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 22750 lr: 4.055e-05 train loss: 2.468151 train token_acc: 0.2681 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
