training:  19%|█▉        | 7741/40000 [01:21<05:39, 94.95it/s]
itr: 0 lr: 2.494e-07 train loss: 5.552944 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.36s)
itr: 250 lr: 6.259e-05 train loss: 5.537097 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.67s)
itr: 500 lr: 1.000e-04 train loss: 5.367112 train token_acc: 0.0071 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 750 lr: 9.998e-05 train loss: 4.639642 train token_acc: 0.0109 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 1000 lr: 9.994e-05 train loss: 4.027946 train token_acc: 0.0303 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 1250 lr: 9.989e-05 train loss: 3.962116 train token_acc: 0.0349 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 1500 lr: 9.981e-05 train loss: 3.908945 train token_acc: 0.0368 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 1750 lr: 9.972e-05 train loss: 3.867599 train token_acc: 0.0380 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 2000 lr: 9.960e-05 train loss: 3.823806 train token_acc: 0.0406 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 2250 lr: 9.947e-05 train loss: 3.790743 train token_acc: 0.0416 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 2500 lr: 9.931e-05 train loss: 3.756688 train token_acc: 0.0446 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 2750 lr: 9.914e-05 train loss: 3.733695 train token_acc: 0.0452 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 3000 lr: 9.895e-05 train loss: 3.695628 train token_acc: 0.0470 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 3250 lr: 9.874e-05 train loss: 3.657416 train token_acc: 0.0516 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 3500 lr: 9.851e-05 train loss: 3.623424 train token_acc: 0.0518 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 3750 lr: 9.826e-05 train loss: 3.586748 train token_acc: 0.0524 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 4000 lr: 9.799e-05 train loss: 3.566846 train token_acc: 0.0557 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 4250 lr: 9.771e-05 train loss: 3.545989 train token_acc: 0.0561 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 4500 lr: 9.740e-05 train loss: 3.495739 train token_acc: 0.0600 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 4750 lr: 9.708e-05 train loss: 3.469615 train token_acc: 0.0646 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 5000 lr: 9.674e-05 train loss: 3.437560 train token_acc: 0.0660 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 5250 lr: 9.638e-05 train loss: 3.418240 train token_acc: 0.0661 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 5500 lr: 9.600e-05 train loss: 3.387481 train token_acc: 0.0686 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 5750 lr: 9.561e-05 train loss: 3.372334 train token_acc: 0.0729 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 6000 lr: 9.519e-05 train loss: 3.357116 train token_acc: 0.0750 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 6250 lr: 9.476e-05 train loss: 3.314655 train token_acc: 0.0749 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
