training:  19%|█▉        | 7746/40000 [01:53<07:52, 68.28it/s]
itr: 0 lr: 2.494e-07 train loss: 5.554425 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 5.423120 train token_acc: 0.0039 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.69s)
itr: 500 lr: 1.000e-04 train loss: 3.890464 train token_acc: 0.0377 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.66s)
itr: 750 lr: 9.998e-05 train loss: 3.446466 train token_acc: 0.1154 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.66s)
itr: 1000 lr: 9.994e-05 train loss: 2.825664 train token_acc: 0.2741 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.66s)
itr: 1250 lr: 9.989e-05 train loss: 2.281265 train token_acc: 0.4065 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.66s)
itr: 1500 lr: 9.981e-05 train loss: 1.880897 train token_acc: 0.5018 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.66s)
itr: 1750 lr: 9.972e-05 train loss: 1.550062 train token_acc: 0.5820 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.66s)
itr: 2000 lr: 9.960e-05 train loss: 1.314988 train token_acc: 0.6376 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=3.66s)
itr: 2250 lr: 9.947e-05 train loss: 1.140824 train token_acc: 0.6803 train exact_match_acc: 0.0022 (K~16.00, min=16, max=16, dt=3.66s)
itr: 2500 lr: 9.931e-05 train loss: 0.989240 train token_acc: 0.7225 train exact_match_acc: 0.0085 (K~16.00, min=16, max=16, dt=3.66s)
itr: 2750 lr: 9.914e-05 train loss: 0.877135 train token_acc: 0.7551 train exact_match_acc: 0.0168 (K~16.00, min=16, max=16, dt=3.66s)
itr: 3000 lr: 9.895e-05 train loss: 0.773295 train token_acc: 0.7813 train exact_match_acc: 0.0317 (K~16.00, min=16, max=16, dt=3.66s)
itr: 3250 lr: 9.874e-05 train loss: 0.697135 train token_acc: 0.8041 train exact_match_acc: 0.0417 (K~16.00, min=16, max=16, dt=3.66s)
itr: 3500 lr: 9.851e-05 train loss: 0.632983 train token_acc: 0.8204 train exact_match_acc: 0.0559 (K~16.00, min=16, max=16, dt=3.66s)
itr: 3750 lr: 9.826e-05 train loss: 0.571741 train token_acc: 0.8377 train exact_match_acc: 0.0796 (K~16.00, min=16, max=16, dt=3.66s)
itr: 4000 lr: 9.799e-05 train loss: 0.530044 train token_acc: 0.8504 train exact_match_acc: 0.1001 (K~16.00, min=16, max=16, dt=3.66s)
itr: 4250 lr: 9.771e-05 train loss: 0.478723 train token_acc: 0.8613 train exact_match_acc: 0.1172 (K~16.00, min=16, max=16, dt=3.66s)
itr: 4500 lr: 9.740e-05 train loss: 0.445444 train token_acc: 0.8714 train exact_match_acc: 0.1409 (K~16.00, min=16, max=16, dt=3.66s)
itr: 4750 lr: 9.708e-05 train loss: 0.413799 train token_acc: 0.8824 train exact_match_acc: 0.1726 (K~16.00, min=16, max=16, dt=3.66s)
itr: 5000 lr: 9.674e-05 train loss: 0.384219 train token_acc: 0.8886 train exact_match_acc: 0.1829 (K~16.00, min=16, max=16, dt=3.66s)
itr: 5250 lr: 9.638e-05 train loss: 0.372677 train token_acc: 0.8941 train exact_match_acc: 0.2041 (K~16.00, min=16, max=16, dt=3.66s)
itr: 5500 lr: 9.600e-05 train loss: 0.352783 train token_acc: 0.9003 train exact_match_acc: 0.2124 (K~16.00, min=16, max=16, dt=3.66s)
itr: 5750 lr: 9.561e-05 train loss: 0.329023 train token_acc: 0.9084 train exact_match_acc: 0.2544 (K~16.00, min=16, max=16, dt=3.66s)
itr: 6000 lr: 9.519e-05 train loss: 0.317270 train token_acc: 0.9109 train exact_match_acc: 0.2659 (K~16.00, min=16, max=16, dt=3.66s)
itr: 6250 lr: 9.476e-05 train loss: 0.301829 train token_acc: 0.9153 train exact_match_acc: 0.2803 (K~16.00, min=16, max=16, dt=3.66s)
itr: 6500 lr: 9.432e-05 train loss: 0.289267 train token_acc: 0.9191 train exact_match_acc: 0.2996 (K~16.00, min=16, max=16, dt=3.66s)
itr: 6750 lr: 9.385e-05 train loss: 0.270228 train token_acc: 0.9243 train exact_match_acc: 0.3179 (K~16.00, min=16, max=16, dt=3.66s)
itr: 7000 lr: 9.337e-05 train loss: 0.258275 train token_acc: 0.9276 train exact_match_acc: 0.3381 (K~16.00, min=16, max=16, dt=3.66s)
itr: 7250 lr: 9.287e-05 train loss: 0.245209 train token_acc: 0.9305 train exact_match_acc: 0.3574 (K~16.00, min=16, max=16, dt=3.66s)
itr: 7500 lr: 9.235e-05 train loss: 0.232848 train token_acc: 0.9334 train exact_match_acc: 0.3650 (K~16.00, min=16, max=16, dt=3.66s)
itr: 7750 lr: 9.182e-05 train loss: 0.229896 train token_acc: 0.9356 train exact_match_acc: 0.3821 (K~16.00, min=16, max=16, dt=3.66s)
itr: 8000 lr: 9.127e-05 train loss: 0.225520 train token_acc: 0.9367 train exact_match_acc: 0.3865 (K~16.00, min=16, max=16, dt=3.66s)
itr: 8250 lr: 9.071e-05 train loss: 0.216068 train token_acc: 0.9386 train exact_match_acc: 0.3960 (K~16.00, min=16, max=16, dt=3.66s)
itr: 8500 lr: 9.013e-05 train loss: 0.209494 train token_acc: 0.9418 train exact_match_acc: 0.4214 (K~16.00, min=16, max=16, dt=3.66s)
itr: 8750 lr: 8.953e-05 train loss: 0.204888 train token_acc: 0.9430 train exact_match_acc: 0.4312 (K~16.00, min=16, max=16, dt=3.66s)
itr: 9000 lr: 8.892e-05 train loss: 0.199123 train token_acc: 0.9448 train exact_match_acc: 0.4333 (K~16.00, min=16, max=16, dt=3.66s)
itr: 9250 lr: 8.829e-05 train loss: 0.192754 train token_acc: 0.9464 train exact_match_acc: 0.4561 (K~16.00, min=16, max=16, dt=3.66s)
itr: 9500 lr: 8.765e-05 train loss: 0.180809 train token_acc: 0.9502 train exact_match_acc: 0.4749 (K~16.00, min=16, max=16, dt=3.66s)
itr: 9750 lr: 8.700e-05 train loss: 0.173605 train token_acc: 0.9515 train exact_match_acc: 0.4768 (K~16.00, min=16, max=16, dt=3.66s)
itr: 10000 lr: 8.632e-05 train loss: 0.167006 train token_acc: 0.9536 train exact_match_acc: 0.5034 (K~16.00, min=16, max=16, dt=3.66s)
itr: 10250 lr: 8.564e-05 train loss: 0.165667 train token_acc: 0.9536 train exact_match_acc: 0.5017 (K~16.00, min=16, max=16, dt=3.66s)
