training:  19%|█▉        | 7746/40000 [01:53<07:52, 68.31it/s]
itr: 0 lr: 2.494e-07 train loss: 5.555274 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 5.422809 train token_acc: 0.0040 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.69s)
itr: 500 lr: 1.000e-04 train loss: 3.899235 train token_acc: 0.0401 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.66s)
itr: 750 lr: 9.998e-05 train loss: 3.402269 train token_acc: 0.1241 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.66s)
itr: 1000 lr: 9.994e-05 train loss: 2.682695 train token_acc: 0.3150 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.66s)
itr: 1250 lr: 9.989e-05 train loss: 2.082368 train token_acc: 0.4735 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.66s)
itr: 1500 lr: 9.981e-05 train loss: 1.693620 train token_acc: 0.5607 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.66s)
itr: 1750 lr: 9.972e-05 train loss: 1.444302 train token_acc: 0.6184 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=3.66s)
itr: 2000 lr: 9.960e-05 train loss: 1.240072 train token_acc: 0.6675 train exact_match_acc: 0.0015 (K~16.00, min=16, max=16, dt=3.66s)
itr: 2250 lr: 9.947e-05 train loss: 1.076283 train token_acc: 0.7089 train exact_match_acc: 0.0073 (K~16.00, min=16, max=16, dt=3.66s)
itr: 2500 lr: 9.931e-05 train loss: 0.933984 train token_acc: 0.7417 train exact_match_acc: 0.0164 (K~16.00, min=16, max=16, dt=3.66s)
itr: 2750 lr: 9.914e-05 train loss: 0.818014 train token_acc: 0.7734 train exact_match_acc: 0.0229 (K~16.00, min=16, max=16, dt=3.66s)
itr: 3000 lr: 9.895e-05 train loss: 0.733928 train token_acc: 0.7968 train exact_match_acc: 0.0334 (K~16.00, min=16, max=16, dt=3.66s)
itr: 3250 lr: 9.874e-05 train loss: 0.650824 train token_acc: 0.8202 train exact_match_acc: 0.0623 (K~16.00, min=16, max=16, dt=3.66s)
itr: 3500 lr: 9.851e-05 train loss: 0.590016 train token_acc: 0.8358 train exact_match_acc: 0.0803 (K~16.00, min=16, max=16, dt=3.66s)
itr: 3750 lr: 9.826e-05 train loss: 0.528589 train token_acc: 0.8524 train exact_match_acc: 0.0981 (K~16.00, min=16, max=16, dt=3.66s)
itr: 4000 lr: 9.799e-05 train loss: 0.498607 train token_acc: 0.8615 train exact_match_acc: 0.1172 (K~16.00, min=16, max=16, dt=3.66s)
itr: 4250 lr: 9.771e-05 train loss: 0.446158 train token_acc: 0.8753 train exact_match_acc: 0.1384 (K~16.00, min=16, max=16, dt=3.66s)
itr: 4500 lr: 9.740e-05 train loss: 0.415199 train token_acc: 0.8841 train exact_match_acc: 0.1733 (K~16.00, min=16, max=16, dt=3.66s)
itr: 4750 lr: 9.708e-05 train loss: 0.377052 train token_acc: 0.8953 train exact_match_acc: 0.2014 (K~16.00, min=16, max=16, dt=3.66s)
itr: 5000 lr: 9.674e-05 train loss: 0.359490 train token_acc: 0.8991 train exact_match_acc: 0.2183 (K~16.00, min=16, max=16, dt=3.66s)
itr: 5250 lr: 9.638e-05 train loss: 0.344952 train token_acc: 0.9043 train exact_match_acc: 0.2397 (K~16.00, min=16, max=16, dt=3.66s)
itr: 5500 lr: 9.600e-05 train loss: 0.314877 train token_acc: 0.9136 train exact_match_acc: 0.2683 (K~16.00, min=16, max=16, dt=3.66s)
itr: 5750 lr: 9.561e-05 train loss: 0.287392 train token_acc: 0.9202 train exact_match_acc: 0.2996 (K~16.00, min=16, max=16, dt=3.66s)
itr: 6000 lr: 9.519e-05 train loss: 0.283566 train token_acc: 0.9214 train exact_match_acc: 0.2957 (K~16.00, min=16, max=16, dt=3.66s)
itr: 6250 lr: 9.476e-05 train loss: 0.261901 train token_acc: 0.9276 train exact_match_acc: 0.3289 (K~16.00, min=16, max=16, dt=3.66s)
itr: 6500 lr: 9.432e-05 train loss: 0.251735 train token_acc: 0.9298 train exact_match_acc: 0.3518 (K~16.00, min=16, max=16, dt=3.66s)
itr: 6750 lr: 9.385e-05 train loss: 0.235401 train token_acc: 0.9348 train exact_match_acc: 0.3755 (K~16.00, min=16, max=16, dt=3.66s)
itr: 7000 lr: 9.337e-05 train loss: 0.227083 train token_acc: 0.9372 train exact_match_acc: 0.3816 (K~16.00, min=16, max=16, dt=3.66s)
itr: 7250 lr: 9.287e-05 train loss: 0.212471 train token_acc: 0.9415 train exact_match_acc: 0.4258 (K~16.00, min=16, max=16, dt=3.66s)
itr: 7500 lr: 9.235e-05 train loss: 0.205397 train token_acc: 0.9429 train exact_match_acc: 0.4312 (K~16.00, min=16, max=16, dt=3.66s)
itr: 7750 lr: 9.182e-05 train loss: 0.202150 train token_acc: 0.9442 train exact_match_acc: 0.4395 (K~16.00, min=16, max=16, dt=3.66s)
itr: 8000 lr: 9.127e-05 train loss: 0.181484 train token_acc: 0.9502 train exact_match_acc: 0.4766 (K~16.00, min=16, max=16, dt=3.66s)
itr: 8250 lr: 9.071e-05 train loss: 0.181737 train token_acc: 0.9504 train exact_match_acc: 0.4736 (K~16.00, min=16, max=16, dt=3.66s)
itr: 8500 lr: 9.013e-05 train loss: 0.175805 train token_acc: 0.9517 train exact_match_acc: 0.4871 (K~16.00, min=16, max=16, dt=3.66s)
itr: 8750 lr: 8.953e-05 train loss: 0.162759 train token_acc: 0.9552 train exact_match_acc: 0.5154 (K~16.00, min=16, max=16, dt=3.66s)
itr: 9000 lr: 8.892e-05 train loss: 0.161906 train token_acc: 0.9557 train exact_match_acc: 0.5132 (K~16.00, min=16, max=16, dt=3.66s)
itr: 9250 lr: 8.829e-05 train loss: 0.153320 train token_acc: 0.9569 train exact_match_acc: 0.5186 (K~16.00, min=16, max=16, dt=3.66s)
itr: 9500 lr: 8.765e-05 train loss: 0.151213 train token_acc: 0.9576 train exact_match_acc: 0.5212 (K~16.00, min=16, max=16, dt=3.66s)
itr: 9750 lr: 8.700e-05 train loss: 0.139773 train token_acc: 0.9612 train exact_match_acc: 0.5569 (K~16.00, min=16, max=16, dt=3.66s)
itr: 10000 lr: 8.632e-05 train loss: 0.138993 train token_acc: 0.9626 train exact_match_acc: 0.5786 (K~16.00, min=16, max=16, dt=3.66s)
itr: 10250 lr: 8.564e-05 train loss: 0.134269 train token_acc: 0.9640 train exact_match_acc: 0.5776 (K~16.00, min=16, max=16, dt=3.66s)
itr: 10500 lr: 8.494e-05 train loss: 0.128876 train token_acc: 0.9657 train exact_match_acc: 0.5906 (K~16.00, min=16, max=16, dt=3.66s)
itr: 10750 lr: 8.423e-05 train loss: 0.126284 train token_acc: 0.9652 train exact_match_acc: 0.5942 (K~16.00, min=16, max=16, dt=3.66s)
itr: 11000 lr: 8.351e-05 train loss: 0.122188 train token_acc: 0.9672 train exact_match_acc: 0.6177 (K~16.00, min=16, max=16, dt=3.66s)
itr: 11250 lr: 8.277e-05 train loss: 0.116137 train token_acc: 0.9681 train exact_match_acc: 0.6218 (K~16.00, min=16, max=16, dt=3.66s)
itr: 11500 lr: 8.202e-05 train loss: 0.112957 train token_acc: 0.9690 train exact_match_acc: 0.6304 (K~16.00, min=16, max=16, dt=3.66s)
itr: 11750 lr: 8.125e-05 train loss: 0.110909 train token_acc: 0.9695 train exact_match_acc: 0.6265 (K~16.00, min=16, max=16, dt=3.66s)
itr: 12000 lr: 8.048e-05 train loss: 0.108335 train token_acc: 0.9705 train exact_match_acc: 0.6409 (K~16.00, min=16, max=16, dt=3.66s)
itr: 12250 lr: 7.969e-05 train loss: 0.106966 train token_acc: 0.9708 train exact_match_acc: 0.6531 (K~16.00, min=16, max=16, dt=3.66s)
itr: 12500 lr: 7.889e-05 train loss: 0.108941 train token_acc: 0.9706 train exact_match_acc: 0.6396 (K~16.00, min=16, max=16, dt=3.66s)
itr: 12750 lr: 7.808e-05 train loss: 0.097776 train token_acc: 0.9746 train exact_match_acc: 0.6753 (K~16.00, min=16, max=16, dt=3.66s)
itr: 13000 lr: 7.726e-05 train loss: 0.092872 train token_acc: 0.9750 train exact_match_acc: 0.6855 (K~16.00, min=16, max=16, dt=3.66s)
itr: 13250 lr: 7.643e-05 train loss: 0.093021 train token_acc: 0.9747 train exact_match_acc: 0.6829 (K~16.00, min=16, max=16, dt=3.66s)
itr: 13500 lr: 7.559e-05 train loss: 0.094089 train token_acc: 0.9751 train exact_match_acc: 0.6855 (K~16.00, min=16, max=16, dt=3.66s)
itr: 13750 lr: 7.474e-05 train loss: 0.087044 train token_acc: 0.9764 train exact_match_acc: 0.6997 (K~16.00, min=16, max=16, dt=3.66s)
itr: 14000 lr: 7.388e-05 train loss: 0.086146 train token_acc: 0.9775 train exact_match_acc: 0.7114 (K~16.00, min=16, max=16, dt=3.66s)
itr: 14250 lr: 7.301e-05 train loss: 0.080685 train token_acc: 0.9778 train exact_match_acc: 0.7185 (K~16.00, min=16, max=16, dt=3.66s)
itr: 14500 lr: 7.213e-05 train loss: 0.083344 train token_acc: 0.9772 train exact_match_acc: 0.7119 (K~16.00, min=16, max=16, dt=3.66s)
itr: 14750 lr: 7.124e-05 train loss: 0.077511 train token_acc: 0.9790 train exact_match_acc: 0.7263 (K~16.00, min=16, max=16, dt=3.66s)
itr: 15000 lr: 7.035e-05 train loss: 0.077763 train token_acc: 0.9786 train exact_match_acc: 0.7236 (K~16.00, min=16, max=16, dt=3.66s)
itr: 15250 lr: 6.944e-05 train loss: 0.081256 train token_acc: 0.9790 train exact_match_acc: 0.7307 (K~16.00, min=16, max=16, dt=3.66s)
itr: 15500 lr: 6.853e-05 train loss: 0.077015 train token_acc: 0.9794 train exact_match_acc: 0.7312 (K~16.00, min=16, max=16, dt=3.66s)
itr: 15750 lr: 6.761e-05 train loss: 0.071833 train token_acc: 0.9809 train exact_match_acc: 0.7473 (K~16.00, min=16, max=16, dt=3.66s)
itr: 16000 lr: 6.669e-05 train loss: 0.070384 train token_acc: 0.9817 train exact_match_acc: 0.7532 (K~16.00, min=16, max=16, dt=3.66s)
itr: 16250 lr: 6.576e-05 train loss: 0.071574 train token_acc: 0.9810 train exact_match_acc: 0.7546 (K~16.00, min=16, max=16, dt=3.66s)
itr: 16500 lr: 6.482e-05 train loss: 0.068968 train token_acc: 0.9821 train exact_match_acc: 0.7654 (K~16.00, min=16, max=16, dt=3.66s)
itr: 16750 lr: 6.388e-05 train loss: 0.069611 train token_acc: 0.9816 train exact_match_acc: 0.7588 (K~16.00, min=16, max=16, dt=3.66s)
itr: 17000 lr: 6.293e-05 train loss: 0.069563 train token_acc: 0.9817 train exact_match_acc: 0.7581 (K~16.00, min=16, max=16, dt=3.66s)
itr: 17250 lr: 6.198e-05 train loss: 0.066785 train token_acc: 0.9825 train exact_match_acc: 0.7664 (K~16.00, min=16, max=16, dt=3.66s)
itr: 17500 lr: 6.102e-05 train loss: 0.061220 train token_acc: 0.9836 train exact_match_acc: 0.7817 (K~16.00, min=16, max=16, dt=3.66s)
itr: 17750 lr: 6.006e-05 train loss: 0.061308 train token_acc: 0.9836 train exact_match_acc: 0.7817 (K~16.00, min=16, max=16, dt=3.66s)
itr: 18000 lr: 5.910e-05 train loss: 0.060566 train token_acc: 0.9841 train exact_match_acc: 0.7869 (K~16.00, min=16, max=16, dt=3.66s)
itr: 18250 lr: 5.813e-05 train loss: 0.059985 train token_acc: 0.9835 train exact_match_acc: 0.7778 (K~16.00, min=16, max=16, dt=3.66s)
itr: 18500 lr: 5.716e-05 train loss: 0.058313 train token_acc: 0.9840 train exact_match_acc: 0.7842 (K~16.00, min=16, max=16, dt=3.66s)
itr: 18750 lr: 5.618e-05 train loss: 0.057167 train token_acc: 0.9847 train exact_match_acc: 0.7952 (K~16.00, min=16, max=16, dt=3.66s)
itr: 19000 lr: 5.521e-05 train loss: 0.058487 train token_acc: 0.9845 train exact_match_acc: 0.7920 (K~16.00, min=16, max=16, dt=3.66s)
itr: 19250 lr: 5.423e-05 train loss: 0.057189 train token_acc: 0.9845 train exact_match_acc: 0.7942 (K~16.00, min=16, max=16, dt=3.66s)
itr: 19500 lr: 5.325e-05 train loss: 0.057433 train token_acc: 0.9844 train exact_match_acc: 0.7888 (K~16.00, min=16, max=16, dt=3.66s)
itr: 19750 lr: 5.227e-05 train loss: 0.051964 train token_acc: 0.9862 train exact_match_acc: 0.8105 (K~16.00, min=16, max=16, dt=3.66s)
itr: 20000 lr: 5.129e-05 train loss: 0.055859 train token_acc: 0.9858 train exact_match_acc: 0.8110 (K~16.00, min=16, max=16, dt=3.66s)
saved checkpoint: ./grid_outputs/len_gen_v256_e128_k16/task_0002/saved_models/Checkpoint_N256_d128_H1_L2_npos1_mlp1_ln0_normnone_qkn0_qkrms0_gate0_gateelem0_lenmix_trainK16to16_testK16to16_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 0.052926 train token_acc: 0.9857 train exact_match_acc: 0.8074 (K~16.00, min=16, max=16, dt=3.69s)
itr: 20500 lr: 4.932e-05 train loss: 0.051350 train token_acc: 0.9866 train exact_match_acc: 0.8132 (K~16.00, min=16, max=16, dt=3.66s)
itr: 20750 lr: 4.834e-05 train loss: 0.053133 train token_acc: 0.9865 train exact_match_acc: 0.8137 (K~16.00, min=16, max=16, dt=3.66s)
itr: 21000 lr: 4.736e-05 train loss: 0.051041 train token_acc: 0.9863 train exact_match_acc: 0.8196 (K~16.00, min=16, max=16, dt=3.66s)
itr: 21250 lr: 4.638e-05 train loss: 0.050619 train token_acc: 0.9863 train exact_match_acc: 0.8147 (K~16.00, min=16, max=16, dt=3.66s)
itr: 21500 lr: 4.540e-05 train loss: 0.050286 train token_acc: 0.9863 train exact_match_acc: 0.8147 (K~16.00, min=16, max=16, dt=3.66s)
itr: 21750 lr: 4.443e-05 train loss: 0.048854 train token_acc: 0.9872 train exact_match_acc: 0.8247 (K~16.00, min=16, max=16, dt=3.66s)
itr: 22000 lr: 4.346e-05 train loss: 0.045606 train token_acc: 0.9876 train exact_match_acc: 0.8274 (K~16.00, min=16, max=16, dt=3.66s)
itr: 22250 lr: 4.249e-05 train loss: 0.048522 train token_acc: 0.9872 train exact_match_acc: 0.8237 (K~16.00, min=16, max=16, dt=3.66s)
itr: 22500 lr: 4.152e-05 train loss: 0.044458 train token_acc: 0.9886 train exact_match_acc: 0.8430 (K~16.00, min=16, max=16, dt=3.66s)
itr: 22750 lr: 4.055e-05 train loss: 0.049159 train token_acc: 0.9868 train exact_match_acc: 0.8218 (K~16.00, min=16, max=16, dt=3.66s)
itr: 23000 lr: 3.959e-05 train loss: 0.046328 train token_acc: 0.9883 train exact_match_acc: 0.8362 (K~16.00, min=16, max=16, dt=3.66s)
itr: 23250 lr: 3.864e-05 train loss: 0.046088 train token_acc: 0.9876 train exact_match_acc: 0.8284 (K~16.00, min=16, max=16, dt=3.66s)
itr: 23500 lr: 3.769e-05 train loss: 0.044398 train token_acc: 0.9885 train exact_match_acc: 0.8440 (K~16.00, min=16, max=16, dt=3.66s)
itr: 23750 lr: 3.674e-05 train loss: 0.040135 train token_acc: 0.9892 train exact_match_acc: 0.8486 (K~16.00, min=16, max=16, dt=3.66s)
itr: 24000 lr: 3.580e-05 train loss: 0.041789 train token_acc: 0.9891 train exact_match_acc: 0.8501 (K~16.00, min=16, max=16, dt=3.66s)
itr: 24250 lr: 3.487e-05 train loss: 0.044247 train token_acc: 0.9884 train exact_match_acc: 0.8379 (K~16.00, min=16, max=16, dt=3.66s)
itr: 24500 lr: 3.394e-05 train loss: 0.041256 train token_acc: 0.9892 train exact_match_acc: 0.8513 (K~16.00, min=16, max=16, dt=3.66s)
itr: 24750 lr: 3.302e-05 train loss: 0.041351 train token_acc: 0.9893 train exact_match_acc: 0.8530 (K~16.00, min=16, max=16, dt=3.66s)
itr: 25000 lr: 3.210e-05 train loss: 0.039519 train token_acc: 0.9898 train exact_match_acc: 0.8584 (K~16.00, min=16, max=16, dt=3.66s)
itr: 25250 lr: 3.119e-05 train loss: 0.041660 train token_acc: 0.9894 train exact_match_acc: 0.8542 (K~16.00, min=16, max=16, dt=3.66s)
