training:  19%|█▉        | 7750/40000 [01:21<05:38, 95.30it/s]
itr: 0 lr: 2.494e-07 train loss: 5.554362 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 5.523006 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.65s)
itr: 500 lr: 1.000e-04 train loss: 5.287908 train token_acc: 0.0008 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 750 lr: 9.998e-05 train loss: 4.455360 train token_acc: 0.0456 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1000 lr: 9.994e-05 train loss: 3.862250 train token_acc: 0.1157 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1250 lr: 9.989e-05 train loss: 3.322850 train token_acc: 0.1827 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1500 lr: 9.981e-05 train loss: 2.857931 train token_acc: 0.2598 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1750 lr: 9.972e-05 train loss: 2.536803 train token_acc: 0.3161 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2000 lr: 9.960e-05 train loss: 2.295956 train token_acc: 0.3678 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2250 lr: 9.947e-05 train loss: 2.089057 train token_acc: 0.4097 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2500 lr: 9.931e-05 train loss: 1.927139 train token_acc: 0.4498 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2750 lr: 9.914e-05 train loss: 1.793105 train token_acc: 0.4816 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3000 lr: 9.895e-05 train loss: 1.690645 train token_acc: 0.5073 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3250 lr: 9.874e-05 train loss: 1.603190 train token_acc: 0.5343 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3500 lr: 9.851e-05 train loss: 1.542258 train token_acc: 0.5456 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
