training:  19%|█▉        | 7741/40000 [01:21<05:39, 95.05it/s] 
itr: 0 lr: 2.494e-07 train loss: 5.553102 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.31s)
itr: 250 lr: 6.259e-05 train loss: 5.537151 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.66s)
itr: 500 lr: 1.000e-04 train loss: 5.369567 train token_acc: 0.0068 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 750 lr: 9.998e-05 train loss: 4.683649 train token_acc: 0.0105 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1000 lr: 9.994e-05 train loss: 4.013330 train token_acc: 0.0304 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1250 lr: 9.989e-05 train loss: 3.939911 train token_acc: 0.0372 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1500 lr: 9.981e-05 train loss: 3.881862 train token_acc: 0.0388 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1750 lr: 9.972e-05 train loss: 3.829152 train token_acc: 0.0425 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2000 lr: 9.960e-05 train loss: 3.781484 train token_acc: 0.0448 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 2250 lr: 9.947e-05 train loss: 3.740022 train token_acc: 0.0466 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2500 lr: 9.931e-05 train loss: 3.699251 train token_acc: 0.0513 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2750 lr: 9.914e-05 train loss: 3.658248 train token_acc: 0.0524 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3000 lr: 9.895e-05 train loss: 3.628059 train token_acc: 0.0536 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3250 lr: 9.874e-05 train loss: 3.601382 train token_acc: 0.0564 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3500 lr: 9.851e-05 train loss: 3.565387 train token_acc: 0.0599 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3750 lr: 9.826e-05 train loss: 3.521408 train token_acc: 0.0615 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 4000 lr: 9.799e-05 train loss: 3.480363 train token_acc: 0.0651 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 4250 lr: 9.771e-05 train loss: 3.453923 train token_acc: 0.0691 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 4500 lr: 9.740e-05 train loss: 3.414541 train token_acc: 0.0712 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 4750 lr: 9.708e-05 train loss: 3.382976 train token_acc: 0.0728 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 5000 lr: 9.674e-05 train loss: 3.358475 train token_acc: 0.0779 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 5250 lr: 9.638e-05 train loss: 3.334344 train token_acc: 0.0809 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 5500 lr: 9.600e-05 train loss: 3.331056 train token_acc: 0.0827 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 5750 lr: 9.561e-05 train loss: 3.282563 train token_acc: 0.0852 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 6000 lr: 9.519e-05 train loss: 3.269285 train token_acc: 0.0900 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 6250 lr: 9.476e-05 train loss: 3.245928 train token_acc: 0.0903 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 6500 lr: 9.432e-05 train loss: 3.233100 train token_acc: 0.0948 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 6750 lr: 9.385e-05 train loss: 3.219632 train token_acc: 0.0963 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 7000 lr: 9.337e-05 train loss: 3.222232 train token_acc: 0.0954 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 7250 lr: 9.287e-05 train loss: 3.187033 train token_acc: 0.1001 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 7500 lr: 9.235e-05 train loss: 3.168442 train token_acc: 0.1035 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 7750 lr: 9.182e-05 train loss: 3.169277 train token_acc: 0.1054 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 8000 lr: 9.127e-05 train loss: 3.138766 train token_acc: 0.1102 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 8250 lr: 9.071e-05 train loss: 3.127928 train token_acc: 0.1134 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 8500 lr: 9.013e-05 train loss: 3.108334 train token_acc: 0.1160 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 8750 lr: 8.953e-05 train loss: 3.101617 train token_acc: 0.1167 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
