training:  19%|█▉        | 7750/40000 [01:21<05:39, 95.04it/s]
itr: 0 lr: 2.494e-07 train loss: 5.553077 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.27s)
itr: 250 lr: 6.259e-05 train loss: 5.521988 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.66s)
itr: 500 lr: 1.000e-04 train loss: 5.293443 train token_acc: 0.0009 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 750 lr: 9.998e-05 train loss: 4.482615 train token_acc: 0.0486 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1000 lr: 9.994e-05 train loss: 3.844151 train token_acc: 0.1139 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1250 lr: 9.989e-05 train loss: 3.353924 train token_acc: 0.1770 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1500 lr: 9.981e-05 train loss: 2.998559 train token_acc: 0.2296 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1750 lr: 9.972e-05 train loss: 2.674985 train token_acc: 0.2871 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2000 lr: 9.960e-05 train loss: 2.366651 train token_acc: 0.3470 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2250 lr: 9.947e-05 train loss: 2.121107 train token_acc: 0.4008 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2500 lr: 9.931e-05 train loss: 1.940527 train token_acc: 0.4471 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2750 lr: 9.914e-05 train loss: 1.778494 train token_acc: 0.4828 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3000 lr: 9.895e-05 train loss: 1.659412 train token_acc: 0.5219 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3250 lr: 9.874e-05 train loss: 1.557745 train token_acc: 0.5518 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3500 lr: 9.851e-05 train loss: 1.460249 train token_acc: 0.5765 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3750 lr: 9.826e-05 train loss: 1.409247 train token_acc: 0.5894 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 4000 lr: 9.799e-05 train loss: 1.344090 train token_acc: 0.6072 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 4250 lr: 9.771e-05 train loss: 1.299443 train token_acc: 0.6164 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 4500 lr: 9.740e-05 train loss: 1.238595 train token_acc: 0.6346 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=2.63s)
itr: 4750 lr: 9.708e-05 train loss: 1.205243 train token_acc: 0.6389 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=2.63s)
itr: 5000 lr: 9.674e-05 train loss: 1.166043 train token_acc: 0.6515 train exact_match_acc: 0.0015 (K~16.00, min=16, max=16, dt=2.63s)
itr: 5250 lr: 9.638e-05 train loss: 1.138423 train token_acc: 0.6694 train exact_match_acc: 0.0012 (K~16.00, min=16, max=16, dt=2.63s)
itr: 5500 lr: 9.600e-05 train loss: 1.101017 train token_acc: 0.6721 train exact_match_acc: 0.0022 (K~16.00, min=16, max=16, dt=2.63s)
itr: 5750 lr: 9.561e-05 train loss: 1.089549 train token_acc: 0.6844 train exact_match_acc: 0.0027 (K~16.00, min=16, max=16, dt=2.63s)
itr: 6000 lr: 9.519e-05 train loss: 1.036137 train token_acc: 0.6922 train exact_match_acc: 0.0034 (K~16.00, min=16, max=16, dt=2.63s)
itr: 6250 lr: 9.476e-05 train loss: 1.016269 train token_acc: 0.6964 train exact_match_acc: 0.0039 (K~16.00, min=16, max=16, dt=2.63s)
itr: 6500 lr: 9.432e-05 train loss: 0.990663 train token_acc: 0.7072 train exact_match_acc: 0.0044 (K~16.00, min=16, max=16, dt=2.63s)
itr: 6750 lr: 9.385e-05 train loss: 0.969955 train token_acc: 0.7141 train exact_match_acc: 0.0054 (K~16.00, min=16, max=16, dt=2.63s)
itr: 7000 lr: 9.337e-05 train loss: 0.965544 train token_acc: 0.7089 train exact_match_acc: 0.0039 (K~16.00, min=16, max=16, dt=2.63s)
itr: 7250 lr: 9.287e-05 train loss: 0.925660 train token_acc: 0.7186 train exact_match_acc: 0.0078 (K~16.00, min=16, max=16, dt=2.63s)
itr: 7500 lr: 9.235e-05 train loss: 0.902796 train token_acc: 0.7293 train exact_match_acc: 0.0090 (K~16.00, min=16, max=16, dt=2.63s)
itr: 7750 lr: 9.182e-05 train loss: 0.899603 train token_acc: 0.7309 train exact_match_acc: 0.0085 (K~16.00, min=16, max=16, dt=2.63s)
itr: 8000 lr: 9.127e-05 train loss: 0.874793 train token_acc: 0.7393 train exact_match_acc: 0.0115 (K~16.00, min=16, max=16, dt=2.63s)
itr: 8250 lr: 9.071e-05 train loss: 0.853457 train token_acc: 0.7445 train exact_match_acc: 0.0132 (K~16.00, min=16, max=16, dt=2.63s)
itr: 8500 lr: 9.013e-05 train loss: 0.881067 train token_acc: 0.7340 train exact_match_acc: 0.0095 (K~16.00, min=16, max=16, dt=2.63s)
itr: 8750 lr: 8.953e-05 train loss: 0.831104 train token_acc: 0.7516 train exact_match_acc: 0.0134 (K~16.00, min=16, max=16, dt=2.63s)
itr: 9000 lr: 8.892e-05 train loss: 0.806632 train token_acc: 0.7566 train exact_match_acc: 0.0142 (K~16.00, min=16, max=16, dt=2.63s)
itr: 9250 lr: 8.829e-05 train loss: 0.798287 train token_acc: 0.7587 train exact_match_acc: 0.0164 (K~16.00, min=16, max=16, dt=2.63s)
itr: 9500 lr: 8.765e-05 train loss: 0.844509 train token_acc: 0.7628 train exact_match_acc: 0.0164 (K~16.00, min=16, max=16, dt=2.63s)
itr: 9750 lr: 8.700e-05 train loss: 0.766915 train token_acc: 0.7688 train exact_match_acc: 0.0181 (K~16.00, min=16, max=16, dt=2.63s)
itr: 10000 lr: 8.632e-05 train loss: 0.775705 train token_acc: 0.7702 train exact_match_acc: 0.0210 (K~16.00, min=16, max=16, dt=2.63s)
itr: 10250 lr: 8.564e-05 train loss: 0.753600 train token_acc: 0.7742 train exact_match_acc: 0.0227 (K~16.00, min=16, max=16, dt=2.63s)
itr: 10500 lr: 8.494e-05 train loss: 0.769104 train token_acc: 0.7760 train exact_match_acc: 0.0259 (K~16.00, min=16, max=16, dt=2.63s)
