training:  19%|█▉        | 7741/40000 [01:21<05:39, 95.16it/s] 
itr: 0 lr: 2.494e-07 train loss: 5.556020 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.31s)
itr: 250 lr: 6.259e-05 train loss: 5.526504 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.65s)
itr: 500 lr: 1.000e-04 train loss: 5.305863 train token_acc: 0.0012 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 750 lr: 9.998e-05 train loss: 4.449174 train token_acc: 0.0442 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1000 lr: 9.994e-05 train loss: 3.820121 train token_acc: 0.1124 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1250 lr: 9.989e-05 train loss: 3.372690 train token_acc: 0.1550 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1500 lr: 9.981e-05 train loss: 3.137734 train token_acc: 0.1941 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 1750 lr: 9.972e-05 train loss: 2.918222 train token_acc: 0.2345 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2000 lr: 9.960e-05 train loss: 2.705033 train token_acc: 0.2789 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2250 lr: 9.947e-05 train loss: 2.521439 train token_acc: 0.3166 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2500 lr: 9.931e-05 train loss: 2.344954 train token_acc: 0.3583 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 2750 lr: 9.914e-05 train loss: 2.171469 train token_acc: 0.4008 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3000 lr: 9.895e-05 train loss: 2.022641 train token_acc: 0.4367 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3250 lr: 9.874e-05 train loss: 1.873380 train token_acc: 0.4663 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3500 lr: 9.851e-05 train loss: 1.772629 train token_acc: 0.4917 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 3750 lr: 9.826e-05 train loss: 1.682707 train token_acc: 0.5140 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 4000 lr: 9.799e-05 train loss: 1.607195 train token_acc: 0.5294 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 4250 lr: 9.771e-05 train loss: 1.537023 train token_acc: 0.5515 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
itr: 4500 lr: 9.740e-05 train loss: 1.485330 train token_acc: 0.5613 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.63s)
