training:  19%|█▉        | 7744/40000 [01:21<05:36, 95.83it/s] 
itr: 0 lr: 2.494e-07 train loss: 5.605125 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.31s)
itr: 250 lr: 6.259e-05 train loss: 4.985601 train token_acc: 0.0062 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 500 lr: 1.000e-04 train loss: 3.324815 train token_acc: 0.4139 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.61s)
itr: 750 lr: 9.998e-05 train loss: 1.864248 train token_acc: 0.6726 train exact_match_acc: 0.0037 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1000 lr: 9.994e-05 train loss: 0.994866 train token_acc: 0.7915 train exact_match_acc: 0.0344 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1250 lr: 9.989e-05 train loss: 0.624870 train token_acc: 0.8609 train exact_match_acc: 0.1104 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1500 lr: 9.981e-05 train loss: 0.417826 train token_acc: 0.9064 train exact_match_acc: 0.2312 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1750 lr: 9.972e-05 train loss: 0.298015 train token_acc: 0.9349 train exact_match_acc: 0.3459 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2000 lr: 9.960e-05 train loss: 0.222807 train token_acc: 0.9557 train exact_match_acc: 0.4834 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2250 lr: 9.947e-05 train loss: 0.177372 train token_acc: 0.9673 train exact_match_acc: 0.5784 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2500 lr: 9.931e-05 train loss: 0.137916 train token_acc: 0.9758 train exact_match_acc: 0.6689 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2750 lr: 9.914e-05 train loss: 0.119335 train token_acc: 0.9808 train exact_match_acc: 0.7249 (K~16.00, min=16, max=16, dt=2.61s)
itr: 3000 lr: 9.895e-05 train loss: 0.099150 train token_acc: 0.9849 train exact_match_acc: 0.7744 (K~16.00, min=16, max=16, dt=2.61s)
itr: 3250 lr: 9.874e-05 train loss: 0.084739 train token_acc: 0.9878 train exact_match_acc: 0.8162 (K~16.00, min=16, max=16, dt=2.61s)
itr: 3500 lr: 9.851e-05 train loss: 0.073966 train token_acc: 0.9891 train exact_match_acc: 0.8333 (K~16.00, min=16, max=16, dt=2.61s)
itr: 3750 lr: 9.826e-05 train loss: 0.064505 train token_acc: 0.9912 train exact_match_acc: 0.8621 (K~16.00, min=16, max=16, dt=2.61s)
itr: 4000 lr: 9.799e-05 train loss: 0.058795 train token_acc: 0.9920 train exact_match_acc: 0.8755 (K~16.00, min=16, max=16, dt=2.61s)
itr: 4250 lr: 9.771e-05 train loss: 0.049537 train token_acc: 0.9934 train exact_match_acc: 0.8972 (K~16.00, min=16, max=16, dt=2.61s)
itr: 4500 lr: 9.740e-05 train loss: 0.044773 train token_acc: 0.9940 train exact_match_acc: 0.9053 (K~16.00, min=16, max=16, dt=2.61s)
itr: 4750 lr: 9.708e-05 train loss: 0.041923 train token_acc: 0.9947 train exact_match_acc: 0.9167 (K~16.00, min=16, max=16, dt=2.61s)
itr: 5000 lr: 9.674e-05 train loss: 0.032419 train token_acc: 0.9958 train exact_match_acc: 0.9341 (K~16.00, min=16, max=16, dt=2.61s)
itr: 5250 lr: 9.638e-05 train loss: 0.029895 train token_acc: 0.9958 train exact_match_acc: 0.9343 (K~16.00, min=16, max=16, dt=2.61s)
