training:  19%|█▉        | 7744/40000 [01:21<05:37, 95.62it/s] 
itr: 0 lr: 2.494e-07 train loss: 5.954792 train token_acc: 0.0006 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 5.447853 train token_acc: 0.0201 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.66s)
itr: 500 lr: 1.000e-04 train loss: 2.922135 train token_acc: 0.3889 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.61s)
itr: 750 lr: 9.998e-05 train loss: 0.788523 train token_acc: 0.8132 train exact_match_acc: 0.0491 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1000 lr: 9.994e-05 train loss: 0.299059 train token_acc: 0.9338 train exact_match_acc: 0.3411 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1250 lr: 9.989e-05 train loss: 0.162261 train token_acc: 0.9717 train exact_match_acc: 0.6245 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1500 lr: 9.981e-05 train loss: 0.101354 train token_acc: 0.9839 train exact_match_acc: 0.7625 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1750 lr: 9.972e-05 train loss: 0.070563 train token_acc: 0.9900 train exact_match_acc: 0.8450 (K~16.00, min=16, max=16, dt=2.62s)
itr: 2000 lr: 9.960e-05 train loss: 0.052397 train token_acc: 0.9925 train exact_match_acc: 0.8821 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2250 lr: 9.947e-05 train loss: 0.039429 train token_acc: 0.9943 train exact_match_acc: 0.9099 (K~16.00, min=16, max=16, dt=2.62s)
itr: 2500 lr: 9.931e-05 train loss: 0.032586 train token_acc: 0.9955 train exact_match_acc: 0.9280 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2750 lr: 9.914e-05 train loss: 0.025898 train token_acc: 0.9964 train exact_match_acc: 0.9421 (K~16.00, min=16, max=16, dt=2.61s)
itr: 3000 lr: 9.895e-05 train loss: 0.021977 train token_acc: 0.9969 train exact_match_acc: 0.9509 (K~16.00, min=16, max=16, dt=2.61s)
itr: 3250 lr: 9.874e-05 train loss: 0.018494 train token_acc: 0.9972 train exact_match_acc: 0.9558 (K~16.00, min=16, max=16, dt=2.62s)
itr: 3500 lr: 9.851e-05 train loss: 0.014618 train token_acc: 0.9979 train exact_match_acc: 0.9663 (K~16.00, min=16, max=16, dt=2.62s)
itr: 3750 lr: 9.826e-05 train loss: 0.013809 train token_acc: 0.9980 train exact_match_acc: 0.9683 (K~16.00, min=16, max=16, dt=2.62s)
itr: 4000 lr: 9.799e-05 train loss: 0.012636 train token_acc: 0.9983 train exact_match_acc: 0.9731 (K~16.00, min=16, max=16, dt=2.62s)
itr: 4250 lr: 9.771e-05 train loss: 0.010450 train token_acc: 0.9985 train exact_match_acc: 0.9761 (K~16.00, min=16, max=16, dt=2.62s)
itr: 4500 lr: 9.740e-05 train loss: 0.009497 train token_acc: 0.9987 train exact_match_acc: 0.9788 (K~16.00, min=16, max=16, dt=2.62s)
itr: 4750 lr: 9.708e-05 train loss: 0.007412 train token_acc: 0.9990 train exact_match_acc: 0.9846 (K~16.00, min=16, max=16, dt=2.62s)
itr: 5000 lr: 9.674e-05 train loss: 0.007604 train token_acc: 0.9989 train exact_match_acc: 0.9829 (K~16.00, min=16, max=16, dt=2.62s)
itr: 5250 lr: 9.638e-05 train loss: 0.006176 train token_acc: 0.9991 train exact_match_acc: 0.9854 (K~16.00, min=16, max=16, dt=2.62s)
itr: 5500 lr: 9.600e-05 train loss: 0.007849 train token_acc: 0.9989 train exact_match_acc: 0.9819 (K~16.00, min=16, max=16, dt=2.62s)
itr: 5750 lr: 9.561e-05 train loss: 0.005166 train token_acc: 0.9993 train exact_match_acc: 0.9880 (K~16.00, min=16, max=16, dt=2.62s)
itr: 6000 lr: 9.519e-05 train loss: 0.005158 train token_acc: 0.9992 train exact_match_acc: 0.9871 (K~16.00, min=16, max=16, dt=2.62s)
itr: 6250 lr: 9.476e-05 train loss: 0.005214 train token_acc: 0.9993 train exact_match_acc: 0.9890 (K~16.00, min=16, max=16, dt=2.62s)
itr: 6500 lr: 9.432e-05 train loss: 0.004340 train token_acc: 0.9993 train exact_match_acc: 0.9883 (K~16.00, min=16, max=16, dt=2.62s)
itr: 6750 lr: 9.385e-05 train loss: 0.003582 train token_acc: 0.9995 train exact_match_acc: 0.9919 (K~16.00, min=16, max=16, dt=2.62s)
itr: 7000 lr: 9.337e-05 train loss: 0.004006 train token_acc: 0.9993 train exact_match_acc: 0.9895 (K~16.00, min=16, max=16, dt=2.62s)
itr: 7250 lr: 9.287e-05 train loss: 0.003269 train token_acc: 0.9995 train exact_match_acc: 0.9922 (K~16.00, min=16, max=16, dt=2.62s)
itr: 7500 lr: 9.235e-05 train loss: 0.002952 train token_acc: 0.9996 train exact_match_acc: 0.9932 (K~16.00, min=16, max=16, dt=2.62s)
itr: 7750 lr: 9.182e-05 train loss: 0.003741 train token_acc: 0.9995 train exact_match_acc: 0.9915 (K~16.00, min=16, max=16, dt=2.62s)
itr: 8000 lr: 9.127e-05 train loss: 0.003164 train token_acc: 0.9995 train exact_match_acc: 0.9924 (K~16.00, min=16, max=16, dt=2.62s)
itr: 8250 lr: 9.071e-05 train loss: 0.003161 train token_acc: 0.9995 train exact_match_acc: 0.9919 (K~16.00, min=16, max=16, dt=2.62s)
itr: 8500 lr: 9.013e-05 train loss: 0.002986 train token_acc: 0.9995 train exact_match_acc: 0.9917 (K~16.00, min=16, max=16, dt=2.62s)
itr: 8750 lr: 8.953e-05 train loss: 0.002014 train token_acc: 0.9997 train exact_match_acc: 0.9946 (K~16.00, min=16, max=16, dt=2.62s)
itr: 9000 lr: 8.892e-05 train loss: 0.002454 train token_acc: 0.9995 train exact_match_acc: 0.9927 (K~16.00, min=16, max=16, dt=2.62s)
itr: 9250 lr: 8.829e-05 train loss: 0.002145 train token_acc: 0.9996 train exact_match_acc: 0.9939 (K~16.00, min=16, max=16, dt=2.62s)
itr: 9500 lr: 8.765e-05 train loss: 0.001606 train token_acc: 0.9998 train exact_match_acc: 0.9963 (K~16.00, min=16, max=16, dt=2.62s)
itr: 9750 lr: 8.700e-05 train loss: 0.002181 train token_acc: 0.9997 train exact_match_acc: 0.9951 (K~16.00, min=16, max=16, dt=2.62s)
itr: 10000 lr: 8.632e-05 train loss: 0.002616 train token_acc: 0.9996 train exact_match_acc: 0.9937 (K~16.00, min=16, max=16, dt=2.62s)
itr: 10250 lr: 8.564e-05 train loss: 0.001654 train token_acc: 0.9997 train exact_match_acc: 0.9946 (K~16.00, min=16, max=16, dt=2.62s)
itr: 10500 lr: 8.494e-05 train loss: 0.002443 train token_acc: 0.9996 train exact_match_acc: 0.9937 (K~16.00, min=16, max=16, dt=2.62s)
itr: 10750 lr: 8.423e-05 train loss: 0.001624 train token_acc: 0.9997 train exact_match_acc: 0.9946 (K~16.00, min=16, max=16, dt=2.62s)
itr: 11000 lr: 8.351e-05 train loss: 0.002308 train token_acc: 0.9996 train exact_match_acc: 0.9934 (K~16.00, min=16, max=16, dt=2.62s)
itr: 11250 lr: 8.277e-05 train loss: 0.001408 train token_acc: 0.9998 train exact_match_acc: 0.9963 (K~16.00, min=16, max=16, dt=2.62s)
itr: 11500 lr: 8.202e-05 train loss: 0.001024 train token_acc: 0.9998 train exact_match_acc: 0.9976 (K~16.00, min=16, max=16, dt=2.62s)
itr: 11750 lr: 8.125e-05 train loss: 0.001777 train token_acc: 0.9997 train exact_match_acc: 0.9954 (K~16.00, min=16, max=16, dt=2.62s)
itr: 12000 lr: 8.048e-05 train loss: 0.001216 train token_acc: 0.9998 train exact_match_acc: 0.9963 (K~16.00, min=16, max=16, dt=2.62s)
itr: 12250 lr: 7.969e-05 train loss: 0.001740 train token_acc: 0.9997 train exact_match_acc: 0.9946 (K~16.00, min=16, max=16, dt=2.62s)
itr: 12500 lr: 7.889e-05 train loss: 0.001085 train token_acc: 0.9998 train exact_match_acc: 0.9971 (K~16.00, min=16, max=16, dt=2.62s)
itr: 12750 lr: 7.808e-05 train loss: 0.001683 train token_acc: 0.9997 train exact_match_acc: 0.9949 (K~16.00, min=16, max=16, dt=2.62s)
itr: 13000 lr: 7.726e-05 train loss: 0.001603 train token_acc: 0.9997 train exact_match_acc: 0.9956 (K~16.00, min=16, max=16, dt=2.62s)
itr: 13250 lr: 7.643e-05 train loss: 0.001287 train token_acc: 0.9998 train exact_match_acc: 0.9963 (K~16.00, min=16, max=16, dt=2.62s)
itr: 13500 lr: 7.559e-05 train loss: 0.001138 train token_acc: 0.9998 train exact_match_acc: 0.9971 (K~16.00, min=16, max=16, dt=2.62s)
itr: 13750 lr: 7.474e-05 train loss: 0.000826 train token_acc: 0.9999 train exact_match_acc: 0.9978 (K~16.00, min=16, max=16, dt=2.62s)
