training:  19%|█▉        | 7744/40000 [01:21<05:36, 95.83it/s] 
itr: 0 lr: 2.494e-07 train loss: 5.611387 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 5.017882 train token_acc: 0.0279 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.64s)
itr: 500 lr: 1.000e-04 train loss: 3.292197 train token_acc: 0.4287 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.61s)
itr: 750 lr: 9.998e-05 train loss: 1.814644 train token_acc: 0.6811 train exact_match_acc: 0.0037 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1000 lr: 9.994e-05 train loss: 0.957914 train token_acc: 0.7985 train exact_match_acc: 0.0400 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1250 lr: 9.989e-05 train loss: 0.594881 train token_acc: 0.8651 train exact_match_acc: 0.1194 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1500 lr: 9.981e-05 train loss: 0.394020 train token_acc: 0.9125 train exact_match_acc: 0.2451 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1750 lr: 9.972e-05 train loss: 0.289569 train token_acc: 0.9402 train exact_match_acc: 0.3696 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2000 lr: 9.960e-05 train loss: 0.223654 train token_acc: 0.9577 train exact_match_acc: 0.4890 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2250 lr: 9.947e-05 train loss: 0.167884 train token_acc: 0.9704 train exact_match_acc: 0.6099 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2500 lr: 9.931e-05 train loss: 0.137666 train token_acc: 0.9774 train exact_match_acc: 0.6797 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2750 lr: 9.914e-05 train loss: 0.111109 train token_acc: 0.9822 train exact_match_acc: 0.7400 (K~16.00, min=16, max=16, dt=2.61s)
itr: 3000 lr: 9.895e-05 train loss: 0.092862 train token_acc: 0.9857 train exact_match_acc: 0.7854 (K~16.00, min=16, max=16, dt=2.61s)
itr: 3250 lr: 9.874e-05 train loss: 0.083947 train token_acc: 0.9872 train exact_match_acc: 0.8022 (K~16.00, min=16, max=16, dt=2.61s)
itr: 3500 lr: 9.851e-05 train loss: 0.064326 train token_acc: 0.9903 train exact_match_acc: 0.8506 (K~16.00, min=16, max=16, dt=2.61s)
itr: 3750 lr: 9.826e-05 train loss: 0.059266 train token_acc: 0.9907 train exact_match_acc: 0.8538 (K~16.00, min=16, max=16, dt=2.61s)
itr: 4000 lr: 9.799e-05 train loss: 0.049438 train token_acc: 0.9928 train exact_match_acc: 0.8884 (K~16.00, min=16, max=16, dt=2.61s)
itr: 4250 lr: 9.771e-05 train loss: 0.043741 train token_acc: 0.9937 train exact_match_acc: 0.8999 (K~16.00, min=16, max=16, dt=2.61s)
itr: 4500 lr: 9.740e-05 train loss: 0.042290 train token_acc: 0.9941 train exact_match_acc: 0.9070 (K~16.00, min=16, max=16, dt=2.61s)
itr: 4750 lr: 9.708e-05 train loss: 0.037093 train token_acc: 0.9948 train exact_match_acc: 0.9165 (K~16.00, min=16, max=16, dt=2.61s)
itr: 5000 lr: 9.674e-05 train loss: 0.031843 train token_acc: 0.9952 train exact_match_acc: 0.9238 (K~16.00, min=16, max=16, dt=2.61s)
itr: 5250 lr: 9.638e-05 train loss: 0.029088 train token_acc: 0.9956 train exact_match_acc: 0.9302 (K~16.00, min=16, max=16, dt=2.61s)
itr: 5500 lr: 9.600e-05 train loss: 0.027124 train token_acc: 0.9961 train exact_match_acc: 0.9373 (K~16.00, min=16, max=16, dt=2.61s)
itr: 5750 lr: 9.561e-05 train loss: 0.024183 train token_acc: 0.9966 train exact_match_acc: 0.9463 (K~16.00, min=16, max=16, dt=2.61s)
itr: 6000 lr: 9.519e-05 train loss: 0.021732 train token_acc: 0.9971 train exact_match_acc: 0.9534 (K~16.00, min=16, max=16, dt=2.61s)
itr: 6250 lr: 9.476e-05 train loss: 0.020104 train token_acc: 0.9973 train exact_match_acc: 0.9568 (K~16.00, min=16, max=16, dt=2.61s)
itr: 6500 lr: 9.432e-05 train loss: 0.017797 train token_acc: 0.9975 train exact_match_acc: 0.9604 (K~16.00, min=16, max=16, dt=2.61s)
itr: 6750 lr: 9.385e-05 train loss: 0.016179 train token_acc: 0.9977 train exact_match_acc: 0.9639 (K~16.00, min=16, max=16, dt=2.61s)
itr: 7000 lr: 9.337e-05 train loss: 0.014195 train token_acc: 0.9981 train exact_match_acc: 0.9700 (K~16.00, min=16, max=16, dt=2.61s)
itr: 7250 lr: 9.287e-05 train loss: 0.013865 train token_acc: 0.9980 train exact_match_acc: 0.9680 (K~16.00, min=16, max=16, dt=2.61s)
itr: 7500 lr: 9.235e-05 train loss: 0.013379 train token_acc: 0.9981 train exact_match_acc: 0.9700 (K~16.00, min=16, max=16, dt=2.61s)
itr: 7750 lr: 9.182e-05 train loss: 0.012937 train token_acc: 0.9981 train exact_match_acc: 0.9692 (K~16.00, min=16, max=16, dt=2.61s)
itr: 8000 lr: 9.127e-05 train loss: 0.012067 train token_acc: 0.9984 train exact_match_acc: 0.9751 (K~16.00, min=16, max=16, dt=2.61s)
itr: 8250 lr: 9.071e-05 train loss: 0.011448 train token_acc: 0.9983 train exact_match_acc: 0.9734 (K~16.00, min=16, max=16, dt=2.61s)
itr: 8500 lr: 9.013e-05 train loss: 0.010268 train token_acc: 0.9986 train exact_match_acc: 0.9775 (K~16.00, min=16, max=16, dt=2.61s)
itr: 8750 lr: 8.953e-05 train loss: 0.010297 train token_acc: 0.9983 train exact_match_acc: 0.9731 (K~16.00, min=16, max=16, dt=2.61s)
itr: 9000 lr: 8.892e-05 train loss: 0.008249 train token_acc: 0.9988 train exact_match_acc: 0.9812 (K~16.00, min=16, max=16, dt=2.61s)
itr: 9250 lr: 8.829e-05 train loss: 0.008366 train token_acc: 0.9988 train exact_match_acc: 0.9812 (K~16.00, min=16, max=16, dt=2.61s)
itr: 9500 lr: 8.765e-05 train loss: 0.007258 train token_acc: 0.9989 train exact_match_acc: 0.9832 (K~16.00, min=16, max=16, dt=2.61s)
itr: 9750 lr: 8.700e-05 train loss: 0.006673 train token_acc: 0.9990 train exact_match_acc: 0.9834 (K~16.00, min=16, max=16, dt=2.61s)
itr: 10000 lr: 8.632e-05 train loss: 0.007036 train token_acc: 0.9989 train exact_match_acc: 0.9827 (K~16.00, min=16, max=16, dt=2.61s)
itr: 10250 lr: 8.564e-05 train loss: 0.006302 train token_acc: 0.9990 train exact_match_acc: 0.9844 (K~16.00, min=16, max=16, dt=2.61s)
itr: 10500 lr: 8.494e-05 train loss: 0.006787 train token_acc: 0.9990 train exact_match_acc: 0.9839 (K~16.00, min=16, max=16, dt=2.61s)
itr: 10750 lr: 8.423e-05 train loss: 0.006513 train token_acc: 0.9990 train exact_match_acc: 0.9846 (K~16.00, min=16, max=16, dt=2.61s)
itr: 11000 lr: 8.351e-05 train loss: 0.007139 train token_acc: 0.9989 train exact_match_acc: 0.9824 (K~16.00, min=16, max=16, dt=2.61s)
itr: 11250 lr: 8.277e-05 train loss: 0.005124 train token_acc: 0.9992 train exact_match_acc: 0.9873 (K~16.00, min=16, max=16, dt=2.61s)
itr: 11500 lr: 8.202e-05 train loss: 0.004743 train token_acc: 0.9991 train exact_match_acc: 0.9858 (K~16.00, min=16, max=16, dt=2.61s)
itr: 11750 lr: 8.125e-05 train loss: 0.005781 train token_acc: 0.9991 train exact_match_acc: 0.9851 (K~16.00, min=16, max=16, dt=2.61s)
itr: 12000 lr: 8.048e-05 train loss: 0.004257 train token_acc: 0.9993 train exact_match_acc: 0.9880 (K~16.00, min=16, max=16, dt=2.61s)
itr: 12250 lr: 7.969e-05 train loss: 0.005316 train token_acc: 0.9991 train exact_match_acc: 0.9856 (K~16.00, min=16, max=16, dt=2.61s)
itr: 12500 lr: 7.889e-05 train loss: 0.003418 train token_acc: 0.9995 train exact_match_acc: 0.9915 (K~16.00, min=16, max=16, dt=2.61s)
itr: 12750 lr: 7.808e-05 train loss: 0.004339 train token_acc: 0.9993 train exact_match_acc: 0.9880 (K~16.00, min=16, max=16, dt=2.61s)
itr: 13000 lr: 7.726e-05 train loss: 0.004136 train token_acc: 0.9993 train exact_match_acc: 0.9893 (K~16.00, min=16, max=16, dt=2.61s)
itr: 13250 lr: 7.643e-05 train loss: 0.003593 train token_acc: 0.9993 train exact_match_acc: 0.9895 (K~16.00, min=16, max=16, dt=2.61s)
itr: 13500 lr: 7.559e-05 train loss: 0.003712 train token_acc: 0.9993 train exact_match_acc: 0.9890 (K~16.00, min=16, max=16, dt=2.61s)
itr: 13750 lr: 7.474e-05 train loss: 0.003320 train token_acc: 0.9994 train exact_match_acc: 0.9907 (K~16.00, min=16, max=16, dt=2.61s)
itr: 14000 lr: 7.388e-05 train loss: 0.003569 train token_acc: 0.9993 train exact_match_acc: 0.9895 (K~16.00, min=16, max=16, dt=2.61s)
itr: 14250 lr: 7.301e-05 train loss: 0.002996 train token_acc: 0.9994 train exact_match_acc: 0.9907 (K~16.00, min=16, max=16, dt=2.61s)
itr: 14500 lr: 7.213e-05 train loss: 0.003406 train token_acc: 0.9994 train exact_match_acc: 0.9900 (K~16.00, min=16, max=16, dt=2.61s)
itr: 14750 lr: 7.124e-05 train loss: 0.002581 train token_acc: 0.9996 train exact_match_acc: 0.9934 (K~16.00, min=16, max=16, dt=2.61s)
itr: 15000 lr: 7.035e-05 train loss: 0.003462 train token_acc: 0.9994 train exact_match_acc: 0.9900 (K~16.00, min=16, max=16, dt=2.61s)
itr: 15250 lr: 6.944e-05 train loss: 0.003183 train token_acc: 0.9994 train exact_match_acc: 0.9907 (K~16.00, min=16, max=16, dt=2.61s)
itr: 15500 lr: 6.853e-05 train loss: 0.003588 train token_acc: 0.9993 train exact_match_acc: 0.9883 (K~16.00, min=16, max=16, dt=2.61s)
itr: 15750 lr: 6.761e-05 train loss: 0.003575 train token_acc: 0.9993 train exact_match_acc: 0.9893 (K~16.00, min=16, max=16, dt=2.61s)
itr: 16000 lr: 6.669e-05 train loss: 0.002893 train token_acc: 0.9995 train exact_match_acc: 0.9917 (K~16.00, min=16, max=16, dt=2.61s)
itr: 16250 lr: 6.576e-05 train loss: 0.002613 train token_acc: 0.9996 train exact_match_acc: 0.9934 (K~16.00, min=16, max=16, dt=2.61s)
itr: 16500 lr: 6.482e-05 train loss: 0.002764 train token_acc: 0.9995 train exact_match_acc: 0.9915 (K~16.00, min=16, max=16, dt=2.61s)
itr: 16750 lr: 6.388e-05 train loss: 0.002874 train token_acc: 0.9994 train exact_match_acc: 0.9902 (K~16.00, min=16, max=16, dt=2.61s)
itr: 17000 lr: 6.293e-05 train loss: 0.002253 train token_acc: 0.9996 train exact_match_acc: 0.9937 (K~16.00, min=16, max=16, dt=2.61s)
itr: 17250 lr: 6.198e-05 train loss: 0.002448 train token_acc: 0.9995 train exact_match_acc: 0.9924 (K~16.00, min=16, max=16, dt=2.61s)
itr: 17500 lr: 6.102e-05 train loss: 0.001934 train token_acc: 0.9997 train exact_match_acc: 0.9954 (K~16.00, min=16, max=16, dt=2.61s)
itr: 17750 lr: 6.006e-05 train loss: 0.002393 train token_acc: 0.9996 train exact_match_acc: 0.9934 (K~16.00, min=16, max=16, dt=2.61s)
itr: 18000 lr: 5.910e-05 train loss: 0.002829 train token_acc: 0.9995 train exact_match_acc: 0.9915 (K~16.00, min=16, max=16, dt=2.61s)
itr: 18250 lr: 5.813e-05 train loss: 0.002358 train token_acc: 0.9995 train exact_match_acc: 0.9922 (K~16.00, min=16, max=16, dt=2.61s)
itr: 18500 lr: 5.716e-05 train loss: 0.002812 train token_acc: 0.9995 train exact_match_acc: 0.9922 (K~16.00, min=16, max=16, dt=2.61s)
