training:  19%|█▉        | 7744/40000 [01:21<05:36, 95.86it/s] 
itr: 0 lr: 2.494e-07 train loss: 5.610014 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.27s)
itr: 250 lr: 6.259e-05 train loss: 4.982664 train token_acc: 0.0110 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.65s)
itr: 500 lr: 1.000e-04 train loss: 3.292990 train token_acc: 0.4353 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.61s)
itr: 750 lr: 9.998e-05 train loss: 1.879472 train token_acc: 0.6766 train exact_match_acc: 0.0029 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1000 lr: 9.994e-05 train loss: 1.022953 train token_acc: 0.7923 train exact_match_acc: 0.0369 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1250 lr: 9.989e-05 train loss: 0.619608 train token_acc: 0.8639 train exact_match_acc: 0.1199 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1500 lr: 9.981e-05 train loss: 0.400644 train token_acc: 0.9122 train exact_match_acc: 0.2437 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1750 lr: 9.972e-05 train loss: 0.294444 train token_acc: 0.9391 train exact_match_acc: 0.3696 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2000 lr: 9.960e-05 train loss: 0.211596 train token_acc: 0.9608 train exact_match_acc: 0.5203 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2250 lr: 9.947e-05 train loss: 0.156667 train token_acc: 0.9726 train exact_match_acc: 0.6316 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2500 lr: 9.931e-05 train loss: 0.121664 train token_acc: 0.9803 train exact_match_acc: 0.7202 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2750 lr: 9.914e-05 train loss: 0.104767 train token_acc: 0.9842 train exact_match_acc: 0.7642 (K~16.00, min=16, max=16, dt=2.61s)
