training:  19%|█▉        | 7744/40000 [01:21<05:36, 95.77it/s] 
itr: 0 lr: 2.494e-07 train loss: 5.943039 train token_acc: 0.0005 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 5.419354 train token_acc: 0.0163 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.65s)
itr: 500 lr: 1.000e-04 train loss: 2.820573 train token_acc: 0.4224 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.61s)
itr: 750 lr: 9.998e-05 train loss: 0.770662 train token_acc: 0.8218 train exact_match_acc: 0.0537 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1000 lr: 9.994e-05 train loss: 0.296632 train token_acc: 0.9370 train exact_match_acc: 0.3596 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1250 lr: 9.989e-05 train loss: 0.163574 train token_acc: 0.9712 train exact_match_acc: 0.6113 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1500 lr: 9.981e-05 train loss: 0.101486 train token_acc: 0.9841 train exact_match_acc: 0.7620 (K~16.00, min=16, max=16, dt=2.61s)
itr: 1750 lr: 9.972e-05 train loss: 0.070531 train token_acc: 0.9898 train exact_match_acc: 0.8423 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2000 lr: 9.960e-05 train loss: 0.051876 train token_acc: 0.9928 train exact_match_acc: 0.8884 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2250 lr: 9.947e-05 train loss: 0.040380 train token_acc: 0.9946 train exact_match_acc: 0.9158 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2500 lr: 9.931e-05 train loss: 0.032725 train token_acc: 0.9958 train exact_match_acc: 0.9329 (K~16.00, min=16, max=16, dt=2.61s)
itr: 2750 lr: 9.914e-05 train loss: 0.029513 train token_acc: 0.9961 train exact_match_acc: 0.9370 (K~16.00, min=16, max=16, dt=2.61s)
itr: 3000 lr: 9.895e-05 train loss: 0.023474 train token_acc: 0.9967 train exact_match_acc: 0.9465 (K~16.00, min=16, max=16, dt=2.61s)
itr: 3250 lr: 9.874e-05 train loss: 0.021997 train token_acc: 0.9970 train exact_match_acc: 0.9519 (K~16.00, min=16, max=16, dt=2.61s)
itr: 3500 lr: 9.851e-05 train loss: 0.016757 train token_acc: 0.9977 train exact_match_acc: 0.9639 (K~16.00, min=16, max=16, dt=2.61s)
itr: 3750 lr: 9.826e-05 train loss: 0.015462 train token_acc: 0.9980 train exact_match_acc: 0.9675 (K~16.00, min=16, max=16, dt=2.61s)
itr: 4000 lr: 9.799e-05 train loss: 0.014063 train token_acc: 0.9980 train exact_match_acc: 0.9675 (K~16.00, min=16, max=16, dt=2.61s)
itr: 4250 lr: 9.771e-05 train loss: 0.011343 train token_acc: 0.9985 train exact_match_acc: 0.9758 (K~16.00, min=16, max=16, dt=2.61s)
itr: 4500 lr: 9.740e-05 train loss: 0.010829 train token_acc: 0.9985 train exact_match_acc: 0.9761 (K~16.00, min=16, max=16, dt=2.61s)
