training:  19%|█▉        | 7741/40000 [01:19<05:19, 101.09it/s]
itr: 0 lr: 2.494e-07 train loss: 5.554044 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.72s)
itr: 250 lr: 6.259e-05 train loss: 5.497773 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.56s)
itr: 500 lr: 1.000e-04 train loss: 4.664014 train token_acc: 0.0105 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 750 lr: 9.998e-05 train loss: 3.888391 train token_acc: 0.0264 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 1000 lr: 9.994e-05 train loss: 3.616444 train token_acc: 0.0685 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 1250 lr: 9.989e-05 train loss: 3.301401 train token_acc: 0.1353 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 1500 lr: 9.981e-05 train loss: 2.933911 train token_acc: 0.2161 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 1750 lr: 9.972e-05 train loss: 2.468440 train token_acc: 0.3271 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 2000 lr: 9.960e-05 train loss: 2.006061 train token_acc: 0.4460 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 2250 lr: 9.947e-05 train loss: 1.623837 train token_acc: 0.5555 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.48s)
itr: 2500 lr: 9.931e-05 train loss: 1.354018 train token_acc: 0.6357 train exact_match_acc: 0.0012 (K~16.00, min=16, max=16, dt=2.48s)
itr: 2750 lr: 9.914e-05 train loss: 1.151348 train token_acc: 0.6919 train exact_match_acc: 0.0061 (K~16.00, min=16, max=16, dt=2.48s)
itr: 3000 lr: 9.895e-05 train loss: 0.969019 train token_acc: 0.7451 train exact_match_acc: 0.0181 (K~16.00, min=16, max=16, dt=2.47s)
itr: 3250 lr: 9.874e-05 train loss: 0.800722 train token_acc: 0.7905 train exact_match_acc: 0.0449 (K~16.00, min=16, max=16, dt=2.48s)
itr: 3500 lr: 9.851e-05 train loss: 0.648769 train token_acc: 0.8291 train exact_match_acc: 0.0747 (K~16.00, min=16, max=16, dt=2.48s)
itr: 3750 lr: 9.826e-05 train loss: 0.559456 train token_acc: 0.8541 train exact_match_acc: 0.1125 (K~16.00, min=16, max=16, dt=2.48s)
itr: 4000 lr: 9.799e-05 train loss: 0.473117 train token_acc: 0.8775 train exact_match_acc: 0.1704 (K~16.00, min=16, max=16, dt=2.48s)
itr: 4250 lr: 9.771e-05 train loss: 0.404017 train token_acc: 0.8952 train exact_match_acc: 0.2173 (K~16.00, min=16, max=16, dt=2.48s)
itr: 4500 lr: 9.740e-05 train loss: 0.343434 train token_acc: 0.9104 train exact_match_acc: 0.2749 (K~16.00, min=16, max=16, dt=2.48s)
itr: 4750 lr: 9.708e-05 train loss: 0.291862 train token_acc: 0.9251 train exact_match_acc: 0.3276 (K~16.00, min=16, max=16, dt=2.48s)
itr: 5000 lr: 9.674e-05 train loss: 0.242090 train token_acc: 0.9388 train exact_match_acc: 0.4089 (K~16.00, min=16, max=16, dt=2.48s)
itr: 5250 lr: 9.638e-05 train loss: 0.211118 train token_acc: 0.9465 train exact_match_acc: 0.4524 (K~16.00, min=16, max=16, dt=2.48s)
itr: 5500 lr: 9.600e-05 train loss: 0.189451 train token_acc: 0.9543 train exact_match_acc: 0.4946 (K~16.00, min=16, max=16, dt=2.48s)
itr: 5750 lr: 9.561e-05 train loss: 0.156566 train token_acc: 0.9606 train exact_match_acc: 0.5496 (K~16.00, min=16, max=16, dt=2.48s)
itr: 6000 lr: 9.519e-05 train loss: 0.143270 train token_acc: 0.9640 train exact_match_acc: 0.5789 (K~16.00, min=16, max=16, dt=2.48s)
itr: 6250 lr: 9.476e-05 train loss: 0.126604 train token_acc: 0.9697 train exact_match_acc: 0.6389 (K~16.00, min=16, max=16, dt=2.48s)
itr: 6500 lr: 9.432e-05 train loss: 0.108639 train token_acc: 0.9738 train exact_match_acc: 0.6765 (K~16.00, min=16, max=16, dt=2.48s)
itr: 6750 lr: 9.385e-05 train loss: 0.100308 train token_acc: 0.9770 train exact_match_acc: 0.7024 (K~16.00, min=16, max=16, dt=2.48s)
itr: 7000 lr: 9.337e-05 train loss: 0.089286 train token_acc: 0.9793 train exact_match_acc: 0.7219 (K~16.00, min=16, max=16, dt=2.48s)
itr: 7250 lr: 9.287e-05 train loss: 0.075715 train token_acc: 0.9830 train exact_match_acc: 0.7715 (K~16.00, min=16, max=16, dt=2.48s)
itr: 7500 lr: 9.235e-05 train loss: 0.071185 train token_acc: 0.9837 train exact_match_acc: 0.7771 (K~16.00, min=16, max=16, dt=2.48s)
itr: 7750 lr: 9.182e-05 train loss: 0.067624 train token_acc: 0.9852 train exact_match_acc: 0.7922 (K~16.00, min=16, max=16, dt=2.48s)
itr: 8000 lr: 9.127e-05 train loss: 0.061744 train token_acc: 0.9866 train exact_match_acc: 0.8118 (K~16.00, min=16, max=16, dt=2.48s)
itr: 8250 lr: 9.071e-05 train loss: 0.056417 train token_acc: 0.9881 train exact_match_acc: 0.8323 (K~16.00, min=16, max=16, dt=2.48s)
itr: 8500 lr: 9.013e-05 train loss: 0.051029 train token_acc: 0.9887 train exact_match_acc: 0.8401 (K~16.00, min=16, max=16, dt=2.48s)
itr: 8750 lr: 8.953e-05 train loss: 0.047836 train token_acc: 0.9898 train exact_match_acc: 0.8523 (K~16.00, min=16, max=16, dt=2.48s)
itr: 9000 lr: 8.892e-05 train loss: 0.042832 train token_acc: 0.9908 train exact_match_acc: 0.8669 (K~16.00, min=16, max=16, dt=2.48s)
itr: 9250 lr: 8.829e-05 train loss: 0.037399 train token_acc: 0.9922 train exact_match_acc: 0.8835 (K~16.00, min=16, max=16, dt=2.48s)
itr: 9500 lr: 8.765e-05 train loss: 0.035351 train token_acc: 0.9917 train exact_match_acc: 0.8799 (K~16.00, min=16, max=16, dt=2.48s)
itr: 9750 lr: 8.700e-05 train loss: 0.033843 train token_acc: 0.9930 train exact_match_acc: 0.8955 (K~16.00, min=16, max=16, dt=2.48s)
itr: 10000 lr: 8.632e-05 train loss: 0.037104 train token_acc: 0.9924 train exact_match_acc: 0.8879 (K~16.00, min=16, max=16, dt=2.48s)
itr: 10250 lr: 8.564e-05 train loss: 0.032410 train token_acc: 0.9938 train exact_match_acc: 0.9080 (K~16.00, min=16, max=16, dt=2.48s)
itr: 10500 lr: 8.494e-05 train loss: 0.027206 train token_acc: 0.9945 train exact_match_acc: 0.9167 (K~16.00, min=16, max=16, dt=2.48s)
itr: 10750 lr: 8.423e-05 train loss: 0.029714 train token_acc: 0.9940 train exact_match_acc: 0.9087 (K~16.00, min=16, max=16, dt=2.48s)
itr: 11000 lr: 8.351e-05 train loss: 0.031597 train token_acc: 0.9944 train exact_match_acc: 0.9121 (K~16.00, min=16, max=16, dt=2.48s)
itr: 11250 lr: 8.277e-05 train loss: 0.024332 train token_acc: 0.9948 train exact_match_acc: 0.9216 (K~16.00, min=16, max=16, dt=2.48s)
itr: 11500 lr: 8.202e-05 train loss: 0.021571 train token_acc: 0.9955 train exact_match_acc: 0.9309 (K~16.00, min=16, max=16, dt=2.48s)
itr: 11750 lr: 8.125e-05 train loss: 0.024111 train token_acc: 0.9955 train exact_match_acc: 0.9304 (K~16.00, min=16, max=16, dt=2.48s)
itr: 12000 lr: 8.048e-05 train loss: 0.021782 train token_acc: 0.9954 train exact_match_acc: 0.9280 (K~16.00, min=16, max=16, dt=2.48s)
itr: 12250 lr: 7.969e-05 train loss: 0.026528 train token_acc: 0.9955 train exact_match_acc: 0.9302 (K~16.00, min=16, max=16, dt=2.48s)
itr: 12500 lr: 7.889e-05 train loss: 0.019806 train token_acc: 0.9960 train exact_match_acc: 0.9385 (K~16.00, min=16, max=16, dt=2.48s)
itr: 12750 lr: 7.808e-05 train loss: 0.020774 train token_acc: 0.9962 train exact_match_acc: 0.9412 (K~16.00, min=16, max=16, dt=2.48s)
itr: 13000 lr: 7.726e-05 train loss: 0.021652 train token_acc: 0.9963 train exact_match_acc: 0.9417 (K~16.00, min=16, max=16, dt=2.47s)
itr: 13250 lr: 7.643e-05 train loss: 0.018375 train token_acc: 0.9963 train exact_match_acc: 0.9424 (K~16.00, min=16, max=16, dt=2.48s)
itr: 13500 lr: 7.559e-05 train loss: 0.016994 train token_acc: 0.9965 train exact_match_acc: 0.9451 (K~16.00, min=16, max=16, dt=2.47s)
itr: 13750 lr: 7.474e-05 train loss: 0.014668 train token_acc: 0.9969 train exact_match_acc: 0.9524 (K~16.00, min=16, max=16, dt=2.48s)
itr: 14000 lr: 7.388e-05 train loss: 0.015373 train token_acc: 0.9971 train exact_match_acc: 0.9546 (K~16.00, min=16, max=16, dt=2.47s)
itr: 14250 lr: 7.301e-05 train loss: 0.015962 train token_acc: 0.9969 train exact_match_acc: 0.9517 (K~16.00, min=16, max=16, dt=2.48s)
itr: 14500 lr: 7.213e-05 train loss: 0.017850 train token_acc: 0.9967 train exact_match_acc: 0.9492 (K~16.00, min=16, max=16, dt=2.47s)
itr: 14750 lr: 7.124e-05 train loss: 0.013588 train token_acc: 0.9973 train exact_match_acc: 0.9590 (K~16.00, min=16, max=16, dt=2.48s)
itr: 15000 lr: 7.035e-05 train loss: 0.013597 train token_acc: 0.9975 train exact_match_acc: 0.9609 (K~16.00, min=16, max=16, dt=2.47s)
itr: 15250 lr: 6.944e-05 train loss: 0.013504 train token_acc: 0.9972 train exact_match_acc: 0.9558 (K~16.00, min=16, max=16, dt=2.48s)
itr: 15500 lr: 6.853e-05 train loss: 0.014655 train token_acc: 0.9973 train exact_match_acc: 0.9583 (K~16.00, min=16, max=16, dt=2.47s)
itr: 15750 lr: 6.761e-05 train loss: 0.014189 train token_acc: 0.9974 train exact_match_acc: 0.9597 (K~16.00, min=16, max=16, dt=2.48s)
itr: 16000 lr: 6.669e-05 train loss: 0.013606 train token_acc: 0.9977 train exact_match_acc: 0.9644 (K~16.00, min=16, max=16, dt=2.48s)
itr: 16250 lr: 6.576e-05 train loss: 0.011969 train token_acc: 0.9978 train exact_match_acc: 0.9648 (K~16.00, min=16, max=16, dt=2.48s)
itr: 16500 lr: 6.482e-05 train loss: 0.013161 train token_acc: 0.9974 train exact_match_acc: 0.9592 (K~16.00, min=16, max=16, dt=2.48s)
itr: 16750 lr: 6.388e-05 train loss: 0.012103 train token_acc: 0.9978 train exact_match_acc: 0.9656 (K~16.00, min=16, max=16, dt=2.48s)
itr: 17000 lr: 6.293e-05 train loss: 0.010547 train token_acc: 0.9981 train exact_match_acc: 0.9695 (K~16.00, min=16, max=16, dt=2.47s)
itr: 17250 lr: 6.198e-05 train loss: 0.009467 train token_acc: 0.9982 train exact_match_acc: 0.9719 (K~16.00, min=16, max=16, dt=2.48s)
itr: 17500 lr: 6.102e-05 train loss: 0.010310 train token_acc: 0.9980 train exact_match_acc: 0.9678 (K~16.00, min=16, max=16, dt=2.47s)
itr: 17750 lr: 6.006e-05 train loss: 0.010797 train token_acc: 0.9981 train exact_match_acc: 0.9700 (K~16.00, min=16, max=16, dt=2.48s)
itr: 18000 lr: 5.910e-05 train loss: 0.011060 train token_acc: 0.9980 train exact_match_acc: 0.9685 (K~16.00, min=16, max=16, dt=2.48s)
itr: 18250 lr: 5.813e-05 train loss: 0.009047 train token_acc: 0.9985 train exact_match_acc: 0.9763 (K~16.00, min=16, max=16, dt=2.48s)
itr: 18500 lr: 5.716e-05 train loss: 0.011459 train token_acc: 0.9980 train exact_match_acc: 0.9680 (K~16.00, min=16, max=16, dt=2.48s)
itr: 18750 lr: 5.618e-05 train loss: 0.008956 train token_acc: 0.9981 train exact_match_acc: 0.9695 (K~16.00, min=16, max=16, dt=2.48s)
itr: 19000 lr: 5.521e-05 train loss: 0.009881 train token_acc: 0.9982 train exact_match_acc: 0.9722 (K~16.00, min=16, max=16, dt=2.48s)
itr: 19250 lr: 5.423e-05 train loss: 0.007905 train token_acc: 0.9982 train exact_match_acc: 0.9717 (K~16.00, min=16, max=16, dt=2.48s)
itr: 19500 lr: 5.325e-05 train loss: 0.008169 train token_acc: 0.9985 train exact_match_acc: 0.9768 (K~16.00, min=16, max=16, dt=2.48s)
itr: 19750 lr: 5.227e-05 train loss: 0.008939 train token_acc: 0.9982 train exact_match_acc: 0.9722 (K~16.00, min=16, max=16, dt=2.48s)
itr: 20000 lr: 5.129e-05 train loss: 0.008583 train token_acc: 0.9984 train exact_match_acc: 0.9749 (K~16.00, min=16, max=16, dt=2.48s)
saved checkpoint: ./grid_outputs/len_gen_v256_e128_k16/task_0006/saved_models/Checkpoint_N256_d128_H1_L1_npos1_mlp1_ln0_normnone_qkn0_qkrms0_gate0_gateelem0_lenmix_trainK16to16_testK16to16_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 0.008629 train token_acc: 0.9985 train exact_match_acc: 0.9768 (K~16.00, min=16, max=16, dt=2.52s)
itr: 20500 lr: 4.932e-05 train loss: 0.008369 train token_acc: 0.9983 train exact_match_acc: 0.9729 (K~16.00, min=16, max=16, dt=2.48s)
itr: 20750 lr: 4.834e-05 train loss: 0.007469 train token_acc: 0.9986 train exact_match_acc: 0.9775 (K~16.00, min=16, max=16, dt=2.48s)
itr: 21000 lr: 4.736e-05 train loss: 0.007932 train token_acc: 0.9985 train exact_match_acc: 0.9766 (K~16.00, min=16, max=16, dt=2.48s)
itr: 21250 lr: 4.638e-05 train loss: 0.008106 train token_acc: 0.9984 train exact_match_acc: 0.9746 (K~16.00, min=16, max=16, dt=2.48s)
itr: 21500 lr: 4.540e-05 train loss: 0.007299 train token_acc: 0.9986 train exact_match_acc: 0.9778 (K~16.00, min=16, max=16, dt=2.48s)
itr: 21750 lr: 4.443e-05 train loss: 0.008063 train token_acc: 0.9983 train exact_match_acc: 0.9741 (K~16.00, min=16, max=16, dt=2.48s)
itr: 22000 lr: 4.346e-05 train loss: 0.008908 train token_acc: 0.9984 train exact_match_acc: 0.9739 (K~16.00, min=16, max=16, dt=2.48s)
itr: 22250 lr: 4.249e-05 train loss: 0.007277 train token_acc: 0.9985 train exact_match_acc: 0.9768 (K~16.00, min=16, max=16, dt=2.48s)
itr: 22500 lr: 4.152e-05 train loss: 0.007787 train token_acc: 0.9987 train exact_match_acc: 0.9795 (K~16.00, min=16, max=16, dt=2.48s)
itr: 22750 lr: 4.055e-05 train loss: 0.008960 train token_acc: 0.9986 train exact_match_acc: 0.9778 (K~16.00, min=16, max=16, dt=2.48s)
