training:  19%|█▉        | 7741/40000 [01:16<05:18, 101.27it/s]
itr: 0 lr: 2.494e-07 train loss: 5.554430 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 5.501307 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.50s)
itr: 500 lr: 1.000e-04 train loss: 4.659280 train token_acc: 0.0067 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 750 lr: 9.998e-05 train loss: 3.896525 train token_acc: 0.0251 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 1000 lr: 9.994e-05 train loss: 3.673533 train token_acc: 0.0566 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 1250 lr: 9.989e-05 train loss: 3.451552 train token_acc: 0.0946 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 1500 lr: 9.981e-05 train loss: 3.126755 train token_acc: 0.1698 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 1750 lr: 9.972e-05 train loss: 2.678166 train token_acc: 0.2746 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 2000 lr: 9.960e-05 train loss: 2.202297 train token_acc: 0.3983 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 2250 lr: 9.947e-05 train loss: 1.780142 train token_acc: 0.5144 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 2500 lr: 9.931e-05 train loss: 1.446211 train token_acc: 0.6066 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=2.47s)
itr: 2750 lr: 9.914e-05 train loss: 1.216244 train token_acc: 0.6766 train exact_match_acc: 0.0054 (K~16.00, min=16, max=16, dt=2.47s)
itr: 3000 lr: 9.895e-05 train loss: 1.009287 train token_acc: 0.7322 train exact_match_acc: 0.0193 (K~16.00, min=16, max=16, dt=2.47s)
itr: 3250 lr: 9.874e-05 train loss: 0.836242 train token_acc: 0.7796 train exact_match_acc: 0.0342 (K~16.00, min=16, max=16, dt=2.47s)
itr: 3500 lr: 9.851e-05 train loss: 0.697644 train token_acc: 0.8163 train exact_match_acc: 0.0630 (K~16.00, min=16, max=16, dt=2.47s)
itr: 3750 lr: 9.826e-05 train loss: 0.578055 train token_acc: 0.8471 train exact_match_acc: 0.1062 (K~16.00, min=16, max=16, dt=2.47s)
itr: 4000 lr: 9.799e-05 train loss: 0.474083 train token_acc: 0.8756 train exact_match_acc: 0.1624 (K~16.00, min=16, max=16, dt=2.47s)
itr: 4250 lr: 9.771e-05 train loss: 0.401090 train token_acc: 0.8948 train exact_match_acc: 0.2124 (K~16.00, min=16, max=16, dt=2.47s)
itr: 4500 lr: 9.740e-05 train loss: 0.344448 train token_acc: 0.9113 train exact_match_acc: 0.2754 (K~16.00, min=16, max=16, dt=2.47s)
itr: 4750 lr: 9.708e-05 train loss: 0.294287 train token_acc: 0.9253 train exact_match_acc: 0.3296 (K~16.00, min=16, max=16, dt=2.47s)
itr: 5000 lr: 9.674e-05 train loss: 0.245158 train token_acc: 0.9372 train exact_match_acc: 0.3977 (K~16.00, min=16, max=16, dt=2.47s)
itr: 5250 lr: 9.638e-05 train loss: 0.221368 train token_acc: 0.9456 train exact_match_acc: 0.4526 (K~16.00, min=16, max=16, dt=2.47s)
itr: 5500 lr: 9.600e-05 train loss: 0.200416 train token_acc: 0.9511 train exact_match_acc: 0.4814 (K~16.00, min=16, max=16, dt=2.47s)
itr: 5750 lr: 9.561e-05 train loss: 0.167794 train token_acc: 0.9586 train exact_match_acc: 0.5439 (K~16.00, min=16, max=16, dt=2.47s)
itr: 6000 lr: 9.519e-05 train loss: 0.150068 train token_acc: 0.9659 train exact_match_acc: 0.5898 (K~16.00, min=16, max=16, dt=2.47s)
itr: 6250 lr: 9.476e-05 train loss: 0.128307 train token_acc: 0.9714 train exact_match_acc: 0.6443 (K~16.00, min=16, max=16, dt=2.47s)
itr: 6500 lr: 9.432e-05 train loss: 0.111658 train token_acc: 0.9744 train exact_match_acc: 0.6763 (K~16.00, min=16, max=16, dt=2.47s)
itr: 6750 lr: 9.385e-05 train loss: 0.102416 train token_acc: 0.9769 train exact_match_acc: 0.7000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 7000 lr: 9.337e-05 train loss: 0.091230 train token_acc: 0.9796 train exact_match_acc: 0.7217 (K~16.00, min=16, max=16, dt=2.47s)
itr: 7250 lr: 9.287e-05 train loss: 0.081136 train token_acc: 0.9820 train exact_match_acc: 0.7554 (K~16.00, min=16, max=16, dt=2.47s)
itr: 7500 lr: 9.235e-05 train loss: 0.072844 train token_acc: 0.9834 train exact_match_acc: 0.7727 (K~16.00, min=16, max=16, dt=2.47s)
itr: 7750 lr: 9.182e-05 train loss: 0.066611 train token_acc: 0.9855 train exact_match_acc: 0.7976 (K~16.00, min=16, max=16, dt=2.47s)
itr: 8000 lr: 9.127e-05 train loss: 0.063729 train token_acc: 0.9870 train exact_match_acc: 0.8125 (K~16.00, min=16, max=16, dt=2.47s)
itr: 8250 lr: 9.071e-05 train loss: 0.059437 train token_acc: 0.9868 train exact_match_acc: 0.8152 (K~16.00, min=16, max=16, dt=2.47s)
itr: 8500 lr: 9.013e-05 train loss: 0.054013 train token_acc: 0.9884 train exact_match_acc: 0.8296 (K~16.00, min=16, max=16, dt=2.47s)
itr: 8750 lr: 8.953e-05 train loss: 0.046145 train token_acc: 0.9903 train exact_match_acc: 0.8572 (K~16.00, min=16, max=16, dt=2.47s)
itr: 9000 lr: 8.892e-05 train loss: 0.049104 train token_acc: 0.9900 train exact_match_acc: 0.8552 (K~16.00, min=16, max=16, dt=2.47s)
itr: 9250 lr: 8.829e-05 train loss: 0.044581 train token_acc: 0.9912 train exact_match_acc: 0.8694 (K~16.00, min=16, max=16, dt=2.47s)
