training:  19%|█▉        | 7748/40000 [01:00<04:12, 127.86it/s]
itr: 0 lr: 2.494e-07 train loss: 5.555681 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.31s)
itr: 250 lr: 6.259e-05 train loss: 5.532443 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.99s)
itr: 500 lr: 1.000e-04 train loss: 5.371914 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 750 lr: 9.998e-05 train loss: 4.670016 train token_acc: 0.0023 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 1000 lr: 9.994e-05 train loss: 4.241493 train token_acc: 0.0203 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 1250 lr: 9.989e-05 train loss: 4.051039 train token_acc: 0.0178 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 1500 lr: 9.981e-05 train loss: 3.839131 train token_acc: 0.0506 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 1750 lr: 9.972e-05 train loss: 3.539728 train token_acc: 0.1277 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 2000 lr: 9.960e-05 train loss: 3.152324 train token_acc: 0.2473 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 2250 lr: 9.947e-05 train loss: 2.776963 train token_acc: 0.3311 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 2500 lr: 9.931e-05 train loss: 2.509337 train token_acc: 0.3766 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 2750 lr: 9.914e-05 train loss: 2.303117 train token_acc: 0.4213 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 3000 lr: 9.895e-05 train loss: 2.091589 train token_acc: 0.4656 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 3250 lr: 9.874e-05 train loss: 1.860610 train token_acc: 0.5195 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 3500 lr: 9.851e-05 train loss: 1.671943 train token_acc: 0.5650 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 3750 lr: 9.826e-05 train loss: 1.513412 train token_acc: 0.6066 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 4000 lr: 9.799e-05 train loss: 1.363159 train token_acc: 0.6438 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.96s)
itr: 4250 lr: 9.771e-05 train loss: 1.222549 train token_acc: 0.6764 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.96s)
itr: 4500 lr: 9.740e-05 train loss: 1.123259 train token_acc: 0.7045 train exact_match_acc: 0.0020 (K~16.00, min=16, max=16, dt=1.96s)
itr: 4750 lr: 9.708e-05 train loss: 0.998406 train token_acc: 0.7361 train exact_match_acc: 0.0061 (K~16.00, min=16, max=16, dt=1.96s)
itr: 5000 lr: 9.674e-05 train loss: 0.887484 train token_acc: 0.7649 train exact_match_acc: 0.0134 (K~16.00, min=16, max=16, dt=1.96s)
itr: 5250 lr: 9.638e-05 train loss: 0.787557 train token_acc: 0.7911 train exact_match_acc: 0.0247 (K~16.00, min=16, max=16, dt=1.96s)
itr: 5500 lr: 9.600e-05 train loss: 0.700351 train token_acc: 0.8180 train exact_match_acc: 0.0483 (K~16.00, min=16, max=16, dt=1.96s)
itr: 5750 lr: 9.561e-05 train loss: 0.587212 train token_acc: 0.8423 train exact_match_acc: 0.0859 (K~16.00, min=16, max=16, dt=1.96s)
itr: 6000 lr: 9.519e-05 train loss: 0.498861 train token_acc: 0.8699 train exact_match_acc: 0.1472 (K~16.00, min=16, max=16, dt=1.96s)
itr: 6250 lr: 9.476e-05 train loss: 0.422967 train token_acc: 0.8897 train exact_match_acc: 0.1921 (K~16.00, min=16, max=16, dt=1.96s)
itr: 6500 lr: 9.432e-05 train loss: 0.361700 train token_acc: 0.9032 train exact_match_acc: 0.2461 (K~16.00, min=16, max=16, dt=1.96s)
itr: 6750 lr: 9.385e-05 train loss: 0.331790 train token_acc: 0.9137 train exact_match_acc: 0.2812 (K~16.00, min=16, max=16, dt=1.96s)
itr: 7000 lr: 9.337e-05 train loss: 0.298223 train token_acc: 0.9245 train exact_match_acc: 0.3225 (K~16.00, min=16, max=16, dt=1.96s)
itr: 7250 lr: 9.287e-05 train loss: 0.262554 train token_acc: 0.9337 train exact_match_acc: 0.3599 (K~16.00, min=16, max=16, dt=1.96s)
itr: 7500 lr: 9.235e-05 train loss: 0.234486 train token_acc: 0.9395 train exact_match_acc: 0.4080 (K~16.00, min=16, max=16, dt=1.96s)
itr: 7750 lr: 9.182e-05 train loss: 0.219378 train token_acc: 0.9462 train exact_match_acc: 0.4358 (K~16.00, min=16, max=16, dt=1.96s)
itr: 8000 lr: 9.127e-05 train loss: 0.199629 train token_acc: 0.9537 train exact_match_acc: 0.4868 (K~16.00, min=16, max=16, dt=1.96s)
