training:  19%|█▉        | 7740/40000 [01:00<04:11, 128.28it/s]
itr: 0 lr: 2.494e-07 train loss: 5.553316 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.33s)
itr: 250 lr: 6.259e-05 train loss: 5.536255 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.97s)
itr: 500 lr: 1.000e-04 train loss: 5.399114 train token_acc: 0.0025 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 750 lr: 9.998e-05 train loss: 4.774778 train token_acc: 0.0122 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 1000 lr: 9.994e-05 train loss: 4.397770 train token_acc: 0.0202 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 1250 lr: 9.989e-05 train loss: 4.170680 train token_acc: 0.0277 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 1500 lr: 9.981e-05 train loss: 4.064131 train token_acc: 0.0331 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 1750 lr: 9.972e-05 train loss: 3.981084 train token_acc: 0.0369 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 2000 lr: 9.960e-05 train loss: 3.870467 train token_acc: 0.0403 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 2250 lr: 9.947e-05 train loss: 3.786536 train token_acc: 0.0459 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 2500 lr: 9.931e-05 train loss: 3.708442 train token_acc: 0.0565 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 2750 lr: 9.914e-05 train loss: 3.620357 train token_acc: 0.0712 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 3000 lr: 9.895e-05 train loss: 3.510406 train token_acc: 0.0933 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 3250 lr: 9.874e-05 train loss: 3.409066 train token_acc: 0.1087 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 3500 lr: 9.851e-05 train loss: 3.309432 train token_acc: 0.1346 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 3750 lr: 9.826e-05 train loss: 3.202265 train token_acc: 0.1600 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 4000 lr: 9.799e-05 train loss: 3.124846 train token_acc: 0.1806 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
itr: 4250 lr: 9.771e-05 train loss: 3.045559 train token_acc: 0.2022 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.95s)
