training:  19%|█▉        | 7741/40000 [01:17<05:18, 101.20it/s]
itr: 0 lr: 2.494e-07 train loss: 5.556805 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.63s)
itr: 250 lr: 6.259e-05 train loss: 5.503604 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.50s)
itr: 500 lr: 1.000e-04 train loss: 4.657720 train token_acc: 0.0106 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 750 lr: 9.998e-05 train loss: 3.900738 train token_acc: 0.0267 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 1000 lr: 9.994e-05 train loss: 3.700079 train token_acc: 0.0526 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 1250 lr: 9.989e-05 train loss: 3.421637 train token_acc: 0.1095 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 1500 lr: 9.981e-05 train loss: 3.077264 train token_acc: 0.1823 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 1750 lr: 9.972e-05 train loss: 2.640671 train token_acc: 0.2855 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 2000 lr: 9.960e-05 train loss: 2.159277 train token_acc: 0.4090 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 2250 lr: 9.947e-05 train loss: 1.738076 train token_acc: 0.5243 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.47s)
itr: 2500 lr: 9.931e-05 train loss: 1.440268 train token_acc: 0.6126 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=2.47s)
itr: 2750 lr: 9.914e-05 train loss: 1.211939 train token_acc: 0.6765 train exact_match_acc: 0.0020 (K~16.00, min=16, max=16, dt=2.47s)
itr: 3000 lr: 9.895e-05 train loss: 1.028404 train token_acc: 0.7295 train exact_match_acc: 0.0120 (K~16.00, min=16, max=16, dt=2.47s)
itr: 3250 lr: 9.874e-05 train loss: 0.873503 train token_acc: 0.7733 train exact_match_acc: 0.0310 (K~16.00, min=16, max=16, dt=2.47s)
itr: 3500 lr: 9.851e-05 train loss: 0.731077 train token_acc: 0.8108 train exact_match_acc: 0.0613 (K~16.00, min=16, max=16, dt=2.47s)
itr: 3750 lr: 9.826e-05 train loss: 0.594453 train token_acc: 0.8452 train exact_match_acc: 0.0986 (K~16.00, min=16, max=16, dt=2.47s)
itr: 4000 lr: 9.799e-05 train loss: 0.505440 train token_acc: 0.8678 train exact_match_acc: 0.1389 (K~16.00, min=16, max=16, dt=2.47s)
itr: 4250 lr: 9.771e-05 train loss: 0.414853 train token_acc: 0.8916 train exact_match_acc: 0.2107 (K~16.00, min=16, max=16, dt=2.47s)
itr: 4500 lr: 9.740e-05 train loss: 0.357699 train token_acc: 0.9087 train exact_match_acc: 0.2610 (K~16.00, min=16, max=16, dt=2.47s)
itr: 4750 lr: 9.708e-05 train loss: 0.304647 train token_acc: 0.9223 train exact_match_acc: 0.3137 (K~16.00, min=16, max=16, dt=2.47s)
itr: 5000 lr: 9.674e-05 train loss: 0.270237 train token_acc: 0.9323 train exact_match_acc: 0.3728 (K~16.00, min=16, max=16, dt=2.47s)
itr: 5250 lr: 9.638e-05 train loss: 0.232577 train token_acc: 0.9428 train exact_match_acc: 0.4365 (K~16.00, min=16, max=16, dt=2.47s)
itr: 5500 lr: 9.600e-05 train loss: 0.199297 train token_acc: 0.9519 train exact_match_acc: 0.4924 (K~16.00, min=16, max=16, dt=2.47s)
itr: 5750 lr: 9.561e-05 train loss: 0.176301 train token_acc: 0.9577 train exact_match_acc: 0.5369 (K~16.00, min=16, max=16, dt=2.47s)
itr: 6000 lr: 9.519e-05 train loss: 0.159234 train token_acc: 0.9628 train exact_match_acc: 0.5564 (K~16.00, min=16, max=16, dt=2.47s)
itr: 6250 lr: 9.476e-05 train loss: 0.138526 train token_acc: 0.9681 train exact_match_acc: 0.6169 (K~16.00, min=16, max=16, dt=2.47s)
itr: 6500 lr: 9.432e-05 train loss: 0.123389 train token_acc: 0.9717 train exact_match_acc: 0.6411 (K~16.00, min=16, max=16, dt=2.47s)
itr: 6750 lr: 9.385e-05 train loss: 0.111729 train token_acc: 0.9751 train exact_match_acc: 0.6851 (K~16.00, min=16, max=16, dt=2.47s)
itr: 7000 lr: 9.337e-05 train loss: 0.096958 train token_acc: 0.9788 train exact_match_acc: 0.7231 (K~16.00, min=16, max=16, dt=2.47s)
itr: 7250 lr: 9.287e-05 train loss: 0.088535 train token_acc: 0.9806 train exact_match_acc: 0.7424 (K~16.00, min=16, max=16, dt=2.47s)
itr: 7500 lr: 9.235e-05 train loss: 0.082281 train token_acc: 0.9826 train exact_match_acc: 0.7605 (K~16.00, min=16, max=16, dt=2.47s)
itr: 7750 lr: 9.182e-05 train loss: 0.078017 train token_acc: 0.9839 train exact_match_acc: 0.7769 (K~16.00, min=16, max=16, dt=2.47s)
itr: 8000 lr: 9.127e-05 train loss: 0.065137 train token_acc: 0.9863 train exact_match_acc: 0.8113 (K~16.00, min=16, max=16, dt=2.47s)
itr: 8250 lr: 9.071e-05 train loss: 0.064840 train token_acc: 0.9874 train exact_match_acc: 0.8201 (K~16.00, min=16, max=16, dt=2.47s)
itr: 8500 lr: 9.013e-05 train loss: 0.056585 train token_acc: 0.9883 train exact_match_acc: 0.8345 (K~16.00, min=16, max=16, dt=2.47s)
itr: 8750 lr: 8.953e-05 train loss: 0.055304 train token_acc: 0.9896 train exact_match_acc: 0.8477 (K~16.00, min=16, max=16, dt=2.47s)
itr: 9000 lr: 8.892e-05 train loss: 0.050398 train token_acc: 0.9901 train exact_match_acc: 0.8525 (K~16.00, min=16, max=16, dt=2.47s)
itr: 9250 lr: 8.829e-05 train loss: 0.044836 train token_acc: 0.9912 train exact_match_acc: 0.8679 (K~16.00, min=16, max=16, dt=2.47s)
itr: 9500 lr: 8.765e-05 train loss: 0.042021 train token_acc: 0.9919 train exact_match_acc: 0.8809 (K~16.00, min=16, max=16, dt=2.47s)
itr: 9750 lr: 8.700e-05 train loss: 0.039542 train token_acc: 0.9930 train exact_match_acc: 0.8967 (K~16.00, min=16, max=16, dt=2.47s)
itr: 10000 lr: 8.632e-05 train loss: 0.040725 train token_acc: 0.9924 train exact_match_acc: 0.8870 (K~16.00, min=16, max=16, dt=2.47s)
itr: 10250 lr: 8.564e-05 train loss: 0.034828 train token_acc: 0.9931 train exact_match_acc: 0.8958 (K~16.00, min=16, max=16, dt=2.47s)
itr: 10500 lr: 8.494e-05 train loss: 0.031401 train token_acc: 0.9939 train exact_match_acc: 0.9062 (K~16.00, min=16, max=16, dt=2.47s)
itr: 10750 lr: 8.423e-05 train loss: 0.027548 train token_acc: 0.9944 train exact_match_acc: 0.9138 (K~16.00, min=16, max=16, dt=2.47s)
itr: 11000 lr: 8.351e-05 train loss: 0.027907 train token_acc: 0.9948 train exact_match_acc: 0.9189 (K~16.00, min=16, max=16, dt=2.47s)
itr: 11250 lr: 8.277e-05 train loss: 0.025171 train token_acc: 0.9955 train exact_match_acc: 0.9326 (K~16.00, min=16, max=16, dt=2.47s)
itr: 11500 lr: 8.202e-05 train loss: 0.020886 train token_acc: 0.9955 train exact_match_acc: 0.9326 (K~16.00, min=16, max=16, dt=2.47s)
itr: 11750 lr: 8.125e-05 train loss: 0.024124 train token_acc: 0.9957 train exact_match_acc: 0.9326 (K~16.00, min=16, max=16, dt=2.47s)
itr: 12000 lr: 8.048e-05 train loss: 0.021841 train token_acc: 0.9958 train exact_match_acc: 0.9360 (K~16.00, min=16, max=16, dt=2.47s)
itr: 12250 lr: 7.969e-05 train loss: 0.023188 train token_acc: 0.9963 train exact_match_acc: 0.9412 (K~16.00, min=16, max=16, dt=2.47s)
itr: 12500 lr: 7.889e-05 train loss: 0.018980 train token_acc: 0.9961 train exact_match_acc: 0.9402 (K~16.00, min=16, max=16, dt=2.47s)
itr: 12750 lr: 7.808e-05 train loss: 0.017662 train token_acc: 0.9966 train exact_match_acc: 0.9470 (K~16.00, min=16, max=16, dt=2.47s)
itr: 13000 lr: 7.726e-05 train loss: 0.017912 train token_acc: 0.9967 train exact_match_acc: 0.9482 (K~16.00, min=16, max=16, dt=2.47s)
itr: 13250 lr: 7.643e-05 train loss: 0.017072 train token_acc: 0.9970 train exact_match_acc: 0.9534 (K~16.00, min=16, max=16, dt=2.47s)
itr: 13500 lr: 7.559e-05 train loss: 0.014785 train token_acc: 0.9970 train exact_match_acc: 0.9536 (K~16.00, min=16, max=16, dt=2.47s)
itr: 13750 lr: 7.474e-05 train loss: 0.015781 train token_acc: 0.9971 train exact_match_acc: 0.9556 (K~16.00, min=16, max=16, dt=2.47s)
