training:  19%|█▉        | 7748/40000 [01:00<04:12, 127.72it/s]
itr: 0 lr: 2.494e-07 train loss: 5.554485 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.27s)
itr: 250 lr: 6.259e-05 train loss: 5.532219 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.00s)
itr: 500 lr: 1.000e-04 train loss: 5.371340 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 750 lr: 9.998e-05 train loss: 4.698391 train token_acc: 0.0018 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 1000 lr: 9.994e-05 train loss: 4.269222 train token_acc: 0.0075 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 1250 lr: 9.989e-05 train loss: 4.074600 train token_acc: 0.0146 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 1500 lr: 9.981e-05 train loss: 3.906650 train token_acc: 0.0361 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 1750 lr: 9.972e-05 train loss: 3.681391 train token_acc: 0.0897 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 2000 lr: 9.960e-05 train loss: 3.396656 train token_acc: 0.1690 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 2250 lr: 9.947e-05 train loss: 3.038990 train token_acc: 0.2565 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 2500 lr: 9.931e-05 train loss: 2.737663 train token_acc: 0.3217 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 2750 lr: 9.914e-05 train loss: 2.506613 train token_acc: 0.3711 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 3000 lr: 9.895e-05 train loss: 2.325545 train token_acc: 0.4081 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 3250 lr: 9.874e-05 train loss: 2.132284 train token_acc: 0.4501 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 3500 lr: 9.851e-05 train loss: 1.943596 train token_acc: 0.4935 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 3750 lr: 9.826e-05 train loss: 1.801427 train token_acc: 0.5305 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 4000 lr: 9.799e-05 train loss: 1.652193 train token_acc: 0.5668 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 4250 lr: 9.771e-05 train loss: 1.536529 train token_acc: 0.5963 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 4500 lr: 9.740e-05 train loss: 1.418936 train token_acc: 0.6296 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 4750 lr: 9.708e-05 train loss: 1.316099 train token_acc: 0.6561 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 5000 lr: 9.674e-05 train loss: 1.205739 train token_acc: 0.6846 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 5250 lr: 9.638e-05 train loss: 1.129527 train token_acc: 0.7043 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 5500 lr: 9.600e-05 train loss: 1.062199 train token_acc: 0.7249 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 5750 lr: 9.561e-05 train loss: 0.981673 train token_acc: 0.7446 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 6000 lr: 9.519e-05 train loss: 0.918979 train token_acc: 0.7619 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.96s)
itr: 6250 lr: 9.476e-05 train loss: 0.844887 train token_acc: 0.7822 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.96s)
itr: 6500 lr: 9.432e-05 train loss: 0.751294 train token_acc: 0.8047 train exact_match_acc: 0.0083 (K~16.00, min=16, max=16, dt=1.96s)
itr: 6750 lr: 9.385e-05 train loss: 0.628832 train token_acc: 0.8349 train exact_match_acc: 0.0674 (K~16.00, min=16, max=16, dt=1.96s)
itr: 7000 lr: 9.337e-05 train loss: 0.458195 train token_acc: 0.8848 train exact_match_acc: 0.1851 (K~16.00, min=16, max=16, dt=1.96s)
itr: 7250 lr: 9.287e-05 train loss: 0.360098 train token_acc: 0.9059 train exact_match_acc: 0.2400 (K~16.00, min=16, max=16, dt=1.96s)
itr: 7500 lr: 9.235e-05 train loss: 0.312880 train token_acc: 0.9181 train exact_match_acc: 0.2947 (K~16.00, min=16, max=16, dt=1.96s)
itr: 7750 lr: 9.182e-05 train loss: 0.286049 train token_acc: 0.9274 train exact_match_acc: 0.3374 (K~16.00, min=16, max=16, dt=1.96s)
itr: 8000 lr: 9.127e-05 train loss: 0.252333 train token_acc: 0.9364 train exact_match_acc: 0.3811 (K~16.00, min=16, max=16, dt=1.96s)
itr: 8250 lr: 9.071e-05 train loss: 0.233472 train token_acc: 0.9441 train exact_match_acc: 0.4287 (K~16.00, min=16, max=16, dt=1.96s)
itr: 8500 lr: 9.013e-05 train loss: 0.207284 train token_acc: 0.9512 train exact_match_acc: 0.4758 (K~16.00, min=16, max=16, dt=1.96s)
