training:  19%|█▉        | 7748/40000 [03:29<14:33, 36.92it/s]
itr: 0 lr: 2.494e-07 train loss: 5.605013 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.888640 train token_acc: 0.0034 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.80s)
itr: 500 lr: 1.000e-04 train loss: 3.296443 train token_acc: 0.1717 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.77s)
itr: 750 lr: 9.998e-05 train loss: 2.135935 train token_acc: 0.5211 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.77s)
itr: 1000 lr: 9.994e-05 train loss: 1.065947 train token_acc: 0.7758 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.77s)
itr: 1250 lr: 9.989e-05 train loss: 0.498594 train token_acc: 0.8857 train exact_match_acc: 0.0037 (K~32.00, min=32, max=32, dt=6.77s)
itr: 1500 lr: 9.981e-05 train loss: 0.312443 train token_acc: 0.9137 train exact_match_acc: 0.0139 (K~32.00, min=32, max=32, dt=6.77s)
itr: 1750 lr: 9.972e-05 train loss: 0.234150 train token_acc: 0.9276 train exact_match_acc: 0.0205 (K~32.00, min=32, max=32, dt=6.77s)
itr: 2000 lr: 9.960e-05 train loss: 0.183774 train token_acc: 0.9524 train exact_match_acc: 0.0537 (K~32.00, min=32, max=32, dt=6.77s)
itr: 2250 lr: 9.947e-05 train loss: 0.136058 train token_acc: 0.9661 train exact_match_acc: 0.0811 (K~32.00, min=32, max=32, dt=6.77s)
itr: 2500 lr: 9.931e-05 train loss: 0.117637 train token_acc: 0.9687 train exact_match_acc: 0.0940 (K~32.00, min=32, max=32, dt=6.77s)
itr: 2750 lr: 9.914e-05 train loss: 0.109867 train token_acc: 0.9702 train exact_match_acc: 0.1008 (K~32.00, min=32, max=32, dt=6.77s)
itr: 3000 lr: 9.895e-05 train loss: 0.099078 train token_acc: 0.9717 train exact_match_acc: 0.1411 (K~32.00, min=32, max=32, dt=6.77s)
itr: 3250 lr: 9.874e-05 train loss: 0.075783 train token_acc: 0.9808 train exact_match_acc: 0.4248 (K~32.00, min=32, max=32, dt=6.77s)
itr: 3500 lr: 9.851e-05 train loss: 0.044272 train token_acc: 0.9901 train exact_match_acc: 0.7087 (K~32.00, min=32, max=32, dt=6.77s)
itr: 3750 lr: 9.826e-05 train loss: 0.035089 train token_acc: 0.9923 train exact_match_acc: 0.7717 (K~32.00, min=32, max=32, dt=6.77s)
itr: 4000 lr: 9.799e-05 train loss: 0.034044 train token_acc: 0.9922 train exact_match_acc: 0.7715 (K~32.00, min=32, max=32, dt=6.77s)
itr: 4250 lr: 9.771e-05 train loss: 0.025319 train token_acc: 0.9942 train exact_match_acc: 0.8259 (K~32.00, min=32, max=32, dt=6.77s)
itr: 4500 lr: 9.740e-05 train loss: 0.025233 train token_acc: 0.9942 train exact_match_acc: 0.8235 (K~32.00, min=32, max=32, dt=6.77s)
itr: 4750 lr: 9.708e-05 train loss: 0.020941 train token_acc: 0.9951 train exact_match_acc: 0.8501 (K~32.00, min=32, max=32, dt=6.77s)
itr: 5000 lr: 9.674e-05 train loss: 0.017129 train token_acc: 0.9960 train exact_match_acc: 0.8774 (K~32.00, min=32, max=32, dt=6.77s)
itr: 5250 lr: 9.638e-05 train loss: 0.034037 train token_acc: 0.9916 train exact_match_acc: 0.7659 (K~32.00, min=32, max=32, dt=6.77s)
itr: 5500 lr: 9.600e-05 train loss: 0.013605 train token_acc: 0.9969 train exact_match_acc: 0.9028 (K~32.00, min=32, max=32, dt=6.77s)
itr: 5750 lr: 9.561e-05 train loss: 0.013430 train token_acc: 0.9969 train exact_match_acc: 0.9021 (K~32.00, min=32, max=32, dt=6.78s)
itr: 6000 lr: 9.519e-05 train loss: 0.024547 train token_acc: 0.9946 train exact_match_acc: 0.8452 (K~32.00, min=32, max=32, dt=6.77s)
itr: 6250 lr: 9.476e-05 train loss: 0.012793 train token_acc: 0.9972 train exact_match_acc: 0.9106 (K~32.00, min=32, max=32, dt=6.77s)
itr: 6500 lr: 9.432e-05 train loss: 0.013181 train token_acc: 0.9969 train exact_match_acc: 0.9016 (K~32.00, min=32, max=32, dt=6.77s)
itr: 6750 lr: 9.385e-05 train loss: 0.014032 train token_acc: 0.9969 train exact_match_acc: 0.9023 (K~32.00, min=32, max=32, dt=6.77s)
