training:  19%|█▉        | 7748/40000 [03:30<14:33, 36.94it/s]
itr: 0 lr: 2.494e-07 train loss: 5.898808 train token_acc: 0.0033 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.36s)
itr: 250 lr: 6.259e-05 train loss: 5.388679 train token_acc: 0.0120 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.80s)
itr: 500 lr: 1.000e-04 train loss: 3.506694 train token_acc: 0.1498 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.77s)
itr: 750 lr: 9.998e-05 train loss: 1.824935 train token_acc: 0.4893 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.77s)
itr: 1000 lr: 9.994e-05 train loss: 0.847333 train token_acc: 0.7636 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.77s)
itr: 1250 lr: 9.989e-05 train loss: 0.494021 train token_acc: 0.8678 train exact_match_acc: 0.0151 (K~32.00, min=32, max=32, dt=6.77s)
itr: 1500 lr: 9.981e-05 train loss: 0.320637 train token_acc: 0.9212 train exact_match_acc: 0.0818 (K~32.00, min=32, max=32, dt=6.77s)
itr: 1750 lr: 9.972e-05 train loss: 0.230447 train token_acc: 0.9471 train exact_match_acc: 0.1833 (K~32.00, min=32, max=32, dt=6.78s)
itr: 2000 lr: 9.960e-05 train loss: 0.172249 train token_acc: 0.9630 train exact_match_acc: 0.3020 (K~32.00, min=32, max=32, dt=6.77s)
itr: 2250 lr: 9.947e-05 train loss: 0.133857 train token_acc: 0.9728 train exact_match_acc: 0.4131 (K~32.00, min=32, max=32, dt=6.77s)
itr: 2500 lr: 9.931e-05 train loss: 0.104647 train token_acc: 0.9802 train exact_match_acc: 0.5105 (K~32.00, min=32, max=32, dt=6.77s)
itr: 2750 lr: 9.914e-05 train loss: 0.088427 train token_acc: 0.9837 train exact_match_acc: 0.5759 (K~32.00, min=32, max=32, dt=6.77s)
itr: 3000 lr: 9.895e-05 train loss: 0.073767 train token_acc: 0.9867 train exact_match_acc: 0.6411 (K~32.00, min=32, max=32, dt=6.77s)
itr: 3250 lr: 9.874e-05 train loss: 0.065733 train token_acc: 0.9876 train exact_match_acc: 0.6619 (K~32.00, min=32, max=32, dt=6.77s)
itr: 3500 lr: 9.851e-05 train loss: 0.058528 train token_acc: 0.9894 train exact_match_acc: 0.6934 (K~32.00, min=32, max=32, dt=6.77s)
