training:  19%|█▉        | 7749/40000 [02:30<10:24, 51.61it/s]
itr: 0 lr: 2.494e-07 train loss: 5.553479 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 5.535858 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.88s)
itr: 500 lr: 1.000e-04 train loss: 5.402112 train token_acc: 0.0081 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 750 lr: 9.998e-05 train loss: 4.361015 train token_acc: 0.0220 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1000 lr: 9.994e-05 train loss: 3.552122 train token_acc: 0.0516 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1250 lr: 9.989e-05 train loss: 3.463208 train token_acc: 0.0611 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1500 lr: 9.981e-05 train loss: 3.441602 train token_acc: 0.0626 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1750 lr: 9.972e-05 train loss: 3.425324 train token_acc: 0.0638 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2000 lr: 9.960e-05 train loss: 3.413967 train token_acc: 0.0646 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2250 lr: 9.947e-05 train loss: 3.402663 train token_acc: 0.0671 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2500 lr: 9.931e-05 train loss: 3.392713 train token_acc: 0.0686 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2750 lr: 9.914e-05 train loss: 3.373793 train token_acc: 0.0697 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 3000 lr: 9.895e-05 train loss: 3.360883 train token_acc: 0.0695 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 3250 lr: 9.874e-05 train loss: 3.348066 train token_acc: 0.0713 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
