training:  14%|█▍        | 5579/40000 [8:30:24<62:17:30,  6.51s/it]
itr: 0 lr: 2.494e-07 train loss: 5.549316 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.76s)
itr: 250 lr: 6.259e-05 train loss: 5.538127 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1026.12s)
itr: 500 lr: 1.000e-04 train loss: 5.398567 train token_acc: 0.0083 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1027.93s)
itr: 750 lr: 9.998e-05 train loss: 4.503743 train token_acc: 0.0236 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1037.65s)
itr: 1000 lr: 9.994e-05 train loss: 3.552666 train token_acc: 0.0483 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1107.01s)
itr: 1250 lr: 9.989e-05 train loss: 3.469672 train token_acc: 0.0555 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1225.68s)
itr: 1500 lr: 9.981e-05 train loss: 3.440260 train token_acc: 0.0572 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1213.13s)
itr: 1750 lr: 9.972e-05 train loss: 3.415496 train token_acc: 0.0571 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1303.85s)
itr: 2000 lr: 9.960e-05 train loss: 3.404199 train token_acc: 0.0611 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1314.09s)
itr: 2250 lr: 9.947e-05 train loss: 3.385892 train token_acc: 0.0575 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1324.03s)
itr: 2500 lr: 9.931e-05 train loss: 3.370080 train token_acc: 0.0604 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1346.88s)
itr: 2750 lr: 9.914e-05 train loss: 3.364116 train token_acc: 0.0592 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1374.88s)
itr: 3000 lr: 9.895e-05 train loss: 3.345165 train token_acc: 0.0620 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1397.23s)
itr: 3250 lr: 9.874e-05 train loss: 3.332170 train token_acc: 0.0660 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1426.66s)
itr: 3500 lr: 9.851e-05 train loss: 3.326036 train token_acc: 0.0633 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1452.49s)
itr: 3750 lr: 9.826e-05 train loss: 3.309187 train token_acc: 0.0668 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1481.79s)
itr: 4000 lr: 9.799e-05 train loss: 3.304766 train token_acc: 0.0725 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1493.52s)
itr: 4250 lr: 9.771e-05 train loss: 3.284988 train token_acc: 0.0685 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1524.60s)
itr: 4500 lr: 9.740e-05 train loss: 3.275002 train token_acc: 0.0742 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1611.13s)
itr: 4750 lr: 9.708e-05 train loss: 3.269009 train token_acc: 0.0756 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1570.07s)
itr: 5000 lr: 9.674e-05 train loss: 3.256776 train token_acc: 0.0745 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1595.13s)
itr: 5250 lr: 9.638e-05 train loss: 3.243201 train token_acc: 0.0744 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1616.96s)
itr: 5500 lr: 9.600e-05 train loss: 3.241255 train token_acc: 0.0786 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1636.22s)
