training:  19%|█▉        | 7748/40000 [03:28<14:26, 37.22it/s]
itr: 0 lr: 2.494e-07 train loss: 5.556767 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.37s)
itr: 250 lr: 6.259e-05 train loss: 5.437187 train token_acc: 0.0035 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.74s)
itr: 500 lr: 1.000e-04 train loss: 3.454129 train token_acc: 0.0418 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 750 lr: 9.998e-05 train loss: 3.038810 train token_acc: 0.1129 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 1000 lr: 9.994e-05 train loss: 2.832323 train token_acc: 0.1688 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 1250 lr: 9.989e-05 train loss: 2.523223 train token_acc: 0.2635 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 1500 lr: 9.981e-05 train loss: 2.146011 train token_acc: 0.3807 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 1750 lr: 9.972e-05 train loss: 1.791357 train token_acc: 0.4852 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 2000 lr: 9.960e-05 train loss: 1.467732 train token_acc: 0.5804 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 2250 lr: 9.947e-05 train loss: 1.214316 train token_acc: 0.6518 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 2500 lr: 9.931e-05 train loss: 1.001286 train token_acc: 0.7152 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 2750 lr: 9.914e-05 train loss: 0.850255 train token_acc: 0.7581 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 3000 lr: 9.895e-05 train loss: 0.735497 train token_acc: 0.7904 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
