training:  19%|█▉        | 7749/40000 [03:28<14:26, 37.23it/s]
itr: 0 lr: 2.494e-07 train loss: 5.555310 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.35s)
itr: 250 lr: 6.259e-05 train loss: 5.432227 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.74s)
itr: 500 lr: 1.000e-04 train loss: 3.382283 train token_acc: 0.0440 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 750 lr: 9.998e-05 train loss: 3.073354 train token_acc: 0.1075 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 1000 lr: 9.994e-05 train loss: 2.879730 train token_acc: 0.1593 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 1250 lr: 9.989e-05 train loss: 2.541734 train token_acc: 0.2659 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 1500 lr: 9.981e-05 train loss: 2.193875 train token_acc: 0.3705 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 1750 lr: 9.972e-05 train loss: 1.873591 train token_acc: 0.4630 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 2000 lr: 9.960e-05 train loss: 1.557580 train token_acc: 0.5541 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 2250 lr: 9.947e-05 train loss: 1.298875 train token_acc: 0.6348 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 2500 lr: 9.931e-05 train loss: 1.100927 train token_acc: 0.6916 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 2750 lr: 9.914e-05 train loss: 0.952732 train token_acc: 0.7316 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 3000 lr: 9.895e-05 train loss: 0.835060 train token_acc: 0.7678 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 3250 lr: 9.874e-05 train loss: 0.737742 train token_acc: 0.7944 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.72s)
itr: 3500 lr: 9.851e-05 train loss: 0.652074 train token_acc: 0.8180 train exact_match_acc: 0.0010 (K~32.00, min=32, max=32, dt=6.72s)
itr: 3750 lr: 9.826e-05 train loss: 0.574345 train token_acc: 0.8400 train exact_match_acc: 0.0024 (K~32.00, min=32, max=32, dt=6.72s)
itr: 4000 lr: 9.799e-05 train loss: 0.516745 train token_acc: 0.8595 train exact_match_acc: 0.0039 (K~32.00, min=32, max=32, dt=6.72s)
itr: 4250 lr: 9.771e-05 train loss: 0.456630 train token_acc: 0.8769 train exact_match_acc: 0.0117 (K~32.00, min=32, max=32, dt=6.72s)
itr: 4500 lr: 9.740e-05 train loss: 0.405459 train token_acc: 0.8919 train exact_match_acc: 0.0217 (K~32.00, min=32, max=32, dt=6.72s)
itr: 4750 lr: 9.708e-05 train loss: 0.363851 train token_acc: 0.9043 train exact_match_acc: 0.0320 (K~32.00, min=32, max=32, dt=6.72s)
itr: 5000 lr: 9.674e-05 train loss: 0.331621 train token_acc: 0.9149 train exact_match_acc: 0.0535 (K~32.00, min=32, max=32, dt=6.72s)
itr: 5250 lr: 9.638e-05 train loss: 0.281836 train token_acc: 0.9275 train exact_match_acc: 0.0852 (K~32.00, min=32, max=32, dt=6.72s)
itr: 5500 lr: 9.600e-05 train loss: 0.239503 train token_acc: 0.9394 train exact_match_acc: 0.1355 (K~32.00, min=32, max=32, dt=6.72s)
itr: 5750 lr: 9.561e-05 train loss: 0.201578 train token_acc: 0.9491 train exact_match_acc: 0.1943 (K~32.00, min=32, max=32, dt=6.72s)
itr: 6000 lr: 9.519e-05 train loss: 0.171881 train token_acc: 0.9614 train exact_match_acc: 0.2932 (K~32.00, min=32, max=32, dt=6.72s)
itr: 6250 lr: 9.476e-05 train loss: 0.144621 train token_acc: 0.9688 train exact_match_acc: 0.3726 (K~32.00, min=32, max=32, dt=6.72s)
