training:  19%|█▉        | 7749/40000 [02:30<10:24, 51.61it/s]
itr: 0 lr: 2.494e-07 train loss: 5.554130 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 5.522629 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.88s)
itr: 500 lr: 1.000e-04 train loss: 5.331898 train token_acc: 0.0004 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 750 lr: 9.998e-05 train loss: 4.428203 train token_acc: 0.0086 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1000 lr: 9.994e-05 train loss: 3.561093 train token_acc: 0.0142 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1250 lr: 9.989e-05 train loss: 3.414463 train token_acc: 0.0249 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1500 lr: 9.981e-05 train loss: 3.356576 train token_acc: 0.0322 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1750 lr: 9.972e-05 train loss: 3.312074 train token_acc: 0.0387 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2000 lr: 9.960e-05 train loss: 3.269932 train token_acc: 0.0430 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2250 lr: 9.947e-05 train loss: 3.233836 train token_acc: 0.0489 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2500 lr: 9.931e-05 train loss: 3.203577 train token_acc: 0.0501 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2750 lr: 9.914e-05 train loss: 3.171989 train token_acc: 0.0633 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 3000 lr: 9.895e-05 train loss: 3.141062 train token_acc: 0.0638 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 3250 lr: 9.874e-05 train loss: 3.111725 train token_acc: 0.0778 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 3500 lr: 9.851e-05 train loss: 3.088602 train token_acc: 0.0821 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 3750 lr: 9.826e-05 train loss: 3.067003 train token_acc: 0.0888 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 4000 lr: 9.799e-05 train loss: 3.042950 train token_acc: 0.0917 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 4250 lr: 9.771e-05 train loss: 3.024035 train token_acc: 0.0964 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 4500 lr: 9.740e-05 train loss: 3.003831 train token_acc: 0.0982 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 4750 lr: 9.708e-05 train loss: 2.984359 train token_acc: 0.1059 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 5000 lr: 9.674e-05 train loss: 2.969213 train token_acc: 0.1027 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 5250 lr: 9.638e-05 train loss: 2.953565 train token_acc: 0.1155 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 5500 lr: 9.600e-05 train loss: 2.941968 train token_acc: 0.1199 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 5750 lr: 9.561e-05 train loss: 2.926410 train token_acc: 0.1128 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 6000 lr: 9.519e-05 train loss: 2.919434 train token_acc: 0.1275 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 6250 lr: 9.476e-05 train loss: 2.887863 train token_acc: 0.1324 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 6500 lr: 9.432e-05 train loss: 2.872100 train token_acc: 0.1301 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 6750 lr: 9.385e-05 train loss: 2.858980 train token_acc: 0.1326 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 7000 lr: 9.337e-05 train loss: 2.844431 train token_acc: 0.1345 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 7250 lr: 9.287e-05 train loss: 2.844981 train token_acc: 0.1466 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 7500 lr: 9.235e-05 train loss: 2.834859 train token_acc: 0.1477 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 7750 lr: 9.182e-05 train loss: 2.800205 train token_acc: 0.1408 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 8000 lr: 9.127e-05 train loss: 2.780412 train token_acc: 0.1517 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 8250 lr: 9.071e-05 train loss: 2.777996 train token_acc: 0.1563 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 8500 lr: 9.013e-05 train loss: 2.756840 train token_acc: 0.1594 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 8750 lr: 8.953e-05 train loss: 2.755082 train token_acc: 0.1659 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 9000 lr: 8.892e-05 train loss: 2.735759 train token_acc: 0.1549 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 9250 lr: 8.829e-05 train loss: 2.712180 train token_acc: 0.1638 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 9500 lr: 8.765e-05 train loss: 2.704527 train token_acc: 0.1737 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 9750 lr: 8.700e-05 train loss: 2.692259 train token_acc: 0.1641 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 10000 lr: 8.632e-05 train loss: 2.685503 train token_acc: 0.1642 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
