training:  19%|█▉        | 7749/40000 [02:30<10:24, 51.61it/s]
itr: 0 lr: 2.494e-07 train loss: 5.553081 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 5.521266 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.88s)
itr: 500 lr: 1.000e-04 train loss: 5.319116 train token_acc: 0.0003 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 750 lr: 9.998e-05 train loss: 4.467123 train token_acc: 0.0130 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1000 lr: 9.994e-05 train loss: 3.749035 train token_acc: 0.0135 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1250 lr: 9.989e-05 train loss: 3.449111 train token_acc: 0.0246 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1500 lr: 9.981e-05 train loss: 3.345184 train token_acc: 0.0383 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1750 lr: 9.972e-05 train loss: 3.281501 train token_acc: 0.0497 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2000 lr: 9.960e-05 train loss: 3.233458 train token_acc: 0.0602 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2250 lr: 9.947e-05 train loss: 3.196593 train token_acc: 0.0691 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2500 lr: 9.931e-05 train loss: 3.158569 train token_acc: 0.0772 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2750 lr: 9.914e-05 train loss: 3.125626 train token_acc: 0.0863 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 3000 lr: 9.895e-05 train loss: 3.094434 train token_acc: 0.0951 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 3250 lr: 9.874e-05 train loss: 3.055842 train token_acc: 0.1059 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 3500 lr: 9.851e-05 train loss: 3.021142 train token_acc: 0.1157 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 3750 lr: 9.826e-05 train loss: 2.987243 train token_acc: 0.1213 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 4000 lr: 9.799e-05 train loss: 2.963267 train token_acc: 0.1284 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 4250 lr: 9.771e-05 train loss: 2.927796 train token_acc: 0.1390 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 4500 lr: 9.740e-05 train loss: 2.908768 train token_acc: 0.1430 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 4750 lr: 9.708e-05 train loss: 2.887200 train token_acc: 0.1504 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 5000 lr: 9.674e-05 train loss: 2.869195 train token_acc: 0.1529 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 5250 lr: 9.638e-05 train loss: 2.846354 train token_acc: 0.1599 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 5500 lr: 9.600e-05 train loss: 2.845933 train token_acc: 0.1657 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 5750 lr: 9.561e-05 train loss: 2.813183 train token_acc: 0.1667 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 6000 lr: 9.519e-05 train loss: 2.792408 train token_acc: 0.1734 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 6250 lr: 9.476e-05 train loss: 2.771056 train token_acc: 0.1778 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 6500 lr: 9.432e-05 train loss: 2.758565 train token_acc: 0.1795 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 6750 lr: 9.385e-05 train loss: 2.736778 train token_acc: 0.1831 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 7000 lr: 9.337e-05 train loss: 2.719084 train token_acc: 0.1908 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
