training:  19%|█▉        | 7749/40000 [02:30<10:24, 51.62it/s]
itr: 0 lr: 2.494e-07 train loss: 5.553225 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 5.535793 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.87s)
itr: 500 lr: 1.000e-04 train loss: 5.397985 train token_acc: 0.0082 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 750 lr: 9.998e-05 train loss: 4.511441 train token_acc: 0.0235 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1000 lr: 9.994e-05 train loss: 3.549982 train token_acc: 0.0515 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1250 lr: 9.989e-05 train loss: 3.466354 train token_acc: 0.0601 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1500 lr: 9.981e-05 train loss: 3.445009 train token_acc: 0.0602 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1750 lr: 9.972e-05 train loss: 3.419647 train token_acc: 0.0632 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.84s)
itr: 2000 lr: 9.960e-05 train loss: 3.411083 train token_acc: 0.0631 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2250 lr: 9.947e-05 train loss: 3.394192 train token_acc: 0.0642 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2500 lr: 9.931e-05 train loss: 3.376132 train token_acc: 0.0659 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.84s)
itr: 2750 lr: 9.914e-05 train loss: 3.363959 train token_acc: 0.0688 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 3000 lr: 9.895e-05 train loss: 3.346587 train token_acc: 0.0712 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.84s)
itr: 3250 lr: 9.874e-05 train loss: 3.337701 train token_acc: 0.0717 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 3500 lr: 9.851e-05 train loss: 3.327028 train token_acc: 0.0732 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 3750 lr: 9.826e-05 train loss: 3.316928 train token_acc: 0.0749 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 4000 lr: 9.799e-05 train loss: 3.307074 train token_acc: 0.0754 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 4250 lr: 9.771e-05 train loss: 3.294067 train token_acc: 0.0771 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 4500 lr: 9.740e-05 train loss: 3.280986 train token_acc: 0.0794 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.84s)
itr: 4750 lr: 9.708e-05 train loss: 3.263956 train token_acc: 0.0800 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 5000 lr: 9.674e-05 train loss: 3.256919 train token_acc: 0.0806 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 5250 lr: 9.638e-05 train loss: 3.248148 train token_acc: 0.0823 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 5500 lr: 9.600e-05 train loss: 3.231821 train token_acc: 0.0844 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 5750 lr: 9.561e-05 train loss: 3.233300 train token_acc: 0.0838 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 6000 lr: 9.519e-05 train loss: 3.219207 train token_acc: 0.0848 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 6250 lr: 9.476e-05 train loss: 3.202090 train token_acc: 0.0875 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 6500 lr: 9.432e-05 train loss: 3.196821 train token_acc: 0.0872 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 6750 lr: 9.385e-05 train loss: 3.190643 train token_acc: 0.0877 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 7000 lr: 9.337e-05 train loss: 3.190642 train token_acc: 0.0884 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 7250 lr: 9.287e-05 train loss: 3.177212 train token_acc: 0.0884 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 7500 lr: 9.235e-05 train loss: 3.175225 train token_acc: 0.0892 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 7750 lr: 9.182e-05 train loss: 3.169626 train token_acc: 0.0880 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 8000 lr: 9.127e-05 train loss: 3.162257 train token_acc: 0.0909 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 8250 lr: 9.071e-05 train loss: 3.150548 train token_acc: 0.0916 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 8500 lr: 9.013e-05 train loss: 3.147894 train token_acc: 0.0905 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 8750 lr: 8.953e-05 train loss: 3.144305 train token_acc: 0.0925 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
