training:  19%|█▉        | 7749/40000 [02:30<10:25, 51.60it/s]
itr: 0 lr: 2.494e-07 train loss: 5.553075 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 5.535368 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.87s)
itr: 500 lr: 1.000e-04 train loss: 5.389565 train token_acc: 0.0084 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 750 lr: 9.998e-05 train loss: 4.322117 train token_acc: 0.0212 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1000 lr: 9.994e-05 train loss: 3.567844 train token_acc: 0.0506 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1250 lr: 9.989e-05 train loss: 3.475656 train token_acc: 0.0580 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1500 lr: 9.981e-05 train loss: 3.449025 train token_acc: 0.0605 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 1750 lr: 9.972e-05 train loss: 3.436549 train token_acc: 0.0615 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2000 lr: 9.960e-05 train loss: 3.413253 train token_acc: 0.0645 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2250 lr: 9.947e-05 train loss: 3.404899 train token_acc: 0.0653 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2500 lr: 9.931e-05 train loss: 3.390545 train token_acc: 0.0682 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
itr: 2750 lr: 9.914e-05 train loss: 3.380290 train token_acc: 0.0678 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.85s)
