training:  19%|█▉        | 7746/40000 [02:32<10:36, 50.69it/s]
itr: 0 lr: 2.494e-07 train loss: 6.083484 train token_acc: 0.0001 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 5.492562 train token_acc: 0.0083 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.95s)
itr: 500 lr: 1.000e-04 train loss: 3.754971 train token_acc: 0.1448 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.93s)
itr: 750 lr: 9.998e-05 train loss: 1.171862 train token_acc: 0.7423 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.93s)
itr: 1000 lr: 9.994e-05 train loss: 0.250865 train token_acc: 0.9647 train exact_match_acc: 0.2788 (K~32.00, min=32, max=32, dt=4.94s)
itr: 1250 lr: 9.989e-05 train loss: 0.090743 train token_acc: 0.9888 train exact_match_acc: 0.6792 (K~32.00, min=32, max=32, dt=4.93s)
itr: 1500 lr: 9.981e-05 train loss: 0.046521 train token_acc: 0.9946 train exact_match_acc: 0.8342 (K~32.00, min=32, max=32, dt=4.93s)
itr: 1750 lr: 9.972e-05 train loss: 0.029567 train token_acc: 0.9967 train exact_match_acc: 0.8979 (K~32.00, min=32, max=32, dt=4.93s)
itr: 2000 lr: 9.960e-05 train loss: 0.019477 train token_acc: 0.9978 train exact_match_acc: 0.9297 (K~32.00, min=32, max=32, dt=4.93s)
itr: 2250 lr: 9.947e-05 train loss: 0.014469 train token_acc: 0.9984 train exact_match_acc: 0.9490 (K~32.00, min=32, max=32, dt=4.93s)
itr: 2500 lr: 9.931e-05 train loss: 0.011472 train token_acc: 0.9986 train exact_match_acc: 0.9553 (K~32.00, min=32, max=32, dt=4.93s)
itr: 2750 lr: 9.914e-05 train loss: 0.008498 train token_acc: 0.9991 train exact_match_acc: 0.9702 (K~32.00, min=32, max=32, dt=4.93s)
itr: 3000 lr: 9.895e-05 train loss: 0.008334 train token_acc: 0.9991 train exact_match_acc: 0.9700 (K~32.00, min=32, max=32, dt=4.93s)
itr: 3250 lr: 9.874e-05 train loss: 0.006303 train token_acc: 0.9993 train exact_match_acc: 0.9766 (K~32.00, min=32, max=32, dt=4.93s)
itr: 3500 lr: 9.851e-05 train loss: 0.005737 train token_acc: 0.9993 train exact_match_acc: 0.9775 (K~32.00, min=32, max=32, dt=4.93s)
itr: 3750 lr: 9.826e-05 train loss: 0.004820 train token_acc: 0.9994 train exact_match_acc: 0.9807 (K~32.00, min=32, max=32, dt=4.93s)
itr: 4000 lr: 9.799e-05 train loss: 0.005196 train token_acc: 0.9993 train exact_match_acc: 0.9790 (K~32.00, min=32, max=32, dt=4.93s)
itr: 4250 lr: 9.771e-05 train loss: 0.003334 train token_acc: 0.9996 train exact_match_acc: 0.9875 (K~32.00, min=32, max=32, dt=4.93s)
itr: 4500 lr: 9.740e-05 train loss: 0.003628 train token_acc: 0.9995 train exact_match_acc: 0.9844 (K~32.00, min=32, max=32, dt=4.93s)
