training:  19%|█▉        | 7746/40000 [02:32<10:36, 50.69it/s]
itr: 0 lr: 2.494e-07 train loss: 5.612752 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.919236 train token_acc: 0.0002 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.95s)
itr: 500 lr: 1.000e-04 train loss: 3.398244 train token_acc: 0.1405 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.93s)
itr: 750 lr: 9.998e-05 train loss: 2.126077 train token_acc: 0.5680 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.93s)
itr: 1000 lr: 9.994e-05 train loss: 1.045807 train token_acc: 0.7778 train exact_match_acc: 0.0007 (K~32.00, min=32, max=32, dt=4.94s)
itr: 1250 lr: 9.989e-05 train loss: 0.511904 train token_acc: 0.8953 train exact_match_acc: 0.0312 (K~32.00, min=32, max=32, dt=4.93s)
itr: 1500 lr: 9.981e-05 train loss: 0.279511 train token_acc: 0.9561 train exact_match_acc: 0.2209 (K~32.00, min=32, max=32, dt=4.93s)
itr: 1750 lr: 9.972e-05 train loss: 0.178452 train token_acc: 0.9762 train exact_match_acc: 0.4241 (K~32.00, min=32, max=32, dt=4.93s)
itr: 2000 lr: 9.960e-05 train loss: 0.125158 train token_acc: 0.9848 train exact_match_acc: 0.5869 (K~32.00, min=32, max=32, dt=4.93s)
itr: 2250 lr: 9.947e-05 train loss: 0.093423 train token_acc: 0.9892 train exact_match_acc: 0.6882 (K~32.00, min=32, max=32, dt=4.93s)
itr: 2500 lr: 9.931e-05 train loss: 0.076028 train token_acc: 0.9911 train exact_match_acc: 0.7349 (K~32.00, min=32, max=32, dt=4.93s)
itr: 2750 lr: 9.914e-05 train loss: 0.061614 train token_acc: 0.9934 train exact_match_acc: 0.7971 (K~32.00, min=32, max=32, dt=4.93s)
itr: 3000 lr: 9.895e-05 train loss: 0.052515 train token_acc: 0.9943 train exact_match_acc: 0.8257 (K~32.00, min=32, max=32, dt=4.93s)
itr: 3250 lr: 9.874e-05 train loss: 0.045195 train token_acc: 0.9950 train exact_match_acc: 0.8484 (K~32.00, min=32, max=32, dt=4.93s)
itr: 3500 lr: 9.851e-05 train loss: 0.036954 train token_acc: 0.9961 train exact_match_acc: 0.8777 (K~32.00, min=32, max=32, dt=4.93s)
itr: 3750 lr: 9.826e-05 train loss: 0.034764 train token_acc: 0.9962 train exact_match_acc: 0.8828 (K~32.00, min=32, max=32, dt=4.93s)
itr: 4000 lr: 9.799e-05 train loss: 0.030365 train token_acc: 0.9967 train exact_match_acc: 0.8970 (K~32.00, min=32, max=32, dt=4.93s)
itr: 4250 lr: 9.771e-05 train loss: 0.026459 train token_acc: 0.9971 train exact_match_acc: 0.9089 (K~32.00, min=32, max=32, dt=4.93s)
itr: 4500 lr: 9.740e-05 train loss: 0.024802 train token_acc: 0.9974 train exact_match_acc: 0.9165 (K~32.00, min=32, max=32, dt=4.93s)
itr: 4750 lr: 9.708e-05 train loss: 0.022457 train token_acc: 0.9974 train exact_match_acc: 0.9207 (K~32.00, min=32, max=32, dt=4.93s)
itr: 5000 lr: 9.674e-05 train loss: 0.020512 train token_acc: 0.9977 train exact_match_acc: 0.9270 (K~32.00, min=32, max=32, dt=4.93s)
itr: 5250 lr: 9.638e-05 train loss: 0.017923 train token_acc: 0.9980 train exact_match_acc: 0.9353 (K~32.00, min=32, max=32, dt=4.93s)
itr: 5500 lr: 9.600e-05 train loss: 0.018521 train token_acc: 0.9979 train exact_match_acc: 0.9333 (K~32.00, min=32, max=32, dt=4.93s)
itr: 5750 lr: 9.561e-05 train loss: 0.016639 train token_acc: 0.9980 train exact_match_acc: 0.9370 (K~32.00, min=32, max=32, dt=4.93s)
itr: 6000 lr: 9.519e-05 train loss: 0.014320 train token_acc: 0.9981 train exact_match_acc: 0.9404 (K~32.00, min=32, max=32, dt=4.93s)
itr: 6250 lr: 9.476e-05 train loss: 0.011917 train token_acc: 0.9985 train exact_match_acc: 0.9524 (K~32.00, min=32, max=32, dt=4.93s)
itr: 6500 lr: 9.432e-05 train loss: 0.011955 train token_acc: 0.9984 train exact_match_acc: 0.9495 (K~32.00, min=32, max=32, dt=4.93s)
itr: 6750 lr: 9.385e-05 train loss: 0.011532 train token_acc: 0.9984 train exact_match_acc: 0.9502 (K~32.00, min=32, max=32, dt=4.93s)
itr: 7000 lr: 9.337e-05 train loss: 0.010012 train token_acc: 0.9986 train exact_match_acc: 0.9558 (K~32.00, min=32, max=32, dt=4.93s)
itr: 7250 lr: 9.287e-05 train loss: 0.011026 train token_acc: 0.9985 train exact_match_acc: 0.9519 (K~32.00, min=32, max=32, dt=4.93s)
itr: 7500 lr: 9.235e-05 train loss: 0.009895 train token_acc: 0.9987 train exact_match_acc: 0.9573 (K~32.00, min=32, max=32, dt=4.93s)
itr: 7750 lr: 9.182e-05 train loss: 0.009694 train token_acc: 0.9987 train exact_match_acc: 0.9573 (K~32.00, min=32, max=32, dt=4.93s)
itr: 8000 lr: 9.127e-05 train loss: 0.008981 train token_acc: 0.9987 train exact_match_acc: 0.9585 (K~32.00, min=32, max=32, dt=4.93s)
itr: 8250 lr: 9.071e-05 train loss: 0.008194 train token_acc: 0.9987 train exact_match_acc: 0.9600 (K~32.00, min=32, max=32, dt=4.93s)
itr: 8500 lr: 9.013e-05 train loss: 0.007355 train token_acc: 0.9989 train exact_match_acc: 0.9658 (K~32.00, min=32, max=32, dt=4.93s)
itr: 8750 lr: 8.953e-05 train loss: 0.007493 train token_acc: 0.9989 train exact_match_acc: 0.9644 (K~32.00, min=32, max=32, dt=4.93s)
itr: 9000 lr: 8.892e-05 train loss: 0.007781 train token_acc: 0.9989 train exact_match_acc: 0.9653 (K~32.00, min=32, max=32, dt=4.93s)
itr: 9250 lr: 8.829e-05 train loss: 0.007186 train token_acc: 0.9989 train exact_match_acc: 0.9651 (K~32.00, min=32, max=32, dt=4.93s)
itr: 9500 lr: 8.765e-05 train loss: 0.006522 train token_acc: 0.9990 train exact_match_acc: 0.9678 (K~32.00, min=32, max=32, dt=4.93s)
itr: 9750 lr: 8.700e-05 train loss: 0.005672 train token_acc: 0.9992 train exact_match_acc: 0.9734 (K~32.00, min=32, max=32, dt=4.93s)
itr: 10000 lr: 8.632e-05 train loss: 0.006224 train token_acc: 0.9990 train exact_match_acc: 0.9670 (K~32.00, min=32, max=32, dt=4.93s)
itr: 10250 lr: 8.564e-05 train loss: 0.005356 train token_acc: 0.9991 train exact_match_acc: 0.9722 (K~32.00, min=32, max=32, dt=4.93s)
itr: 10500 lr: 8.494e-05 train loss: 0.006678 train token_acc: 0.9990 train exact_match_acc: 0.9668 (K~32.00, min=32, max=32, dt=4.93s)
itr: 10750 lr: 8.423e-05 train loss: 0.004963 train token_acc: 0.9992 train exact_match_acc: 0.9739 (K~32.00, min=32, max=32, dt=4.93s)
itr: 11000 lr: 8.351e-05 train loss: 0.005216 train token_acc: 0.9991 train exact_match_acc: 0.9717 (K~32.00, min=32, max=32, dt=4.93s)
itr: 11250 lr: 8.277e-05 train loss: 0.005920 train token_acc: 0.9991 train exact_match_acc: 0.9700 (K~32.00, min=32, max=32, dt=4.93s)
itr: 11500 lr: 8.202e-05 train loss: 0.004884 train token_acc: 0.9992 train exact_match_acc: 0.9729 (K~32.00, min=32, max=32, dt=4.93s)
itr: 11750 lr: 8.125e-05 train loss: 0.005018 train token_acc: 0.9992 train exact_match_acc: 0.9736 (K~32.00, min=32, max=32, dt=4.93s)
itr: 12000 lr: 8.048e-05 train loss: 0.005201 train token_acc: 0.9992 train exact_match_acc: 0.9749 (K~32.00, min=32, max=32, dt=4.93s)
