training:  19%|█▉        | 7746/40000 [02:33<10:36, 50.71it/s]
itr: 0 lr: 2.494e-07 train loss: 6.074923 train token_acc: 0.0001 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.37s)
itr: 250 lr: 6.259e-05 train loss: 5.492332 train token_acc: 0.0026 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.96s)
itr: 500 lr: 1.000e-04 train loss: 3.689592 train token_acc: 0.1449 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.93s)
itr: 750 lr: 9.998e-05 train loss: 1.134181 train token_acc: 0.7532 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=4.93s)
itr: 1000 lr: 9.994e-05 train loss: 0.240236 train token_acc: 0.9674 train exact_match_acc: 0.3110 (K~32.00, min=32, max=32, dt=4.93s)
itr: 1250 lr: 9.989e-05 train loss: 0.087457 train token_acc: 0.9898 train exact_match_acc: 0.7041 (K~32.00, min=32, max=32, dt=4.93s)
itr: 1500 lr: 9.981e-05 train loss: 0.043534 train token_acc: 0.9951 train exact_match_acc: 0.8516 (K~32.00, min=32, max=32, dt=4.93s)
itr: 1750 lr: 9.972e-05 train loss: 0.028058 train token_acc: 0.9968 train exact_match_acc: 0.9001 (K~32.00, min=32, max=32, dt=4.93s)
itr: 2000 lr: 9.960e-05 train loss: 0.019142 train token_acc: 0.9977 train exact_match_acc: 0.9263 (K~32.00, min=32, max=32, dt=4.93s)
itr: 2250 lr: 9.947e-05 train loss: 0.013831 train token_acc: 0.9984 train exact_match_acc: 0.9475 (K~32.00, min=32, max=32, dt=4.93s)
itr: 2500 lr: 9.931e-05 train loss: 0.009802 train token_acc: 0.9988 train exact_match_acc: 0.9634 (K~32.00, min=32, max=32, dt=4.93s)
itr: 2750 lr: 9.914e-05 train loss: 0.009354 train token_acc: 0.9987 train exact_match_acc: 0.9592 (K~32.00, min=32, max=32, dt=4.93s)
itr: 3000 lr: 9.895e-05 train loss: 0.007760 train token_acc: 0.9990 train exact_match_acc: 0.9668 (K~32.00, min=32, max=32, dt=4.93s)
itr: 3250 lr: 9.874e-05 train loss: 0.007540 train token_acc: 0.9989 train exact_match_acc: 0.9663 (K~32.00, min=32, max=32, dt=4.93s)
itr: 3500 lr: 9.851e-05 train loss: 0.005908 train token_acc: 0.9991 train exact_match_acc: 0.9727 (K~32.00, min=32, max=32, dt=4.93s)
itr: 3750 lr: 9.826e-05 train loss: 0.005205 train token_acc: 0.9992 train exact_match_acc: 0.9758 (K~32.00, min=32, max=32, dt=4.93s)
itr: 4000 lr: 9.799e-05 train loss: 0.004915 train token_acc: 0.9993 train exact_match_acc: 0.9761 (K~32.00, min=32, max=32, dt=4.93s)
itr: 4250 lr: 9.771e-05 train loss: 0.004129 train token_acc: 0.9994 train exact_match_acc: 0.9807 (K~32.00, min=32, max=32, dt=4.93s)
itr: 4500 lr: 9.740e-05 train loss: 0.003788 train token_acc: 0.9994 train exact_match_acc: 0.9819 (K~32.00, min=32, max=32, dt=4.93s)
itr: 4750 lr: 9.708e-05 train loss: 0.003548 train token_acc: 0.9995 train exact_match_acc: 0.9834 (K~32.00, min=32, max=32, dt=4.93s)
itr: 5000 lr: 9.674e-05 train loss: 0.002443 train token_acc: 0.9996 train exact_match_acc: 0.9875 (K~32.00, min=32, max=32, dt=4.93s)
itr: 5250 lr: 9.638e-05 train loss: 0.003099 train token_acc: 0.9995 train exact_match_acc: 0.9832 (K~32.00, min=32, max=32, dt=4.93s)
itr: 5500 lr: 9.600e-05 train loss: 0.002943 train token_acc: 0.9995 train exact_match_acc: 0.9839 (K~32.00, min=32, max=32, dt=4.93s)
itr: 5750 lr: 9.561e-05 train loss: 0.003064 train token_acc: 0.9995 train exact_match_acc: 0.9824 (K~32.00, min=32, max=32, dt=4.93s)
itr: 6000 lr: 9.519e-05 train loss: 0.002220 train token_acc: 0.9996 train exact_match_acc: 0.9880 (K~32.00, min=32, max=32, dt=4.93s)
itr: 6250 lr: 9.476e-05 train loss: 0.002171 train token_acc: 0.9997 train exact_match_acc: 0.9893 (K~32.00, min=32, max=32, dt=4.93s)
itr: 6500 lr: 9.432e-05 train loss: 0.002197 train token_acc: 0.9996 train exact_match_acc: 0.9875 (K~32.00, min=32, max=32, dt=4.93s)
itr: 6750 lr: 9.385e-05 train loss: 0.002231 train token_acc: 0.9996 train exact_match_acc: 0.9885 (K~32.00, min=32, max=32, dt=4.93s)
itr: 7000 lr: 9.337e-05 train loss: 0.002007 train token_acc: 0.9997 train exact_match_acc: 0.9907 (K~32.00, min=32, max=32, dt=4.93s)
itr: 7250 lr: 9.287e-05 train loss: 0.002146 train token_acc: 0.9997 train exact_match_acc: 0.9890 (K~32.00, min=32, max=32, dt=4.93s)
itr: 7500 lr: 9.235e-05 train loss: 0.001813 train token_acc: 0.9997 train exact_match_acc: 0.9897 (K~32.00, min=32, max=32, dt=4.93s)
itr: 7750 lr: 9.182e-05 train loss: 0.002005 train token_acc: 0.9996 train exact_match_acc: 0.9883 (K~32.00, min=32, max=32, dt=4.93s)
itr: 8000 lr: 9.127e-05 train loss: 0.001792 train token_acc: 0.9997 train exact_match_acc: 0.9893 (K~32.00, min=32, max=32, dt=4.93s)
itr: 8250 lr: 9.071e-05 train loss: 0.001814 train token_acc: 0.9996 train exact_match_acc: 0.9888 (K~32.00, min=32, max=32, dt=4.93s)
itr: 8500 lr: 9.013e-05 train loss: 0.001484 train token_acc: 0.9997 train exact_match_acc: 0.9915 (K~32.00, min=32, max=32, dt=4.93s)
itr: 8750 lr: 8.953e-05 train loss: 0.001752 train token_acc: 0.9997 train exact_match_acc: 0.9900 (K~32.00, min=32, max=32, dt=4.93s)
itr: 9000 lr: 8.892e-05 train loss: 0.001365 train token_acc: 0.9997 train exact_match_acc: 0.9907 (K~32.00, min=32, max=32, dt=4.93s)
itr: 9250 lr: 8.829e-05 train loss: 0.001407 train token_acc: 0.9997 train exact_match_acc: 0.9919 (K~32.00, min=32, max=32, dt=4.93s)
itr: 9500 lr: 8.765e-05 train loss: 0.001546 train token_acc: 0.9997 train exact_match_acc: 0.9895 (K~32.00, min=32, max=32, dt=4.93s)
itr: 9750 lr: 8.700e-05 train loss: 0.001425 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=4.93s)
itr: 10000 lr: 8.632e-05 train loss: 0.001261 train token_acc: 0.9997 train exact_match_acc: 0.9919 (K~32.00, min=32, max=32, dt=4.93s)
itr: 10250 lr: 8.564e-05 train loss: 0.001089 train token_acc: 0.9998 train exact_match_acc: 0.9934 (K~32.00, min=32, max=32, dt=4.93s)
itr: 10500 lr: 8.494e-05 train loss: 0.001280 train token_acc: 0.9998 train exact_match_acc: 0.9924 (K~32.00, min=32, max=32, dt=4.93s)
itr: 10750 lr: 8.423e-05 train loss: 0.001167 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=4.93s)
itr: 11000 lr: 8.351e-05 train loss: 0.000885 train token_acc: 0.9998 train exact_match_acc: 0.9946 (K~32.00, min=32, max=32, dt=4.93s)
itr: 11250 lr: 8.277e-05 train loss: 0.001323 train token_acc: 0.9998 train exact_match_acc: 0.9937 (K~32.00, min=32, max=32, dt=4.93s)
itr: 11500 lr: 8.202e-05 train loss: 0.000947 train token_acc: 0.9998 train exact_match_acc: 0.9934 (K~32.00, min=32, max=32, dt=4.93s)
itr: 11750 lr: 8.125e-05 train loss: 0.001349 train token_acc: 0.9997 train exact_match_acc: 0.9915 (K~32.00, min=32, max=32, dt=4.93s)
itr: 12000 lr: 8.048e-05 train loss: 0.000913 train token_acc: 0.9998 train exact_match_acc: 0.9944 (K~32.00, min=32, max=32, dt=4.93s)
itr: 12250 lr: 7.969e-05 train loss: 0.000900 train token_acc: 0.9998 train exact_match_acc: 0.9944 (K~32.00, min=32, max=32, dt=4.93s)
itr: 12500 lr: 7.889e-05 train loss: 0.000891 train token_acc: 0.9998 train exact_match_acc: 0.9944 (K~32.00, min=32, max=32, dt=4.93s)
itr: 12750 lr: 7.808e-05 train loss: 0.000621 train token_acc: 0.9999 train exact_match_acc: 0.9961 (K~32.00, min=32, max=32, dt=4.93s)
itr: 13000 lr: 7.726e-05 train loss: 0.001013 train token_acc: 0.9998 train exact_match_acc: 0.9941 (K~32.00, min=32, max=32, dt=4.93s)
itr: 13250 lr: 7.643e-05 train loss: 0.000628 train token_acc: 0.9999 train exact_match_acc: 0.9963 (K~32.00, min=32, max=32, dt=4.93s)
itr: 13500 lr: 7.559e-05 train loss: 0.000934 train token_acc: 0.9998 train exact_match_acc: 0.9941 (K~32.00, min=32, max=32, dt=4.93s)
itr: 13750 lr: 7.474e-05 train loss: 0.000651 train token_acc: 0.9999 train exact_match_acc: 0.9958 (K~32.00, min=32, max=32, dt=4.93s)
itr: 14000 lr: 7.388e-05 train loss: 0.001102 train token_acc: 0.9998 train exact_match_acc: 0.9937 (K~32.00, min=32, max=32, dt=4.93s)
itr: 14250 lr: 7.301e-05 train loss: 0.000827 train token_acc: 0.9999 train exact_match_acc: 0.9954 (K~32.00, min=32, max=32, dt=4.93s)
itr: 14500 lr: 7.213e-05 train loss: 0.000688 train token_acc: 0.9999 train exact_match_acc: 0.9954 (K~32.00, min=32, max=32, dt=4.93s)
itr: 14750 lr: 7.124e-05 train loss: 0.000905 train token_acc: 0.9999 train exact_match_acc: 0.9956 (K~32.00, min=32, max=32, dt=4.93s)
itr: 15000 lr: 7.035e-05 train loss: 0.000554 train token_acc: 0.9999 train exact_match_acc: 0.9956 (K~32.00, min=32, max=32, dt=4.93s)
itr: 15250 lr: 6.944e-05 train loss: 0.000809 train token_acc: 0.9998 train exact_match_acc: 0.9941 (K~32.00, min=32, max=32, dt=4.93s)
itr: 15500 lr: 6.853e-05 train loss: 0.000743 train token_acc: 0.9999 train exact_match_acc: 0.9963 (K~32.00, min=32, max=32, dt=4.93s)
itr: 15750 lr: 6.761e-05 train loss: 0.000995 train token_acc: 0.9998 train exact_match_acc: 0.9944 (K~32.00, min=32, max=32, dt=4.93s)
itr: 16000 lr: 6.669e-05 train loss: 0.000738 train token_acc: 0.9999 train exact_match_acc: 0.9961 (K~32.00, min=32, max=32, dt=4.93s)
itr: 16250 lr: 6.576e-05 train loss: 0.000995 train token_acc: 0.9998 train exact_match_acc: 0.9939 (K~32.00, min=32, max=32, dt=4.93s)
itr: 16500 lr: 6.482e-05 train loss: 0.000636 train token_acc: 0.9999 train exact_match_acc: 0.9961 (K~32.00, min=32, max=32, dt=4.93s)
itr: 16750 lr: 6.388e-05 train loss: 0.000653 train token_acc: 0.9999 train exact_match_acc: 0.9954 (K~32.00, min=32, max=32, dt=4.93s)
itr: 17000 lr: 6.293e-05 train loss: 0.000768 train token_acc: 0.9999 train exact_match_acc: 0.9966 (K~32.00, min=32, max=32, dt=4.93s)
itr: 17250 lr: 6.198e-05 train loss: 0.000455 train token_acc: 0.9999 train exact_match_acc: 0.9968 (K~32.00, min=32, max=32, dt=4.93s)
itr: 17500 lr: 6.102e-05 train loss: 0.000378 train token_acc: 0.9999 train exact_match_acc: 0.9978 (K~32.00, min=32, max=32, dt=4.93s)
itr: 17750 lr: 6.006e-05 train loss: 0.000619 train token_acc: 0.9999 train exact_match_acc: 0.9968 (K~32.00, min=32, max=32, dt=4.93s)
itr: 18000 lr: 5.910e-05 train loss: 0.000817 train token_acc: 0.9998 train exact_match_acc: 0.9951 (K~32.00, min=32, max=32, dt=4.93s)
itr: 18250 lr: 5.813e-05 train loss: 0.000498 train token_acc: 0.9999 train exact_match_acc: 0.9966 (K~32.00, min=32, max=32, dt=4.93s)
itr: 18500 lr: 5.716e-05 train loss: 0.000739 train token_acc: 0.9998 train exact_match_acc: 0.9951 (K~32.00, min=32, max=32, dt=4.93s)
