training:  19%|█▉        | 7746/40000 [02:33<10:36, 50.68it/s]
itr: 0 lr: 2.494e-07 train loss: 6.051571 train token_acc: 0.0001 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.34s)
itr: 250 lr: 6.259e-05 train loss: 5.481955 train token_acc: 0.0032 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.97s)
itr: 500 lr: 1.000e-04 train loss: 3.525651 train token_acc: 0.2023 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.94s)
itr: 750 lr: 9.998e-05 train loss: 0.973837 train token_acc: 0.7904 train exact_match_acc: 0.0012 (K~32.00, min=32, max=32, dt=4.94s)
itr: 1000 lr: 9.994e-05 train loss: 0.208631 train token_acc: 0.9728 train exact_match_acc: 0.3752 (K~32.00, min=32, max=32, dt=4.94s)
itr: 1250 lr: 9.989e-05 train loss: 0.080632 train token_acc: 0.9908 train exact_match_acc: 0.7283 (K~32.00, min=32, max=32, dt=4.94s)
itr: 1500 lr: 9.981e-05 train loss: 0.042873 train token_acc: 0.9952 train exact_match_acc: 0.8511 (K~32.00, min=32, max=32, dt=4.94s)
itr: 1750 lr: 9.972e-05 train loss: 0.025792 train token_acc: 0.9971 train exact_match_acc: 0.9111 (K~32.00, min=32, max=32, dt=4.94s)
itr: 2000 lr: 9.960e-05 train loss: 0.019223 train token_acc: 0.9977 train exact_match_acc: 0.9272 (K~32.00, min=32, max=32, dt=4.94s)
itr: 2250 lr: 9.947e-05 train loss: 0.013726 train token_acc: 0.9984 train exact_match_acc: 0.9480 (K~32.00, min=32, max=32, dt=4.94s)
itr: 2500 lr: 9.931e-05 train loss: 0.010845 train token_acc: 0.9987 train exact_match_acc: 0.9585 (K~32.00, min=32, max=32, dt=4.94s)
itr: 2750 lr: 9.914e-05 train loss: 0.009729 train token_acc: 0.9987 train exact_match_acc: 0.9592 (K~32.00, min=32, max=32, dt=4.94s)
itr: 3000 lr: 9.895e-05 train loss: 0.007083 train token_acc: 0.9991 train exact_match_acc: 0.9719 (K~32.00, min=32, max=32, dt=4.94s)
itr: 3250 lr: 9.874e-05 train loss: 0.006564 train token_acc: 0.9991 train exact_match_acc: 0.9697 (K~32.00, min=32, max=32, dt=4.94s)
itr: 3500 lr: 9.851e-05 train loss: 0.005777 train token_acc: 0.9992 train exact_match_acc: 0.9731 (K~32.00, min=32, max=32, dt=4.94s)
itr: 3750 lr: 9.826e-05 train loss: 0.005400 train token_acc: 0.9992 train exact_match_acc: 0.9753 (K~32.00, min=32, max=32, dt=4.94s)
itr: 4000 lr: 9.799e-05 train loss: 0.004282 train token_acc: 0.9995 train exact_match_acc: 0.9834 (K~32.00, min=32, max=32, dt=4.94s)
itr: 4250 lr: 9.771e-05 train loss: 0.003776 train token_acc: 0.9995 train exact_match_acc: 0.9824 (K~32.00, min=32, max=32, dt=4.94s)
itr: 4500 lr: 9.740e-05 train loss: 0.003461 train token_acc: 0.9995 train exact_match_acc: 0.9832 (K~32.00, min=32, max=32, dt=4.94s)
itr: 4750 lr: 9.708e-05 train loss: 0.003205 train token_acc: 0.9995 train exact_match_acc: 0.9839 (K~32.00, min=32, max=32, dt=4.94s)
itr: 5000 lr: 9.674e-05 train loss: 0.003215 train token_acc: 0.9995 train exact_match_acc: 0.9827 (K~32.00, min=32, max=32, dt=4.94s)
itr: 5250 lr: 9.638e-05 train loss: 0.002756 train token_acc: 0.9996 train exact_match_acc: 0.9858 (K~32.00, min=32, max=32, dt=4.94s)
itr: 5500 lr: 9.600e-05 train loss: 0.002451 train token_acc: 0.9996 train exact_match_acc: 0.9873 (K~32.00, min=32, max=32, dt=4.93s)
