training:  19%|█▉        | 7745/40000 [01:55<07:50, 68.57it/s]
itr: 0 lr: 2.494e-07 train loss: 5.552763 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.14s)
itr: 250 lr: 6.259e-05 train loss: 5.535300 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.72s)
itr: 500 lr: 1.000e-04 train loss: 5.419035 train token_acc: 0.0017 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 750 lr: 9.998e-05 train loss: 4.773389 train token_acc: 0.0255 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 1000 lr: 9.994e-05 train loss: 3.852379 train token_acc: 0.0340 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 1250 lr: 9.989e-05 train loss: 3.589678 train token_acc: 0.0482 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 1500 lr: 9.981e-05 train loss: 3.477827 train token_acc: 0.0589 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 1750 lr: 9.972e-05 train loss: 3.423157 train token_acc: 0.0633 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 2000 lr: 9.960e-05 train loss: 3.399024 train token_acc: 0.0671 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 2250 lr: 9.947e-05 train loss: 3.377162 train token_acc: 0.0701 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 2500 lr: 9.931e-05 train loss: 3.357457 train token_acc: 0.0721 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 2750 lr: 9.914e-05 train loss: 3.340113 train token_acc: 0.0730 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 3000 lr: 9.895e-05 train loss: 3.322819 train token_acc: 0.0752 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 3250 lr: 9.874e-05 train loss: 3.312224 train token_acc: 0.0779 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 3500 lr: 9.851e-05 train loss: 3.301833 train token_acc: 0.0783 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 3750 lr: 9.826e-05 train loss: 3.291420 train token_acc: 0.0800 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 4000 lr: 9.799e-05 train loss: 3.275369 train token_acc: 0.0808 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 4250 lr: 9.771e-05 train loss: 3.261743 train token_acc: 0.0829 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 4500 lr: 9.740e-05 train loss: 3.252883 train token_acc: 0.0847 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 4750 lr: 9.708e-05 train loss: 3.246947 train token_acc: 0.0849 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 5000 lr: 9.674e-05 train loss: 3.238521 train token_acc: 0.0872 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 5250 lr: 9.638e-05 train loss: 3.234143 train token_acc: 0.0892 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 5500 lr: 9.600e-05 train loss: 3.224933 train token_acc: 0.0897 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 5750 lr: 9.561e-05 train loss: 3.219556 train token_acc: 0.0880 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 6000 lr: 9.519e-05 train loss: 3.217995 train token_acc: 0.0890 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 6250 lr: 9.476e-05 train loss: 3.209071 train token_acc: 0.0896 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 6500 lr: 9.432e-05 train loss: 3.204782 train token_acc: 0.0890 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 6750 lr: 9.385e-05 train loss: 3.204394 train token_acc: 0.0893 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 7000 lr: 9.337e-05 train loss: 3.204282 train token_acc: 0.0906 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 7250 lr: 9.287e-05 train loss: 3.192942 train token_acc: 0.0920 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 7500 lr: 9.235e-05 train loss: 3.192548 train token_acc: 0.0935 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 7750 lr: 9.182e-05 train loss: 3.187260 train token_acc: 0.0940 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 8000 lr: 9.127e-05 train loss: 3.183026 train token_acc: 0.0967 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 8250 lr: 9.071e-05 train loss: 3.179616 train token_acc: 0.0979 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 8500 lr: 9.013e-05 train loss: 3.172499 train token_acc: 0.0995 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 8750 lr: 8.953e-05 train loss: 3.169755 train token_acc: 0.1011 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 9000 lr: 8.892e-05 train loss: 3.168068 train token_acc: 0.1019 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 9250 lr: 8.829e-05 train loss: 3.162615 train token_acc: 0.1034 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 9500 lr: 8.765e-05 train loss: 3.159261 train token_acc: 0.1030 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 9750 lr: 8.700e-05 train loss: 3.155334 train token_acc: 0.1054 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 10000 lr: 8.632e-05 train loss: 3.155118 train token_acc: 0.1063 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 10250 lr: 8.564e-05 train loss: 3.145168 train token_acc: 0.1083 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 10500 lr: 8.494e-05 train loss: 3.141360 train token_acc: 0.1101 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
