training:  19%|█▉        | 7749/40000 [01:53<07:50, 68.53it/s]
itr: 0 lr: 2.494e-07 train loss: 5.555255 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 5.527965 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.68s)
itr: 500 lr: 1.000e-04 train loss: 5.362430 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 750 lr: 9.998e-05 train loss: 4.637259 train token_acc: 0.0045 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 1000 lr: 9.994e-05 train loss: 3.896398 train token_acc: 0.0028 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 1250 lr: 9.989e-05 train loss: 3.554571 train token_acc: 0.0119 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 1500 lr: 9.981e-05 train loss: 3.452773 train token_acc: 0.0173 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 1750 lr: 9.972e-05 train loss: 3.404566 train token_acc: 0.0222 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 2000 lr: 9.960e-05 train loss: 3.368693 train token_acc: 0.0292 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 2250 lr: 9.947e-05 train loss: 3.335570 train token_acc: 0.0358 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 2500 lr: 9.931e-05 train loss: 3.303567 train token_acc: 0.0420 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 2750 lr: 9.914e-05 train loss: 3.262031 train token_acc: 0.0500 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 3000 lr: 9.895e-05 train loss: 3.211559 train token_acc: 0.0639 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 3250 lr: 9.874e-05 train loss: 3.156157 train token_acc: 0.0892 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 3500 lr: 9.851e-05 train loss: 3.090460 train token_acc: 0.1102 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 3750 lr: 9.826e-05 train loss: 3.023246 train token_acc: 0.1293 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 4000 lr: 9.799e-05 train loss: 2.940881 train token_acc: 0.1539 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 4250 lr: 9.771e-05 train loss: 2.856407 train token_acc: 0.1817 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 4500 lr: 9.740e-05 train loss: 2.776401 train token_acc: 0.2054 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 4750 lr: 9.708e-05 train loss: 2.707630 train token_acc: 0.2242 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 5000 lr: 9.674e-05 train loss: 2.640289 train token_acc: 0.2458 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 5250 lr: 9.638e-05 train loss: 2.596153 train token_acc: 0.2592 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 5500 lr: 9.600e-05 train loss: 2.549412 train token_acc: 0.2730 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 5750 lr: 9.561e-05 train loss: 2.502155 train token_acc: 0.2878 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 6000 lr: 9.519e-05 train loss: 2.449068 train token_acc: 0.3034 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 6250 lr: 9.476e-05 train loss: 2.393436 train token_acc: 0.3195 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 6500 lr: 9.432e-05 train loss: 2.350102 train token_acc: 0.3350 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 6750 lr: 9.385e-05 train loss: 2.304433 train token_acc: 0.3493 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 7000 lr: 9.337e-05 train loss: 2.255846 train token_acc: 0.3642 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 7250 lr: 9.287e-05 train loss: 2.209628 train token_acc: 0.3796 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 7500 lr: 9.235e-05 train loss: 2.167568 train token_acc: 0.3904 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 7750 lr: 9.182e-05 train loss: 2.101219 train token_acc: 0.4088 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 8000 lr: 9.127e-05 train loss: 2.030738 train token_acc: 0.4332 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 8250 lr: 9.071e-05 train loss: 1.941054 train token_acc: 0.4580 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 8500 lr: 9.013e-05 train loss: 1.854669 train token_acc: 0.4815 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 8750 lr: 8.953e-05 train loss: 1.780059 train token_acc: 0.5027 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 9000 lr: 8.892e-05 train loss: 1.688574 train token_acc: 0.5267 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 9250 lr: 8.829e-05 train loss: 1.611529 train token_acc: 0.5471 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 9500 lr: 8.765e-05 train loss: 1.536689 train token_acc: 0.5690 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 9750 lr: 8.700e-05 train loss: 1.461523 train token_acc: 0.5921 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 10000 lr: 8.632e-05 train loss: 1.379822 train token_acc: 0.6154 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 10250 lr: 8.564e-05 train loss: 1.296344 train token_acc: 0.6409 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 10500 lr: 8.494e-05 train loss: 1.219096 train token_acc: 0.6637 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 10750 lr: 8.423e-05 train loss: 1.140391 train token_acc: 0.6854 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 11000 lr: 8.351e-05 train loss: 1.082776 train token_acc: 0.7020 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 11250 lr: 8.277e-05 train loss: 1.022054 train token_acc: 0.7167 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 11500 lr: 8.202e-05 train loss: 0.958702 train token_acc: 0.7355 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 11750 lr: 8.125e-05 train loss: 0.903568 train token_acc: 0.7508 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 12000 lr: 8.048e-05 train loss: 0.854238 train token_acc: 0.7671 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 12250 lr: 7.969e-05 train loss: 0.802136 train token_acc: 0.7801 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 12500 lr: 7.889e-05 train loss: 0.755952 train token_acc: 0.7943 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 12750 lr: 7.808e-05 train loss: 0.717925 train token_acc: 0.8056 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 13000 lr: 7.726e-05 train loss: 0.677898 train token_acc: 0.8170 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 13250 lr: 7.643e-05 train loss: 0.634891 train token_acc: 0.8266 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 13500 lr: 7.559e-05 train loss: 0.603620 train token_acc: 0.8374 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 13750 lr: 7.474e-05 train loss: 0.573962 train token_acc: 0.8457 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 14000 lr: 7.388e-05 train loss: 0.551694 train token_acc: 0.8532 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 14250 lr: 7.301e-05 train loss: 0.523369 train token_acc: 0.8581 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 14500 lr: 7.213e-05 train loss: 0.499963 train token_acc: 0.8665 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 14750 lr: 7.124e-05 train loss: 0.481062 train token_acc: 0.8726 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 15000 lr: 7.035e-05 train loss: 0.460241 train token_acc: 0.8781 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 15250 lr: 6.944e-05 train loss: 0.444607 train token_acc: 0.8825 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 15500 lr: 6.853e-05 train loss: 0.425963 train token_acc: 0.8875 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 15750 lr: 6.761e-05 train loss: 0.414565 train token_acc: 0.8917 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 16000 lr: 6.669e-05 train loss: 0.401334 train token_acc: 0.8962 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 16250 lr: 6.576e-05 train loss: 0.393729 train token_acc: 0.8985 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 16500 lr: 6.482e-05 train loss: 0.380350 train token_acc: 0.9013 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 16750 lr: 6.388e-05 train loss: 0.370479 train token_acc: 0.9049 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 17000 lr: 6.293e-05 train loss: 0.359719 train token_acc: 0.9077 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 17250 lr: 6.198e-05 train loss: 0.350152 train token_acc: 0.9097 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 17500 lr: 6.102e-05 train loss: 0.346041 train token_acc: 0.9113 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 17750 lr: 6.006e-05 train loss: 0.338706 train token_acc: 0.9126 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 18000 lr: 5.910e-05 train loss: 0.331859 train token_acc: 0.9149 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=3.65s)
itr: 18250 lr: 5.813e-05 train loss: 0.321857 train token_acc: 0.9167 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 18500 lr: 5.716e-05 train loss: 0.322036 train token_acc: 0.9177 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=3.65s)
itr: 18750 lr: 5.618e-05 train loss: 0.311429 train token_acc: 0.9199 train exact_match_acc: 0.0005 (K~32.00, min=32, max=32, dt=3.65s)
itr: 19000 lr: 5.521e-05 train loss: 0.308380 train token_acc: 0.9202 train exact_match_acc: 0.0007 (K~32.00, min=32, max=32, dt=3.65s)
