training:  19%|█▉        | 7749/40000 [01:53<07:50, 68.56it/s]
itr: 0 lr: 2.494e-07 train loss: 5.552973 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 5.534831 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.69s)
itr: 500 lr: 1.000e-04 train loss: 5.410171 train token_acc: 0.0019 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 750 lr: 9.998e-05 train loss: 4.715030 train token_acc: 0.0181 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 1000 lr: 9.994e-05 train loss: 3.964398 train token_acc: 0.0297 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 1250 lr: 9.989e-05 train loss: 3.613406 train token_acc: 0.0466 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 1500 lr: 9.981e-05 train loss: 3.483347 train token_acc: 0.0571 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 1750 lr: 9.972e-05 train loss: 3.422580 train token_acc: 0.0644 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 2000 lr: 9.960e-05 train loss: 3.384793 train token_acc: 0.0701 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 2250 lr: 9.947e-05 train loss: 3.363122 train token_acc: 0.0720 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 2500 lr: 9.931e-05 train loss: 3.341359 train token_acc: 0.0734 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 2750 lr: 9.914e-05 train loss: 3.326939 train token_acc: 0.0761 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 3000 lr: 9.895e-05 train loss: 3.310680 train token_acc: 0.0776 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 3250 lr: 9.874e-05 train loss: 3.297013 train token_acc: 0.0797 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 3500 lr: 9.851e-05 train loss: 3.286263 train token_acc: 0.0801 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 3750 lr: 9.826e-05 train loss: 3.272706 train token_acc: 0.0824 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 4000 lr: 9.799e-05 train loss: 3.268063 train token_acc: 0.0843 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 4250 lr: 9.771e-05 train loss: 3.256287 train token_acc: 0.0846 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 4500 lr: 9.740e-05 train loss: 3.249444 train token_acc: 0.0861 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 4750 lr: 9.708e-05 train loss: 3.241610 train token_acc: 0.0865 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 5000 lr: 9.674e-05 train loss: 3.233457 train token_acc: 0.0860 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 5250 lr: 9.638e-05 train loss: 3.226621 train token_acc: 0.0882 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 5500 lr: 9.600e-05 train loss: 3.220202 train token_acc: 0.0882 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
