training:  19%|█▉        | 7746/40000 [02:22<09:52, 54.46it/s]
itr: 0 lr: 2.494e-07 train loss: 5.553715 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.31s)
itr: 250 lr: 6.259e-05 train loss: 5.491515 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.62s)
itr: 500 lr: 1.000e-04 train loss: 4.637045 train token_acc: 0.0140 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.59s)
itr: 750 lr: 9.998e-05 train loss: 3.376596 train token_acc: 0.0379 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.59s)
itr: 1000 lr: 9.994e-05 train loss: 3.087934 train token_acc: 0.0992 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.59s)
itr: 1250 lr: 9.989e-05 train loss: 2.931879 train token_acc: 0.1303 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.59s)
itr: 1500 lr: 9.981e-05 train loss: 2.736168 train token_acc: 0.1829 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.59s)
itr: 1750 lr: 9.972e-05 train loss: 2.478479 train token_acc: 0.2513 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.59s)
itr: 2000 lr: 9.960e-05 train loss: 2.093826 train token_acc: 0.3624 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.59s)
itr: 2250 lr: 9.947e-05 train loss: 1.543454 train token_acc: 0.5353 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.59s)
itr: 2500 lr: 9.931e-05 train loss: 1.003753 train token_acc: 0.7051 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.59s)
itr: 2750 lr: 9.914e-05 train loss: 0.633024 train token_acc: 0.8238 train exact_match_acc: 0.0027 (K~32.00, min=32, max=32, dt=4.59s)
itr: 3000 lr: 9.895e-05 train loss: 0.419478 train token_acc: 0.8909 train exact_match_acc: 0.0369 (K~32.00, min=32, max=32, dt=4.59s)
itr: 3250 lr: 9.874e-05 train loss: 0.296787 train token_acc: 0.9279 train exact_match_acc: 0.1111 (K~32.00, min=32, max=32, dt=4.59s)
itr: 3500 lr: 9.851e-05 train loss: 0.216758 train token_acc: 0.9492 train exact_match_acc: 0.2092 (K~32.00, min=32, max=32, dt=4.59s)
itr: 3750 lr: 9.826e-05 train loss: 0.168075 train token_acc: 0.9639 train exact_match_acc: 0.3396 (K~32.00, min=32, max=32, dt=4.59s)
itr: 4000 lr: 9.799e-05 train loss: 0.123064 train token_acc: 0.9749 train exact_match_acc: 0.4548 (K~32.00, min=32, max=32, dt=4.59s)
itr: 4250 lr: 9.771e-05 train loss: 0.095200 train token_acc: 0.9814 train exact_match_acc: 0.5605 (K~32.00, min=32, max=32, dt=4.59s)
itr: 4500 lr: 9.740e-05 train loss: 0.073531 train token_acc: 0.9859 train exact_match_acc: 0.6367 (K~32.00, min=32, max=32, dt=4.59s)
itr: 4750 lr: 9.708e-05 train loss: 0.057388 train token_acc: 0.9888 train exact_match_acc: 0.7024 (K~32.00, min=32, max=32, dt=4.59s)
itr: 5000 lr: 9.674e-05 train loss: 0.048190 train token_acc: 0.9909 train exact_match_acc: 0.7473 (K~32.00, min=32, max=32, dt=4.59s)
itr: 5250 lr: 9.638e-05 train loss: 0.041758 train token_acc: 0.9926 train exact_match_acc: 0.7874 (K~32.00, min=32, max=32, dt=4.59s)
itr: 5500 lr: 9.600e-05 train loss: 0.032416 train token_acc: 0.9942 train exact_match_acc: 0.8274 (K~32.00, min=32, max=32, dt=4.59s)
itr: 5750 lr: 9.561e-05 train loss: 0.029227 train token_acc: 0.9950 train exact_match_acc: 0.8523 (K~32.00, min=32, max=32, dt=4.59s)
itr: 6000 lr: 9.519e-05 train loss: 0.028316 train token_acc: 0.9953 train exact_match_acc: 0.8613 (K~32.00, min=32, max=32, dt=4.59s)
itr: 6250 lr: 9.476e-05 train loss: 0.020740 train token_acc: 0.9963 train exact_match_acc: 0.8872 (K~32.00, min=32, max=32, dt=4.59s)
itr: 6500 lr: 9.432e-05 train loss: 0.018625 train token_acc: 0.9966 train exact_match_acc: 0.8975 (K~32.00, min=32, max=32, dt=4.59s)
itr: 6750 lr: 9.385e-05 train loss: 0.018064 train token_acc: 0.9970 train exact_match_acc: 0.9070 (K~32.00, min=32, max=32, dt=4.59s)
itr: 7000 lr: 9.337e-05 train loss: 0.014830 train token_acc: 0.9974 train exact_match_acc: 0.9202 (K~32.00, min=32, max=32, dt=4.59s)
itr: 7250 lr: 9.287e-05 train loss: 0.013053 train token_acc: 0.9977 train exact_match_acc: 0.9312 (K~32.00, min=32, max=32, dt=4.59s)
itr: 7500 lr: 9.235e-05 train loss: 0.013541 train token_acc: 0.9978 train exact_match_acc: 0.9307 (K~32.00, min=32, max=32, dt=4.59s)
