training:  19%|█▉        | 7749/40000 [01:53<07:50, 68.48it/s]
itr: 0 lr: 2.494e-07 train loss: 5.554901 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 5.527787 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.67s)
itr: 500 lr: 1.000e-04 train loss: 5.363615 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 750 lr: 9.998e-05 train loss: 4.593646 train token_acc: 0.0052 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 1000 lr: 9.994e-05 train loss: 3.796168 train token_acc: 0.0075 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 1250 lr: 9.989e-05 train loss: 3.535571 train token_acc: 0.0138 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 1500 lr: 9.981e-05 train loss: 3.459317 train token_acc: 0.0171 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 1750 lr: 9.972e-05 train loss: 3.418474 train token_acc: 0.0213 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 2000 lr: 9.960e-05 train loss: 3.376191 train token_acc: 0.0259 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 2250 lr: 9.947e-05 train loss: 3.330303 train token_acc: 0.0338 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 2500 lr: 9.931e-05 train loss: 3.276867 train token_acc: 0.0443 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 2750 lr: 9.914e-05 train loss: 3.214455 train token_acc: 0.0604 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 3000 lr: 9.895e-05 train loss: 3.140192 train token_acc: 0.0889 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 3250 lr: 9.874e-05 train loss: 3.052114 train token_acc: 0.1187 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 3500 lr: 9.851e-05 train loss: 2.953091 train token_acc: 0.1495 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 3750 lr: 9.826e-05 train loss: 2.820494 train token_acc: 0.1874 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 4000 lr: 9.799e-05 train loss: 2.659782 train token_acc: 0.2381 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 4250 lr: 9.771e-05 train loss: 2.429683 train token_acc: 0.3094 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 4500 lr: 9.740e-05 train loss: 2.151150 train token_acc: 0.3947 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 4750 lr: 9.708e-05 train loss: 1.887212 train token_acc: 0.4700 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 5000 lr: 9.674e-05 train loss: 1.682754 train token_acc: 0.5240 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 5250 lr: 9.638e-05 train loss: 1.534821 train token_acc: 0.5593 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 5500 lr: 9.600e-05 train loss: 1.419687 train token_acc: 0.5913 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 5750 lr: 9.561e-05 train loss: 1.315829 train token_acc: 0.6203 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 6000 lr: 9.519e-05 train loss: 1.222794 train token_acc: 0.6457 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 6250 lr: 9.476e-05 train loss: 1.151034 train token_acc: 0.6685 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 6500 lr: 9.432e-05 train loss: 1.062962 train token_acc: 0.6922 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 6750 lr: 9.385e-05 train loss: 1.005985 train token_acc: 0.7116 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 7000 lr: 9.337e-05 train loss: 0.938411 train token_acc: 0.7307 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 7250 lr: 9.287e-05 train loss: 0.881438 train token_acc: 0.7462 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 7500 lr: 9.235e-05 train loss: 0.828945 train token_acc: 0.7633 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 7750 lr: 9.182e-05 train loss: 0.769674 train token_acc: 0.7804 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 8000 lr: 9.127e-05 train loss: 0.723769 train token_acc: 0.7964 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 8250 lr: 9.071e-05 train loss: 0.677562 train token_acc: 0.8064 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 8500 lr: 9.013e-05 train loss: 0.633994 train token_acc: 0.8205 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 8750 lr: 8.953e-05 train loss: 0.596631 train token_acc: 0.8343 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 9000 lr: 8.892e-05 train loss: 0.547289 train token_acc: 0.8472 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 9250 lr: 8.829e-05 train loss: 0.520512 train token_acc: 0.8595 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 9500 lr: 8.765e-05 train loss: 0.489961 train token_acc: 0.8699 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 9750 lr: 8.700e-05 train loss: 0.457322 train token_acc: 0.8779 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 10000 lr: 8.632e-05 train loss: 0.435078 train token_acc: 0.8849 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 10250 lr: 8.564e-05 train loss: 0.415375 train token_acc: 0.8933 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=3.65s)
itr: 10500 lr: 8.494e-05 train loss: 0.403172 train token_acc: 0.8998 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 10750 lr: 8.423e-05 train loss: 0.377934 train token_acc: 0.9046 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=3.65s)
itr: 11000 lr: 8.351e-05 train loss: 0.358723 train token_acc: 0.9097 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 11250 lr: 8.277e-05 train loss: 0.347841 train token_acc: 0.9151 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 11500 lr: 8.202e-05 train loss: 0.327870 train token_acc: 0.9178 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 11750 lr: 8.125e-05 train loss: 0.329320 train token_acc: 0.9195 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 12000 lr: 8.048e-05 train loss: 0.319338 train token_acc: 0.9223 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=3.66s)
itr: 12250 lr: 7.969e-05 train loss: 0.311802 train token_acc: 0.9237 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 12500 lr: 7.889e-05 train loss: 0.297094 train token_acc: 0.9270 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.65s)
itr: 12750 lr: 7.808e-05 train loss: 0.285513 train token_acc: 0.9303 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=3.65s)
itr: 13000 lr: 7.726e-05 train loss: 0.277762 train token_acc: 0.9318 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.66s)
itr: 13250 lr: 7.643e-05 train loss: 0.273266 train token_acc: 0.9342 train exact_match_acc: 0.0005 (K~32.00, min=32, max=32, dt=3.65s)
itr: 13500 lr: 7.559e-05 train loss: 0.270926 train token_acc: 0.9336 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=3.66s)
itr: 13750 lr: 7.474e-05 train loss: 0.257058 train token_acc: 0.9373 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=3.65s)
itr: 14000 lr: 7.388e-05 train loss: 0.236550 train token_acc: 0.9409 train exact_match_acc: 0.0042 (K~32.00, min=32, max=32, dt=3.66s)
itr: 14250 lr: 7.301e-05 train loss: 0.165485 train token_acc: 0.9630 train exact_match_acc: 0.2976 (K~32.00, min=32, max=32, dt=3.65s)
itr: 14500 lr: 7.213e-05 train loss: 0.112604 train token_acc: 0.9791 train exact_match_acc: 0.5513 (K~32.00, min=32, max=32, dt=3.66s)
itr: 14750 lr: 7.124e-05 train loss: 0.093935 train token_acc: 0.9843 train exact_match_acc: 0.6206 (K~32.00, min=32, max=32, dt=3.65s)
itr: 15000 lr: 7.035e-05 train loss: 0.085819 train token_acc: 0.9861 train exact_match_acc: 0.6572 (K~32.00, min=32, max=32, dt=3.66s)
itr: 15250 lr: 6.944e-05 train loss: 0.070266 train token_acc: 0.9893 train exact_match_acc: 0.7202 (K~32.00, min=32, max=32, dt=3.65s)
itr: 15500 lr: 6.853e-05 train loss: 0.063661 train token_acc: 0.9910 train exact_match_acc: 0.7493 (K~32.00, min=32, max=32, dt=3.66s)
itr: 15750 lr: 6.761e-05 train loss: 0.058463 train token_acc: 0.9922 train exact_match_acc: 0.7832 (K~32.00, min=32, max=32, dt=3.65s)
itr: 16000 lr: 6.669e-05 train loss: 0.055136 train token_acc: 0.9939 train exact_match_acc: 0.8218 (K~32.00, min=32, max=32, dt=3.66s)
itr: 16250 lr: 6.576e-05 train loss: 0.052174 train token_acc: 0.9940 train exact_match_acc: 0.8208 (K~32.00, min=32, max=32, dt=3.65s)
itr: 16500 lr: 6.482e-05 train loss: 0.051956 train token_acc: 0.9943 train exact_match_acc: 0.8325 (K~32.00, min=32, max=32, dt=3.66s)
itr: 16750 lr: 6.388e-05 train loss: 0.047958 train token_acc: 0.9947 train exact_match_acc: 0.8408 (K~32.00, min=32, max=32, dt=3.65s)
itr: 17000 lr: 6.293e-05 train loss: 0.050583 train token_acc: 0.9948 train exact_match_acc: 0.8440 (K~32.00, min=32, max=32, dt=3.66s)
itr: 17250 lr: 6.198e-05 train loss: 0.041233 train token_acc: 0.9953 train exact_match_acc: 0.8589 (K~32.00, min=32, max=32, dt=3.65s)
itr: 17500 lr: 6.102e-05 train loss: 0.042620 train token_acc: 0.9955 train exact_match_acc: 0.8625 (K~32.00, min=32, max=32, dt=3.66s)
itr: 17750 lr: 6.006e-05 train loss: 0.044644 train token_acc: 0.9958 train exact_match_acc: 0.8726 (K~32.00, min=32, max=32, dt=3.65s)
itr: 18000 lr: 5.910e-05 train loss: 0.038027 train token_acc: 0.9959 train exact_match_acc: 0.8750 (K~32.00, min=32, max=32, dt=3.66s)
itr: 18250 lr: 5.813e-05 train loss: 0.037451 train token_acc: 0.9958 train exact_match_acc: 0.8723 (K~32.00, min=32, max=32, dt=3.65s)
