training:  19%|█▉        | 7748/40000 [02:34<10:41, 50.30it/s]
itr: 0 lr: 2.494e-07 train loss: 5.649613 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.51s)
itr: 250 lr: 6.259e-05 train loss: 4.100049 train token_acc: 0.0591 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=4.99s)
itr: 500 lr: 1.000e-04 train loss: 1.095735 train token_acc: 0.7519 train exact_match_acc: 0.0168 (K~16.00, min=16, max=16, dt=4.97s)
itr: 750 lr: 9.998e-05 train loss: 0.243476 train token_acc: 0.9570 train exact_match_acc: 0.5063 (K~16.00, min=16, max=16, dt=4.97s)
itr: 1000 lr: 9.994e-05 train loss: 0.088484 train token_acc: 0.9880 train exact_match_acc: 0.8186 (K~16.00, min=16, max=16, dt=4.97s)
itr: 1250 lr: 9.989e-05 train loss: 0.048261 train token_acc: 0.9938 train exact_match_acc: 0.9011 (K~16.00, min=16, max=16, dt=4.97s)
itr: 1500 lr: 9.981e-05 train loss: 0.026715 train token_acc: 0.9966 train exact_match_acc: 0.9468 (K~16.00, min=16, max=16, dt=4.97s)
itr: 1750 lr: 9.972e-05 train loss: 0.018668 train token_acc: 0.9974 train exact_match_acc: 0.9583 (K~16.00, min=16, max=16, dt=4.97s)
itr: 2000 lr: 9.960e-05 train loss: 0.013761 train token_acc: 0.9978 train exact_match_acc: 0.9646 (K~16.00, min=16, max=16, dt=4.97s)
itr: 2250 lr: 9.947e-05 train loss: 0.008985 train token_acc: 0.9986 train exact_match_acc: 0.9775 (K~16.00, min=16, max=16, dt=4.97s)
itr: 2500 lr: 9.931e-05 train loss: 0.007633 train token_acc: 0.9987 train exact_match_acc: 0.9795 (K~16.00, min=16, max=16, dt=4.97s)
itr: 2750 lr: 9.914e-05 train loss: 0.006093 train token_acc: 0.9990 train exact_match_acc: 0.9836 (K~16.00, min=16, max=16, dt=4.97s)
itr: 3000 lr: 9.895e-05 train loss: 0.005452 train token_acc: 0.9991 train exact_match_acc: 0.9849 (K~16.00, min=16, max=16, dt=4.97s)
itr: 3250 lr: 9.874e-05 train loss: 0.004856 train token_acc: 0.9991 train exact_match_acc: 0.9863 (K~16.00, min=16, max=16, dt=4.97s)
itr: 3500 lr: 9.851e-05 train loss: 0.003323 train token_acc: 0.9995 train exact_match_acc: 0.9915 (K~16.00, min=16, max=16, dt=4.97s)
itr: 3750 lr: 9.826e-05 train loss: 0.002964 train token_acc: 0.9995 train exact_match_acc: 0.9919 (K~16.00, min=16, max=16, dt=4.97s)
itr: 4000 lr: 9.799e-05 train loss: 0.003050 train token_acc: 0.9995 train exact_match_acc: 0.9917 (K~16.00, min=16, max=16, dt=4.97s)
itr: 4250 lr: 9.771e-05 train loss: 0.002295 train token_acc: 0.9996 train exact_match_acc: 0.9939 (K~16.00, min=16, max=16, dt=4.97s)
itr: 4500 lr: 9.740e-05 train loss: 0.002278 train token_acc: 0.9996 train exact_match_acc: 0.9929 (K~16.00, min=16, max=16, dt=4.97s)
itr: 4750 lr: 9.708e-05 train loss: 0.002276 train token_acc: 0.9996 train exact_match_acc: 0.9929 (K~16.00, min=16, max=16, dt=4.97s)
itr: 5000 lr: 9.674e-05 train loss: 0.001764 train token_acc: 0.9997 train exact_match_acc: 0.9951 (K~16.00, min=16, max=16, dt=4.97s)
itr: 5250 lr: 9.638e-05 train loss: 0.001382 train token_acc: 0.9998 train exact_match_acc: 0.9968 (K~16.00, min=16, max=16, dt=4.97s)
itr: 5500 lr: 9.600e-05 train loss: 0.001970 train token_acc: 0.9996 train exact_match_acc: 0.9929 (K~16.00, min=16, max=16, dt=4.97s)
itr: 5750 lr: 9.561e-05 train loss: 0.001396 train token_acc: 0.9997 train exact_match_acc: 0.9954 (K~16.00, min=16, max=16, dt=4.97s)
itr: 6000 lr: 9.519e-05 train loss: 0.000957 train token_acc: 0.9998 train exact_match_acc: 0.9976 (K~16.00, min=16, max=16, dt=4.97s)
itr: 6250 lr: 9.476e-05 train loss: 0.001534 train token_acc: 0.9997 train exact_match_acc: 0.9956 (K~16.00, min=16, max=16, dt=4.97s)
itr: 6500 lr: 9.432e-05 train loss: 0.001329 train token_acc: 0.9997 train exact_match_acc: 0.9958 (K~16.00, min=16, max=16, dt=4.97s)
itr: 6750 lr: 9.385e-05 train loss: 0.000887 train token_acc: 0.9999 train exact_match_acc: 0.9978 (K~16.00, min=16, max=16, dt=4.97s)
itr: 7000 lr: 9.337e-05 train loss: 0.000736 train token_acc: 0.9998 train exact_match_acc: 0.9976 (K~16.00, min=16, max=16, dt=4.97s)
itr: 7250 lr: 9.287e-05 train loss: 0.000574 train token_acc: 0.9999 train exact_match_acc: 0.9978 (K~16.00, min=16, max=16, dt=4.97s)
itr: 7500 lr: 9.235e-05 train loss: 0.000784 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~16.00, min=16, max=16, dt=4.97s)
itr: 7750 lr: 9.182e-05 train loss: 0.000924 train token_acc: 0.9998 train exact_match_acc: 0.9973 (K~16.00, min=16, max=16, dt=4.97s)
itr: 8000 lr: 9.127e-05 train loss: 0.000792 train token_acc: 0.9998 train exact_match_acc: 0.9976 (K~16.00, min=16, max=16, dt=4.97s)
itr: 8250 lr: 9.071e-05 train loss: 0.000534 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~16.00, min=16, max=16, dt=4.97s)
itr: 8500 lr: 9.013e-05 train loss: 0.000538 train token_acc: 0.9999 train exact_match_acc: 0.9978 (K~16.00, min=16, max=16, dt=4.97s)
itr: 8750 lr: 8.953e-05 train loss: 0.000467 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~16.00, min=16, max=16, dt=4.97s)
