training:  19%|█▉        | 7748/40000 [02:00<08:19, 64.59it/s]
itr: 0 lr: 2.494e-07 train loss: 5.552045 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.38s)
itr: 250 lr: 6.259e-05 train loss: 5.527792 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.89s)
itr: 500 lr: 1.000e-04 train loss: 4.868696 train token_acc: 0.0041 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 750 lr: 9.998e-05 train loss: 4.001067 train token_acc: 0.0293 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1000 lr: 9.994e-05 train loss: 3.905649 train token_acc: 0.0356 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1250 lr: 9.989e-05 train loss: 3.845399 train token_acc: 0.0383 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1500 lr: 9.981e-05 train loss: 3.780827 train token_acc: 0.0436 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1750 lr: 9.972e-05 train loss: 3.735042 train token_acc: 0.0459 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.88s)
itr: 2000 lr: 9.960e-05 train loss: 3.680893 train token_acc: 0.0509 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2250 lr: 9.947e-05 train loss: 3.632234 train token_acc: 0.0539 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2500 lr: 9.931e-05 train loss: 3.570056 train token_acc: 0.0632 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2750 lr: 9.914e-05 train loss: 3.507149 train token_acc: 0.0677 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3000 lr: 9.895e-05 train loss: 3.445657 train token_acc: 0.0733 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3250 lr: 9.874e-05 train loss: 3.390221 train token_acc: 0.0826 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3500 lr: 9.851e-05 train loss: 3.327611 train token_acc: 0.0881 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3750 lr: 9.826e-05 train loss: 3.295923 train token_acc: 0.0941 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4000 lr: 9.799e-05 train loss: 3.250491 train token_acc: 0.1031 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4250 lr: 9.771e-05 train loss: 3.219304 train token_acc: 0.1113 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4500 lr: 9.740e-05 train loss: 3.183970 train token_acc: 0.1181 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4750 lr: 9.708e-05 train loss: 3.137660 train token_acc: 0.1213 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5000 lr: 9.674e-05 train loss: 3.098398 train token_acc: 0.1309 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5250 lr: 9.638e-05 train loss: 3.084316 train token_acc: 0.1322 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5500 lr: 9.600e-05 train loss: 3.051517 train token_acc: 0.1401 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5750 lr: 9.561e-05 train loss: 3.007000 train token_acc: 0.1426 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 6000 lr: 9.519e-05 train loss: 3.008567 train token_acc: 0.1438 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
