training:  19%|█▉        | 7747/40000 [02:58<12:22, 43.44it/s]
itr: 0 lr: 2.494e-07 train loss: 5.557662 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.36s)
itr: 250 lr: 6.259e-05 train loss: 5.029466 train token_acc: 0.0072 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.79s)
itr: 500 lr: 1.000e-04 train loss: 3.506793 train token_acc: 0.0935 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.76s)
itr: 750 lr: 9.998e-05 train loss: 2.667336 train token_acc: 0.3011 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.76s)
itr: 1000 lr: 9.994e-05 train loss: 1.859594 train token_acc: 0.4987 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.76s)
itr: 1250 lr: 9.989e-05 train loss: 1.398768 train token_acc: 0.6157 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=5.76s)
itr: 1500 lr: 9.981e-05 train loss: 1.103648 train token_acc: 0.6881 train exact_match_acc: 0.0024 (K~16.00, min=16, max=16, dt=5.76s)
itr: 1750 lr: 9.972e-05 train loss: 0.893556 train token_acc: 0.7467 train exact_match_acc: 0.0129 (K~16.00, min=16, max=16, dt=5.76s)
itr: 2000 lr: 9.960e-05 train loss: 0.763458 train token_acc: 0.7881 train exact_match_acc: 0.0291 (K~16.00, min=16, max=16, dt=5.76s)
itr: 2250 lr: 9.947e-05 train loss: 0.605640 train token_acc: 0.8283 train exact_match_acc: 0.0657 (K~16.00, min=16, max=16, dt=5.76s)
itr: 2500 lr: 9.931e-05 train loss: 0.516550 train token_acc: 0.8556 train exact_match_acc: 0.1074 (K~16.00, min=16, max=16, dt=5.76s)
itr: 2750 lr: 9.914e-05 train loss: 0.432988 train token_acc: 0.8762 train exact_match_acc: 0.1562 (K~16.00, min=16, max=16, dt=5.76s)
