training:  19%|█▉        | 7747/40000 [02:00<08:18, 64.67it/s]
itr: 0 lr: 2.494e-07 train loss: 5.557338 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.39s)
itr: 250 lr: 6.259e-05 train loss: 5.492076 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.88s)
itr: 500 lr: 1.000e-04 train loss: 4.547856 train token_acc: 0.0332 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 750 lr: 9.998e-05 train loss: 3.743595 train token_acc: 0.1077 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1000 lr: 9.994e-05 train loss: 3.377971 train token_acc: 0.1448 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1250 lr: 9.989e-05 train loss: 3.182231 train token_acc: 0.1691 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1500 lr: 9.981e-05 train loss: 3.038162 train token_acc: 0.1867 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1750 lr: 9.972e-05 train loss: 2.918982 train token_acc: 0.2065 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2000 lr: 9.960e-05 train loss: 2.830985 train token_acc: 0.2199 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2250 lr: 9.947e-05 train loss: 2.752449 train token_acc: 0.2399 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2500 lr: 9.931e-05 train loss: 2.677755 train token_acc: 0.2535 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2750 lr: 9.914e-05 train loss: 2.593237 train token_acc: 0.2716 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3000 lr: 9.895e-05 train loss: 2.548369 train token_acc: 0.2890 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3250 lr: 9.874e-05 train loss: 2.474576 train token_acc: 0.3005 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3500 lr: 9.851e-05 train loss: 2.400878 train token_acc: 0.3151 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3750 lr: 9.826e-05 train loss: 2.361060 train token_acc: 0.3209 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4000 lr: 9.799e-05 train loss: 2.291748 train token_acc: 0.3411 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4250 lr: 9.771e-05 train loss: 2.254817 train token_acc: 0.3444 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4500 lr: 9.740e-05 train loss: 2.220347 train token_acc: 0.3627 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4750 lr: 9.708e-05 train loss: 2.180890 train token_acc: 0.3697 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5000 lr: 9.674e-05 train loss: 2.155858 train token_acc: 0.3665 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5250 lr: 9.638e-05 train loss: 2.109972 train token_acc: 0.3838 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5500 lr: 9.600e-05 train loss: 2.069180 train token_acc: 0.3872 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5750 lr: 9.561e-05 train loss: 2.056703 train token_acc: 0.3871 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 6000 lr: 9.519e-05 train loss: 2.011780 train token_acc: 0.4025 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 6250 lr: 9.476e-05 train loss: 2.002597 train token_acc: 0.4108 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 6500 lr: 9.432e-05 train loss: 1.966187 train token_acc: 0.4132 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
