training:  19%|█▉        | 7748/40000 [02:00<08:18, 64.64it/s]
itr: 0 lr: 2.494e-07 train loss: 5.551782 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 5.528062 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.90s)
itr: 500 lr: 1.000e-04 train loss: 4.874635 train token_acc: 0.0053 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 750 lr: 9.998e-05 train loss: 4.123518 train token_acc: 0.0254 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1000 lr: 9.994e-05 train loss: 3.952932 train token_acc: 0.0343 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1250 lr: 9.989e-05 train loss: 3.897484 train token_acc: 0.0377 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1500 lr: 9.981e-05 train loss: 3.849514 train token_acc: 0.0434 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1750 lr: 9.972e-05 train loss: 3.808872 train token_acc: 0.0461 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2000 lr: 9.960e-05 train loss: 3.777684 train token_acc: 0.0459 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2250 lr: 9.947e-05 train loss: 3.757531 train token_acc: 0.0495 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2500 lr: 9.931e-05 train loss: 3.725749 train token_acc: 0.0488 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2750 lr: 9.914e-05 train loss: 3.724093 train token_acc: 0.0499 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3000 lr: 9.895e-05 train loss: 3.681483 train token_acc: 0.0539 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3250 lr: 9.874e-05 train loss: 3.661107 train token_acc: 0.0557 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3500 lr: 9.851e-05 train loss: 3.642578 train token_acc: 0.0589 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3750 lr: 9.826e-05 train loss: 3.626507 train token_acc: 0.0637 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4000 lr: 9.799e-05 train loss: 3.592683 train token_acc: 0.0704 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4250 lr: 9.771e-05 train loss: 3.574923 train token_acc: 0.0702 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4500 lr: 9.740e-05 train loss: 3.557581 train token_acc: 0.0773 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4750 lr: 9.708e-05 train loss: 3.543229 train token_acc: 0.0799 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5000 lr: 9.674e-05 train loss: 3.515156 train token_acc: 0.0851 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5250 lr: 9.638e-05 train loss: 3.495968 train token_acc: 0.0857 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5500 lr: 9.600e-05 train loss: 3.479709 train token_acc: 0.0898 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
