training:  19%|█▉        | 7747/40000 [02:00<08:18, 64.66it/s]
itr: 0 lr: 2.494e-07 train loss: 5.551688 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 5.527497 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.89s)
itr: 500 lr: 1.000e-04 train loss: 4.865885 train token_acc: 0.0054 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 750 lr: 9.998e-05 train loss: 3.984523 train token_acc: 0.0320 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1000 lr: 9.994e-05 train loss: 3.891901 train token_acc: 0.0346 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1250 lr: 9.989e-05 train loss: 3.829184 train token_acc: 0.0375 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1500 lr: 9.981e-05 train loss: 3.790307 train token_acc: 0.0402 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1750 lr: 9.972e-05 train loss: 3.752562 train token_acc: 0.0428 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2000 lr: 9.960e-05 train loss: 3.693431 train token_acc: 0.0468 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2250 lr: 9.947e-05 train loss: 3.640708 train token_acc: 0.0504 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2500 lr: 9.931e-05 train loss: 3.589365 train token_acc: 0.0565 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2750 lr: 9.914e-05 train loss: 3.543270 train token_acc: 0.0620 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3000 lr: 9.895e-05 train loss: 3.495984 train token_acc: 0.0706 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3250 lr: 9.874e-05 train loss: 3.468758 train token_acc: 0.0779 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3500 lr: 9.851e-05 train loss: 3.427663 train token_acc: 0.0831 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3750 lr: 9.826e-05 train loss: 3.382970 train token_acc: 0.0931 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4000 lr: 9.799e-05 train loss: 3.361519 train token_acc: 0.1007 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4250 lr: 9.771e-05 train loss: 3.323274 train token_acc: 0.1033 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4500 lr: 9.740e-05 train loss: 3.299669 train token_acc: 0.1082 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4750 lr: 9.708e-05 train loss: 3.268399 train token_acc: 0.1120 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5000 lr: 9.674e-05 train loss: 3.261495 train token_acc: 0.1174 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5250 lr: 9.638e-05 train loss: 3.227283 train token_acc: 0.1208 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5500 lr: 9.600e-05 train loss: 3.202638 train token_acc: 0.1249 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5750 lr: 9.561e-05 train loss: 3.191720 train token_acc: 0.1319 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 6000 lr: 9.519e-05 train loss: 3.170709 train token_acc: 0.1333 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 6250 lr: 9.476e-05 train loss: 3.136258 train token_acc: 0.1353 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 6500 lr: 9.432e-05 train loss: 3.112719 train token_acc: 0.1417 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 6750 lr: 9.385e-05 train loss: 3.101049 train token_acc: 0.1456 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 7000 lr: 9.337e-05 train loss: 3.069783 train token_acc: 0.1489 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 7250 lr: 9.287e-05 train loss: 3.039323 train token_acc: 0.1563 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 7500 lr: 9.235e-05 train loss: 3.000654 train token_acc: 0.1624 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 7750 lr: 9.182e-05 train loss: 2.998189 train token_acc: 0.1690 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 8000 lr: 9.127e-05 train loss: 2.966177 train token_acc: 0.1722 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 8250 lr: 9.071e-05 train loss: 2.939160 train token_acc: 0.1759 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 8500 lr: 9.013e-05 train loss: 2.914348 train token_acc: 0.1807 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 8750 lr: 8.953e-05 train loss: 2.903586 train token_acc: 0.1822 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 9000 lr: 8.892e-05 train loss: 2.877102 train token_acc: 0.1889 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 9250 lr: 8.829e-05 train loss: 2.858889 train token_acc: 0.1940 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 9500 lr: 8.765e-05 train loss: 2.829487 train token_acc: 0.1997 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 9750 lr: 8.700e-05 train loss: 2.817905 train token_acc: 0.2008 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 10000 lr: 8.632e-05 train loss: 2.803056 train token_acc: 0.2053 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 10250 lr: 8.564e-05 train loss: 2.767210 train token_acc: 0.2124 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 10500 lr: 8.494e-05 train loss: 2.742214 train token_acc: 0.2213 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 10750 lr: 8.423e-05 train loss: 2.728665 train token_acc: 0.2221 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 11000 lr: 8.351e-05 train loss: 2.731028 train token_acc: 0.2272 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 11250 lr: 8.277e-05 train loss: 2.673390 train token_acc: 0.2341 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 11500 lr: 8.202e-05 train loss: 2.654815 train token_acc: 0.2365 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 11750 lr: 8.125e-05 train loss: 2.630433 train token_acc: 0.2399 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 12000 lr: 8.048e-05 train loss: 2.646425 train token_acc: 0.2420 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 12250 lr: 7.969e-05 train loss: 2.606537 train token_acc: 0.2497 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 12500 lr: 7.889e-05 train loss: 2.572855 train token_acc: 0.2554 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 12750 lr: 7.808e-05 train loss: 2.574886 train token_acc: 0.2587 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 13000 lr: 7.726e-05 train loss: 2.524086 train token_acc: 0.2646 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 13250 lr: 7.643e-05 train loss: 2.521588 train token_acc: 0.2661 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 13500 lr: 7.559e-05 train loss: 2.497228 train token_acc: 0.2728 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 13750 lr: 7.474e-05 train loss: 2.493773 train token_acc: 0.2725 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 14000 lr: 7.388e-05 train loss: 2.458627 train token_acc: 0.2803 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 14250 lr: 7.301e-05 train loss: 2.439631 train token_acc: 0.2853 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 14500 lr: 7.213e-05 train loss: 2.427547 train token_acc: 0.2876 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 14750 lr: 7.124e-05 train loss: 2.398546 train token_acc: 0.3003 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 15000 lr: 7.035e-05 train loss: 2.373065 train token_acc: 0.3008 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 15250 lr: 6.944e-05 train loss: 2.368155 train token_acc: 0.3081 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 15500 lr: 6.853e-05 train loss: 2.347795 train token_acc: 0.3102 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 15750 lr: 6.761e-05 train loss: 2.325135 train token_acc: 0.3166 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 16000 lr: 6.669e-05 train loss: 2.308744 train token_acc: 0.3254 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 16250 lr: 6.576e-05 train loss: 2.292840 train token_acc: 0.3242 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 16500 lr: 6.482e-05 train loss: 2.267856 train token_acc: 0.3341 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 16750 lr: 6.388e-05 train loss: 2.247696 train token_acc: 0.3400 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
