training:  19%|█▉        | 7747/40000 [02:58<12:22, 43.47it/s]
itr: 0 lr: 2.494e-07 train loss: 5.560110 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 5.026156 train token_acc: 0.0050 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.78s)
itr: 500 lr: 1.000e-04 train loss: 3.590647 train token_acc: 0.0725 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.75s)
itr: 750 lr: 9.998e-05 train loss: 3.124005 train token_acc: 0.1844 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.76s)
itr: 1000 lr: 9.994e-05 train loss: 2.624692 train token_acc: 0.3060 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.75s)
itr: 1250 lr: 9.989e-05 train loss: 2.200626 train token_acc: 0.4094 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.76s)
itr: 1500 lr: 9.981e-05 train loss: 1.767409 train token_acc: 0.5154 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.75s)
itr: 1750 lr: 9.972e-05 train loss: 1.454354 train token_acc: 0.5933 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.76s)
itr: 2000 lr: 9.960e-05 train loss: 1.232304 train token_acc: 0.6542 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=5.75s)
itr: 2250 lr: 9.947e-05 train loss: 1.068458 train token_acc: 0.7004 train exact_match_acc: 0.0027 (K~16.00, min=16, max=16, dt=5.76s)
itr: 2500 lr: 9.931e-05 train loss: 0.897866 train token_acc: 0.7426 train exact_match_acc: 0.0112 (K~16.00, min=16, max=16, dt=5.75s)
itr: 2750 lr: 9.914e-05 train loss: 0.797574 train token_acc: 0.7709 train exact_match_acc: 0.0237 (K~16.00, min=16, max=16, dt=5.75s)
itr: 3000 lr: 9.895e-05 train loss: 0.680583 train token_acc: 0.8026 train exact_match_acc: 0.0415 (K~16.00, min=16, max=16, dt=5.75s)
itr: 3250 lr: 9.874e-05 train loss: 0.614388 train token_acc: 0.8229 train exact_match_acc: 0.0576 (K~16.00, min=16, max=16, dt=5.76s)
itr: 3500 lr: 9.851e-05 train loss: 0.522820 train token_acc: 0.8466 train exact_match_acc: 0.0972 (K~16.00, min=16, max=16, dt=5.75s)
itr: 3750 lr: 9.826e-05 train loss: 0.483563 train token_acc: 0.8601 train exact_match_acc: 0.1187 (K~16.00, min=16, max=16, dt=5.76s)
itr: 4000 lr: 9.799e-05 train loss: 0.426980 train token_acc: 0.8766 train exact_match_acc: 0.1528 (K~16.00, min=16, max=16, dt=5.75s)
itr: 4250 lr: 9.771e-05 train loss: 0.371658 train token_acc: 0.8919 train exact_match_acc: 0.1938 (K~16.00, min=16, max=16, dt=5.76s)
itr: 4500 lr: 9.740e-05 train loss: 0.332222 train token_acc: 0.9045 train exact_match_acc: 0.2368 (K~16.00, min=16, max=16, dt=5.75s)
itr: 4750 lr: 9.708e-05 train loss: 0.302472 train token_acc: 0.9125 train exact_match_acc: 0.2673 (K~16.00, min=16, max=16, dt=5.75s)
itr: 5000 lr: 9.674e-05 train loss: 0.266771 train token_acc: 0.9241 train exact_match_acc: 0.3259 (K~16.00, min=16, max=16, dt=5.75s)
itr: 5250 lr: 9.638e-05 train loss: 0.248292 train token_acc: 0.9294 train exact_match_acc: 0.3513 (K~16.00, min=16, max=16, dt=5.76s)
itr: 5500 lr: 9.600e-05 train loss: 0.243935 train token_acc: 0.9301 train exact_match_acc: 0.3438 (K~16.00, min=16, max=16, dt=5.75s)
itr: 5750 lr: 9.561e-05 train loss: 0.222801 train token_acc: 0.9364 train exact_match_acc: 0.3918 (K~16.00, min=16, max=16, dt=5.76s)
itr: 6000 lr: 9.519e-05 train loss: 0.199706 train token_acc: 0.9435 train exact_match_acc: 0.4346 (K~16.00, min=16, max=16, dt=5.75s)
itr: 6250 lr: 9.476e-05 train loss: 0.179079 train token_acc: 0.9488 train exact_match_acc: 0.4695 (K~16.00, min=16, max=16, dt=5.76s)
itr: 6500 lr: 9.432e-05 train loss: 0.162897 train token_acc: 0.9535 train exact_match_acc: 0.4998 (K~16.00, min=16, max=16, dt=5.75s)
itr: 6750 lr: 9.385e-05 train loss: 0.145151 train token_acc: 0.9579 train exact_match_acc: 0.5361 (K~16.00, min=16, max=16, dt=5.76s)
itr: 7000 lr: 9.337e-05 train loss: 0.139661 train token_acc: 0.9617 train exact_match_acc: 0.5718 (K~16.00, min=16, max=16, dt=5.75s)
itr: 7250 lr: 9.287e-05 train loss: 0.138995 train token_acc: 0.9597 train exact_match_acc: 0.5410 (K~16.00, min=16, max=16, dt=5.76s)
itr: 7500 lr: 9.235e-05 train loss: 0.116574 train token_acc: 0.9671 train exact_match_acc: 0.6157 (K~16.00, min=16, max=16, dt=5.75s)
itr: 7750 lr: 9.182e-05 train loss: 0.107676 train token_acc: 0.9697 train exact_match_acc: 0.6475 (K~16.00, min=16, max=16, dt=5.75s)
itr: 8000 lr: 9.127e-05 train loss: 0.111123 train token_acc: 0.9695 train exact_match_acc: 0.6289 (K~16.00, min=16, max=16, dt=5.75s)
itr: 8250 lr: 9.071e-05 train loss: 0.095285 train token_acc: 0.9737 train exact_match_acc: 0.6790 (K~16.00, min=16, max=16, dt=5.76s)
itr: 8500 lr: 9.013e-05 train loss: 0.104781 train token_acc: 0.9708 train exact_match_acc: 0.6582 (K~16.00, min=16, max=16, dt=5.75s)
itr: 8750 lr: 8.953e-05 train loss: 0.081757 train token_acc: 0.9776 train exact_match_acc: 0.7173 (K~16.00, min=16, max=16, dt=5.76s)
itr: 9000 lr: 8.892e-05 train loss: 0.091412 train token_acc: 0.9751 train exact_match_acc: 0.6929 (K~16.00, min=16, max=16, dt=5.75s)
itr: 9250 lr: 8.829e-05 train loss: 0.076333 train token_acc: 0.9795 train exact_match_acc: 0.7390 (K~16.00, min=16, max=16, dt=5.76s)
itr: 9500 lr: 8.765e-05 train loss: 0.079830 train token_acc: 0.9781 train exact_match_acc: 0.7214 (K~16.00, min=16, max=16, dt=5.75s)
itr: 9750 lr: 8.700e-05 train loss: 0.064935 train token_acc: 0.9825 train exact_match_acc: 0.7717 (K~16.00, min=16, max=16, dt=5.76s)
itr: 10000 lr: 8.632e-05 train loss: 0.063523 train token_acc: 0.9831 train exact_match_acc: 0.7795 (K~16.00, min=16, max=16, dt=5.75s)
