training:  19%|█▉        | 7747/40000 [02:58<12:22, 43.46it/s]
itr: 0 lr: 2.494e-07 train loss: 5.560660 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.31s)
itr: 250 lr: 6.259e-05 train loss: 5.002712 train token_acc: 0.0069 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.78s)
itr: 500 lr: 1.000e-04 train loss: 3.588090 train token_acc: 0.0762 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.75s)
itr: 750 lr: 9.998e-05 train loss: 3.006512 train token_acc: 0.2083 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.75s)
itr: 1000 lr: 9.994e-05 train loss: 2.416908 train token_acc: 0.3463 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.75s)
itr: 1250 lr: 9.989e-05 train loss: 1.964552 train token_acc: 0.4556 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.75s)
itr: 1500 lr: 9.981e-05 train loss: 1.646679 train token_acc: 0.5381 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=5.75s)
itr: 1750 lr: 9.972e-05 train loss: 1.416989 train token_acc: 0.5888 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=5.75s)
itr: 2000 lr: 9.960e-05 train loss: 1.214474 train token_acc: 0.6432 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=5.75s)
itr: 2250 lr: 9.947e-05 train loss: 1.146289 train token_acc: 0.6721 train exact_match_acc: 0.0015 (K~16.00, min=16, max=16, dt=5.75s)
itr: 2500 lr: 9.931e-05 train loss: 0.955582 train token_acc: 0.7197 train exact_match_acc: 0.0042 (K~16.00, min=16, max=16, dt=5.75s)
itr: 2750 lr: 9.914e-05 train loss: 0.850930 train token_acc: 0.7471 train exact_match_acc: 0.0115 (K~16.00, min=16, max=16, dt=5.75s)
itr: 3000 lr: 9.895e-05 train loss: 0.796116 train token_acc: 0.7650 train exact_match_acc: 0.0161 (K~16.00, min=16, max=16, dt=5.75s)
itr: 3250 lr: 9.874e-05 train loss: 0.694545 train token_acc: 0.7918 train exact_match_acc: 0.0273 (K~16.00, min=16, max=16, dt=5.76s)
itr: 3500 lr: 9.851e-05 train loss: 0.620939 train token_acc: 0.8152 train exact_match_acc: 0.0454 (K~16.00, min=16, max=16, dt=5.75s)
itr: 3750 lr: 9.826e-05 train loss: 0.566981 train token_acc: 0.8298 train exact_match_acc: 0.0669 (K~16.00, min=16, max=16, dt=5.76s)
itr: 4000 lr: 9.799e-05 train loss: 0.535008 train token_acc: 0.8380 train exact_match_acc: 0.0725 (K~16.00, min=16, max=16, dt=5.75s)
itr: 4250 lr: 9.771e-05 train loss: 0.493472 train token_acc: 0.8521 train exact_match_acc: 0.0889 (K~16.00, min=16, max=16, dt=5.76s)
itr: 4500 lr: 9.740e-05 train loss: 0.483020 train token_acc: 0.8522 train exact_match_acc: 0.0999 (K~16.00, min=16, max=16, dt=5.75s)
itr: 4750 lr: 9.708e-05 train loss: 0.408338 train token_acc: 0.8764 train exact_match_acc: 0.1497 (K~16.00, min=16, max=16, dt=5.75s)
itr: 5000 lr: 9.674e-05 train loss: 0.379228 train token_acc: 0.8857 train exact_match_acc: 0.1746 (K~16.00, min=16, max=16, dt=5.75s)
itr: 5250 lr: 9.638e-05 train loss: 0.383043 train token_acc: 0.8843 train exact_match_acc: 0.1736 (K~16.00, min=16, max=16, dt=5.76s)
itr: 5500 lr: 9.600e-05 train loss: 0.559168 train token_acc: 0.8444 train exact_match_acc: 0.0967 (K~16.00, min=16, max=16, dt=5.75s)
