training:  19%|█▉        | 7747/40000 [02:00<08:18, 64.69it/s]
itr: 0 lr: 2.494e-07 train loss: 5.559244 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 5.493234 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.90s)
itr: 500 lr: 1.000e-04 train loss: 4.535344 train token_acc: 0.0294 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 750 lr: 9.998e-05 train loss: 3.725920 train token_acc: 0.1059 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1000 lr: 9.994e-05 train loss: 3.390557 train token_acc: 0.1418 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1250 lr: 9.989e-05 train loss: 3.187902 train token_acc: 0.1660 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1500 lr: 9.981e-05 train loss: 3.049994 train token_acc: 0.1797 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 1750 lr: 9.972e-05 train loss: 2.929255 train token_acc: 0.1974 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2000 lr: 9.960e-05 train loss: 2.822533 train token_acc: 0.2153 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2250 lr: 9.947e-05 train loss: 2.742332 train token_acc: 0.2266 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2500 lr: 9.931e-05 train loss: 2.644493 train token_acc: 0.2508 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 2750 lr: 9.914e-05 train loss: 2.588693 train token_acc: 0.2720 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3000 lr: 9.895e-05 train loss: 2.473641 train token_acc: 0.2882 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3250 lr: 9.874e-05 train loss: 2.414256 train token_acc: 0.3071 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3500 lr: 9.851e-05 train loss: 2.338187 train token_acc: 0.3216 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 3750 lr: 9.826e-05 train loss: 2.277553 train token_acc: 0.3349 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4000 lr: 9.799e-05 train loss: 2.226846 train token_acc: 0.3506 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4250 lr: 9.771e-05 train loss: 2.176059 train token_acc: 0.3554 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4500 lr: 9.740e-05 train loss: 2.123132 train token_acc: 0.3678 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 4750 lr: 9.708e-05 train loss: 2.105558 train token_acc: 0.3817 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5000 lr: 9.674e-05 train loss: 2.035687 train token_acc: 0.3948 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5250 lr: 9.638e-05 train loss: 2.022859 train token_acc: 0.3969 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5500 lr: 9.600e-05 train loss: 2.005008 train token_acc: 0.4056 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 5750 lr: 9.561e-05 train loss: 1.941402 train token_acc: 0.4186 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 6000 lr: 9.519e-05 train loss: 1.918465 train token_acc: 0.4226 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 6250 lr: 9.476e-05 train loss: 1.896835 train token_acc: 0.4198 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 6500 lr: 9.432e-05 train loss: 1.863461 train token_acc: 0.4403 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 6750 lr: 9.385e-05 train loss: 1.821549 train token_acc: 0.4498 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 7000 lr: 9.337e-05 train loss: 1.803158 train token_acc: 0.4502 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 7250 lr: 9.287e-05 train loss: 1.787141 train token_acc: 0.4583 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 7500 lr: 9.235e-05 train loss: 1.751897 train token_acc: 0.4661 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 7750 lr: 9.182e-05 train loss: 1.737177 train token_acc: 0.4742 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 8000 lr: 9.127e-05 train loss: 1.712757 train token_acc: 0.4750 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 8250 lr: 9.071e-05 train loss: 1.708121 train token_acc: 0.4717 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 8500 lr: 9.013e-05 train loss: 1.676113 train token_acc: 0.4828 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
itr: 8750 lr: 8.953e-05 train loss: 1.657785 train token_acc: 0.4851 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.87s)
