training:  19%|█▉        | 7744/40000 [01:23<05:45, 93.37it/s]
itr: 0 lr: 2.494e-07 train loss: 5.551873 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.40s)
itr: 250 lr: 6.259e-05 train loss: 5.530785 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.71s)
itr: 500 lr: 1.000e-04 train loss: 4.957291 train token_acc: 0.0098 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 750 lr: 9.998e-05 train loss: 4.328109 train token_acc: 0.0198 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1000 lr: 9.994e-05 train loss: 4.077813 train token_acc: 0.0295 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1250 lr: 9.989e-05 train loss: 3.927544 train token_acc: 0.0364 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1500 lr: 9.981e-05 train loss: 3.813200 train token_acc: 0.0454 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1750 lr: 9.972e-05 train loss: 3.677195 train token_acc: 0.0707 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2000 lr: 9.960e-05 train loss: 3.551728 train token_acc: 0.0904 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2250 lr: 9.947e-05 train loss: 3.400214 train token_acc: 0.1249 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2500 lr: 9.931e-05 train loss: 3.259293 train token_acc: 0.1635 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2750 lr: 9.914e-05 train loss: 3.107819 train token_acc: 0.1976 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
